MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04エル\nHow nostalgic it feels to speak with you again.\nIt has been some time.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x08\x06クロム\nIt's been a long while since Lythos Castle,\nhasn't it? I'm glad to be back with you.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nI remember feeling calm and safe when you put\nme into slumber. Do you still have that power?\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nIn this world, I am afraid not. But I could sing\nyou a lullaby, if you wish.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ルフレ\x022\n\x0E\x03\x00\x0C\x06クロム\x023\n\x0E\x03\x02\x06\x04エル\nIt is rare for you to approach me, Robin. You are\ntypically absorbed in your studies.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06ルフレ\nI was hoping you might sing me a lullaby.\nChrom said you did that for him.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06クロム\nBest sleep I've ever had. Send us off, and we'll\nbe nice and rested for the next battle.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nHm-hm... Very well. Be sure not to oversleep.\nI do not want you sluggish when I call upon you.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nラファール\nSo you have also come to this world. I owe you\nan apology for the battles I forced you to fight.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06クロム\nNo need to apologize. We're starting with a\nblank slate. I look forward to working together.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nYou sound...different. Maybe I should also\nchange my speech to assert more authority...\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nI am no longer pretending to be Nil. You should\nnot pretend to be anyone but yourself.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ルフレ\x022\n\x0E\x03\x00\x0C\x06クロム\x023\n\x0E\x03\x02\x0C\nラファール\nI am surprised to see you, Robin. I thought you\nwould prefer to avoid me.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x08\x06ルフレ\nI don't hate you, Lord Rafal. I'm a Fell Dragon\nmyself, in a way. I know how you feel.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06クロム\nLet's leave the past behind and focus on\nbuilding a brighter future together.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nYou are right. I must let the past go and look to\nwhat lies ahead. Thank you both.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nGet warm and get some rest. Catching a cold\nwould impede your performance in battle.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nMage Dragons have a high body temperature, so\nI won't get cold, but I appreciate your concern.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\n\x0E\x03\x02\x08\x06クロム\nZelestia, did I see you eating enough food for\n10 people in the café?\x0E\x04\x00\x00
