MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nIt is good that we can talk after I spent so long\nsilently watching over you, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nI know what you mean. I'm really glad to have\nyou at my side, supporting me in person.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08リュール\nYou're just about the strongest person I know,\nMarth. How can I be more like you?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06マルス\nYou can accomplish great things if you let your\nbonds with your friends become your strength.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nIt makes my heart sing to see how you have\ngrown. You carry yourself with such confidence.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nI'm lucky to have had so many good people to\nget me here. I never could have done it alone.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nWill you be there with me as we see what the\nfuture holds, Marth?\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x08\x06マルス\nOf course. Bonds such as ours are the\nfoundation of the future. They will never fade.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nHero-King Marth, will you stand with me?\nIn the name of the Divine Dragon?\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06マルス\nHappily. We each have a duty to perform, so\nlet us join forces.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nLord Marth, would you care for an apple? I have\ndeveloped quite the taste for them, you see.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x08\x06マルス\nI wish I could join you. Alas, I cannot eat. I am\nglad it brings you pleasure though.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nYou are quite skilled with your hands, Vander.\nI was unaware you can knit.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nI say it's merely a hobby, but I took it up for\nits practical uses, as well as for relaxation.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nMy thinking is, once peace is restored, I shall\nengross myself wholly in my knitting.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x08\x06マルス\nA good plan. Let us end this war and make the\nworld a place where you may knit in peace.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nI watched you perform in battle. You are quite\nskilled. I am glad to be working with you.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nOh, wow. You think I'm good? That's a real\nhonor. I promise to try and live up to it!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06クラン\nLord Marth, do you have anyone you admire?\nLike, someone you look at and think, "wow"?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06マルス\nI admire all my friends that I form strong\nbonds with. Like you, Clanne.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06クラン\nI figured out why you're called the Hero-King.\nYou're super powerful and don't need anyone.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06マルス\nNot at all. I was powerless on my own. I only\nsucceeded with the help of others.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06マルス\nMy life belonged to my friends and their own to\nme. I fought for them, and they called me hero.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nSo, power is earned and not given? Thanks for\nteaching me that, Lord Marth.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06フラン\nI'm sooo honored I get to fight beside you,\nEmblem Marth. I'll try not to hold you back.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06マルス\nYou have nothing to worry about, Framme.\nTogether we will bring this battle to an end.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nYou look rather pleased, Framme. What are you\ndoing there?\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06フラン\nOh, I'm just writing a letter to my family. They\nlive far away, and I want them to know I'm OK.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06フラン\nEmblem Marth, were you there the whole time...\nwhile the Divine Dragon slept, I mean?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06マルス\nI was there...though time passed quite quickly.\nI saw the admirable job you did standing guard.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nThank you! And I'm gonna do an even better job\nfor you and for the Divine Dragon from now on.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06マルス\nI do not doubt it, Framme. Together, we are\nsure to be an unstoppable force.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nThat's the ring the Divine One wore in their\nsleep. What an honor to serve with you.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06マルス\nI am glad to fight beside such a worthy prince.\nTogether, may we bring about peace.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nYou look troubled, Alfred. Is there something\nweighing on you?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nI was feeling down about how scrawny I still\nam. Maybe I'll go for a jog. That usually helps.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nYou have a true passion for exercise. I applaud\nyour dedication.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nI was a sickly kid, so I used to do it to toughen\nup. It's grown into a hobby by now.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x08\x06マルス\nIllness can lay low even the hardiest knight.\nYou have done well to compensate for it.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nI train hard, that's all. Speaking of which, I'm\ngoing for a run. Wanna join me?\x0E\x04\x00\x00
