MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nWell, if it isn't Lord Rafal. What a coincidence,\nrunning into you in this great, wide Somniel.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nラファール\nUgh...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nグレゴリー\nWhoa, what's with the silent treatment? We've\nalways been such good allies.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nラファール\nAh, yes, now I recall. You are one of those\nmewling Four Winds wretches.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nグレゴリー\nGah! That sharp gaze, the cruel words... You're\nnothing at all like when you were Lord Nil.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nラファール\nIf your lungs enjoy the air, Gregory, you will not\npermit them to breathe that name again.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nグレゴリー\nI guess I was right, then. Before, when you were\nbeing nice to us...that was all an act, wasn't it?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nラファール\nOf course it was an act. Is your weak mind so\neasily soothed by empty platitudes?\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Oh, Gregory, I've missed you so. The sight of\nyou fills my heart with joy.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nグレゴリー\nOuch. You don't have to be so mean. Words\nhurt as bad as blades, you know.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nラファール\nThen state your business, and cease to waste\nmy time. What brings you to me now? Revenge?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nグレゴリー\nWhat? No. I'm not like that at all. I don't\nbelieve in revenge.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	I don't have any particular business with you.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nラファール\nThen begone. You are of no further use to me.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nグレゴリー\nFine, fine. Not like I actually want to be used by\nyou again.\x0E\x04\x02\x00
