MJID_DragonLord	Dragon Child
MJID_H_DragonLord	A descendant of a line of dragons\ngoing back to ancient days. Can use\nswords unique to the Divine Dragon.
MJID_DragonKing	Divine Dragon
MJID_H_DragonKing	Keeper of the power of the great\nreigning dragon. Uses Divine Dragon\nswords and martial arts.
MJID_ShadowLord	Fell Child
MJID_H_ShadowLord	Mindless minion of the Fell Dragon.\nUses powerful sword techniques.
MJID_ShadowPrincess	Fell Child
MJID_H_ShadowPrincess	Inheritor of the blood of the Fell\nDragon. Excels in Fell skills and\npowerful dark magic.
MJID_ShadowKing	Fell Monarch
MJID_H_ShadowKing	One who seeks to rule the world\nas a tyrant. Wields the dark arts to\ncause maximum destruction.
MJID_ShadowDragon	Great Fell Dragon
MJID_H_ShadowDragon	The Fell Dragon wielding the power\nof the Emblem Rings. Capable now\nof opening a gate to another world.
MJID_AvenirLC	Noble
MJID_H_AvenirLC	One born into a noble royal family.\nA proficient horseman and skilled\nlancer.
MJID_Avenir	Avenir
MJID_H_Avenir	A dashing prince who rides a white\nhorse into battle. Excels with a lance\nand serviceable with a blade.
MJID_FleurageLC	Noble
MJID_H_FleurageLC	One born into a noble royal family.\nA proficient magic user who is also\nserviceable with a sword.
MJID_Fleurage	Vidame
MJID_H_Fleurage	Magic-wielding swordswoman who\ncan cut through enemy mages. She\nis also capable of wielding staves.
MJID_SuccesseurLC	Lord
MJID_H_SuccesseurLC	One born into a family that leads\na nation. Proficient with a sword.
MJID_Successeur	Successeur
MJID_H_Successeur	One with the will and strength to\nlead a nation. Skilled with both the\nblade and the axe.
MJID_TirailleurLC	Lord
MJID_H_TirailleurLC	One born into a family that leads\na nation. Proficient with a bow.
MJID_Tirailleur	Tireur d'élite
MJID_H_Tirailleur	An archer gifted with incredible\naim. Each shot can eliminate a foe.
MJID_LindwurmLC	Wing Tamer
MJID_H_LindwurmLC	A knight who has a rapport with\nbeasts. Rides a wyvern into battle\nand uses magic and staves.
MJID_Lindwurm	Lindwurm
MJID_H_Lindwurm	A magic-using wyvern rider who\ndestroys enemies from above. Can\nuse powerful magic and staves.
MJID_SleipnirLC	Wing Tamer
MJID_H_SleipnirLC	A knight who has a rapport with\nbeasts. Rides a pegasus into battle\nand is skilled with tome and staff.
MJID_Sleipnir	Sleipnir Rider
MJID_H_Sleipnir	A knight who rides the charming\npegasus Sleipnir. Uses powerful\nstaves and is skilled with tomes.
MJID_PitchforkLC	Sentinel
MJID_H_PitchforkLC	A Sentinel who takes up arms to\ndefend her nation. Proficient with\nthe lance.
MJID_Pitchfork	Picket
MJID_H_Pitchfork	A lancer who pierces the enemy lines\nwith flawless skill. Her bouncy steps\npresage deadly attacks.
MJID_CupidoLC	Sentinel
MJID_H_CupidoLC	A Sentinel who takes up arms to\ndefend his nation. A proficient\nrider and archer.
MJID_Cupido	Cupido
MJID_H_Cupido	A charming bow knight who fights\nwith casual flair. Skilled with both\nbow and sword, he toys with his foe.
MJID_SwordFighter	Sword Fighter
MJID_H_SwordFighter	Footsoldiers who take pride in their\nskill with a blade. They avoid enemy\nattacks with nimble footwork.
MJID_SwordMaster	Swordmaster
MJID_H_SwordMaster	Master sword fighters who avoid\nattacks by a hair's breadth and\nretaliate with mighty skills.
MJID_BraveHero	Hero
MJID_H_BraveHero	Accomplished veterans proficient\nin several weapons and can easily\ncut through the front lines.
MJID_LanceFighter	Lance Fighter
MJID_H_LanceFighter	Soldiers who fight with a lance. They\nstrike just the right balance between\noffense and defense.
MJID_Halberdier	Halberdier
MJID_H_Halberdier	Lance-wielders with a great deal of\nbattlefield experience. Several cuts\nabove common lance fighters.
MJID_RoyalKnight	Royal Knight
MJID_H_RoyalKnight	Noble knights who tear across the\nbattlefield on horseback, rallying\ntheir allies. They can also use staves.
MJID_AxFighter	Axe Fighter
MJID_H_AxFighter	Proven warriors with an axe. Their\nswings are fierce, but leave them\nopen to retaliation.
MJID_Berserker	Berserker
MJID_H_Berserker	Mighty warriors of unparalleled\nstrength. They cleave foes in twain\nwith huge axes.
MJID_Warrior	Warrior
MJID_H_Warrior	Skilled experts in annihilating their\nenemies. They are capable with\nbows as well as axes.
MJID_Archer	Archer
MJID_H_Archer	Light infantry who fight with a bow.\nThey can attack from a distance.
MJID_Sniper	Sniper
MJID_H_Sniper	Masters of the bow who target their\nfoes' weak points with precision\nstrikes.
MJID_BowKnight	Bow Knight
MJID_H_BowKnight	Bow users that fire from the saddle\nand outflank foes with high mobility.
MJID_SwordArmor	Sword Armor
MJID_H_SwordArmor	Heavily armored sword fighters clad\nin tough armor. They have high\ndefense, but magic is their bane.
MJID_LanceArmor	Lance Armor
MJID_H_LanceArmor	Heavily armored lancers clad in\ntough armor. They have high\ndefense, but magic is their bane.
MJID_AxArmor	Axe Armor
MJID_H_AxArmor	Heavily armored axe-wielders clad\nin tough armor. They have high\ndefense, but magic is their bane.
MJID_General	General
MJID_H_General	Heavily armored fighters boasting\nboth an impenetrable defense and\na fearsome offense.
MJID_GreatKnight	Great Knight
MJID_H_GreatKnight	Heavily armored knights clad in thick\narmor. They defend their allies with\na variety of weapons.
MJID_SwordKnight	Sword Cavalier
MJID_H_SwordKnight	Sword-wielding knights who ride\nfreely about the battlefield. They\nstrike a good balance of skills.
MJID_LanceKnight	Lance Cavalier
MJID_H_LanceKnight	Lance-wielding knights who ride\nfreely about the battlefield. They\nstrike a good balance of skills.
MJID_AxKnight	Axe Cavalier
MJID_H_AxKnight	Axe-wielding knights who ride\nfreely about the battlefield. They\nstrike a good balance of skills.
MJID_Paladin	Paladin
MJID_H_Paladin	High-ranking knights with a wealth\nof experience. Highly mobile and\nstrong against magic.
MJID_WolfKnight	Wolf Knight
MJID_H_WolfKnight	Knights who dart over the battlefield\nmounted on wolves. Their knife\nstrikes are the ruin of enemy camps.
MJID_SwordPegasus	Sword Flier
MJID_H_SwordPegasus	Sword fighters who soar through the\nsky on their pegasus mounts. Strong\nagainst magic, but weak to bows.
MJID_LancePegasus	Lance Flier
MJID_H_LancePegasus	Lance users who soar through the\nsky on their pegasus mounts. Strong\nagainst magic, but weak to bows.
MJID_AxPegasus	Axe Flier
MJID_H_AxPegasus	Axe-wielders who soar through the\nsky on their pegasus mounts. Strong\nagainst magic, but weak to bows.
MJID_GriffonKnight	Griffin Knight
MJID_H_GriffonKnight	Experienced knights who fly through\nthe skies on a griffin. They are well-\nbalanced and can use staves.
MJID_DragonKnight	Wyvern Knight
MJID_H_DragonKnight	Experienced knights who fly through\nthe skies on wyverns. Though\npowerful, they fear bows and magic.
MJID_Mage	Mage
MJID_H_Mage	Magic users who cast spells from\ntomes. Strong against enemies with\nhigh defense.
MJID_Sage	Sage
MJID_H_Sage	Experienced mages who can call\nupon great power. Capable of using\nboth tomes and staves.
MJID_MageKnight	Mage Knight
MJID_H_MageKnight	Magic knights who cast spells from\nhorseback, but can also take part in\nmelee combat.
MJID_Monk	Martial Monk
MJID_H_Monk	Combat monks who use staves to\nheal wounded allies. They are versed\nin the martial arts of self-defense.
MJID_MasterMonk	Martial Master
MJID_H_MasterMonk	Experienced monks trained in the\nmartial arts. They excel at hand-to-\nhand combat as well as healing.
MJID_HighPriest	High Priest
MJID_H_HighPriest	Masters of staves with wisdom\nfrom experience. Their healing\npowers are lifesaving in battle.
MJID_Thief	Thief
MJID_H_Thief	Burglars with a talent for picking\nlocks. They are nimble with their\nhands and deadly with a knife.
MJID_Dancer	Dancer
MJID_H_Dancer	Charming performers who can raise\nan ally's spirits, allowing the ally to\nact once more in battle.
MJID_Villager	Villager
MJID_H_Villager	An ordinary person with no combat\ntraining.
MJID_Melusine	Melusine
MJID_H_Melusine	An alluring magic knight who rides\nan evil dragon. Overpowers with\nhighly honed magic and sword skills.
MJID_Barbarian	Barbarian
MJID_H_Barbarian	Fierce fighters with an insatiable\nrage. They possess great strength\nand speed, but little defense.
MJID_MorphDragon	Corrupted Wyrm
MJID_H_MorphDragon	Minions of the Fell Dragon who aim\nto bring the world to ruin. Their dark\nbreath destroys all.
MJID_PhantomDragon	Phantom Wyrm
MJID_H_PhantomDragon	Enormous draconic minions. Though\nthey are slow, their breath can affect\nfaraway enemies.
MJID_Emblem	Emblem
MJID_H_Emblem	Heroes from worlds beyond Elyos,\nwho are contained in rings. They\npossess unimaginable power.
