MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nLook at this place! Oh my. It can't be...\nIt's impossible!\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nWhat's wrong, Eirika?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0C\nエイリーク\nThis looks almost exactly like... I'd swear to\nyou, this is where everything changed forever.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0A\x08リュール\nChanged? How so?\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0C\nエイリーク\nI was a member of the royal family of Renais.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0C\nエイリーク\nOur close neighbors, the Grado Empire, were\nour allies for centuries.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0C\nエイリーク\nThen with no hint of warning, the Grado Empire\ninvaded.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0A\x08リュール\nThat must have been difficult, if you were allies\nfor so long.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0C\nエイリーク\nAs the royal family, my brother and I fought\ntogether with our friends to protect our people.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x0C\nエイリーク\nThe final conflict took place right here.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0C\nエイリーク\nI know things only look similar, but it's very\nmuch like being back there.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0A\x08リュール\nYou don't have to go on. I understand that it's\na painful memory.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0C\nエイリーク\nI... I lost a very dear friend that day.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0A\x08リュール\nBut you didn't lose hope─you fought on.\nEven when faced with losing a friend.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x0C\nエイリーク\nI─ Would you spar with me? Here?\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x0C\nエイリーク\nEverything I feel about that day is bound up.\nMy heart is full of grief...\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x0C\nエイリーク\nPerhaps fighting here will help overcome that.\nThough that sounds like my brother's thinking.\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x0A\x08リュール\nI would be glad to spar with you. However,\nI don't plan on losing.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x0C\nエイリーク\nWell, you wouldn't last long if you didn't try\nto win.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x0C\nエイリーク\nAnd if you do win, then our bonds will only\nbecome stronger.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nエイリーク\x02b\n\x0E\x05\x01\x18\nエイリーク\nRelax\n\x0E\x03\x02\x0C\nエイリーク\nNow let us begin, \x0E\x06\x03\x00!\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nエイリーク\x02b\n\x0E\x05\x01\x1A\nエイリーク\x0CStrike\n\x0E\x03\x02\x0C\nエイリーク\nHmm. I see no gaps in your defenses, but that\ndoesn't mean you'll win easily.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nエイリーク\x02b\n\x0E\x05\x01\x18\nエイリーク\nSmile\n\x0E\x03\x02\x0C\nエイリーク\nFighting you here... It feels so strange.\x0E\x04\x00\x00
MID_BT1_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nSmile\n\x0E\x03\x02\x0A\x08リュール\nI feel it too. Facing you like this is making\nme stronger.\x0E\x04\x00\x00
MID_BT1_#003	\x0E\x05\x01\x18\nエイリーク\nRelax\n\x0E\x03\x02\x0C\nエイリーク\nYou've been strong from the start. Now, show\nme you have the skills to back up your strength.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ロサード\x02t\n\x0E\x05\x01\x16\x08ロサード\nSmile\n\x0E\x03\x02\x0A\x08ロサード\nI didn't think we'd get to hang out this much,\nEirika. It's been lots of fun!\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x10\nエイリーク\x02b\n\x0E\x05\x01\x18\nエイリーク\nSmile\n\x0E\x03\x02\x0C\nエイリーク\nI'm glad that it's you who engaged with me.\nEvery day is a new experience. \x0E\x04\x00\x00
MID_BT2_#003	\x0E\x05\x01\x1C\x08ロサード\x10Surprise\n\x0E\x03\x02\x0A\x08ロサード\nAw, thanks so much! Now you've got me\nblushing, though...\x0E\x04\x00\x00
