MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x00\x10\nヴェロニカ\x023\n\x0E\x03\x02\x0A\x08リュール\nIncredible. Another island among the clouds.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x06\x04チキ\nI can sense another bracelet near here. We're\nquite close now, I'm certain.\x0E\x04\x02\x00
MID_OP1_#003	Ah, there it is! The Bracelet of the Lonely Heir!\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0A\x08リュール\nI hope the Emblem inside is friendly. Well, time\nto find out.\x0E\x04\x02\x00
MID_OP1_#005	Heed our summons, Emblem of Heroes!\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nI am Veronica, Imperial Princess of Embla.\nName yourself.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08リュール\nHello, Emblem Veronica. I'm the\nDivine Dragon \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_OP2_#003	It's an honor.\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x0C\nヴェロニカ\nAn honor. What a strange thing to say.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0A\x08リュール\nI'm honored to speak with such a distinguished\nEmblem. There's nothing strange about that.\x0E\x04\x02\x00
MID_OP2_#006	And it just so happens we need all the allies\nwe can get. Would you consider joining us?\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0C\nヴェロニカ\nJoining you? As your ally?\x0E\x04\x02\x00
MID_OP2_#008	You have it the wrong way around. It is you\nwho would be joining the Emblian army.\x0E\x04\x02\x00
MID_OP2_#009	But very well, I accept. You may join the Heroes\nI have summoned from other worlds.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x0A\x08リュール\nYou can do that?\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0C\nヴェロニカ\nYes. Where I come from, that power belongs\nto one called the summoner.\x0E\x04\x02\x00
MID_OP2_#012	When I became an Emblem, I developed the\nsame ability.\x0E\x04\x02\x00
MID_OP2_#013	Now I am gathering Heroes from other worlds,\nthat I might bring the Kingdom of Askr to ruin.\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08リュール\nI've never heard of any Kingdom of Askr...\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x0C\nヴェロニカ\nNever mind that. You will make a fine pawn in\nmy schemes.\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x02\x0A\x08リュール\nNow hold on a second...\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x02\x0C\nヴェロニカ\nThere is no time for delay. I must make you my\nHero before the summoner can do the same.\x0E\x04\x02\x00
MID_OP2_#018	Prepare yourself for combat. The victor\ncommands the vanquished.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x0A\x08リュール\nWait! I don't want to fight!\x0E\x04\x00\x00
