MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHere we are, Framme. This is the perfect spot\nfor apple picking.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\nOooh, it's pretty!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06フラン\nKind of a long hike just to get some fruit to cook\nwith, don't you think? Phew!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nThe best food requires the best ingredients.\nGathering them takes effort.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06フラン\nJust getting here was a serious workout.\nCooking is no joke!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nI can't wait to relax in a nice warm bath after\nI get home.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06フラン\nUh, Goldmary? What are you doing?!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWhat's the matter?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06フラン\nWhy are you taking your clothes off?!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06フラン\nPut them back on this instant!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nThere's a lovely spring right here. I thought\nI would take a quick dip.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nA little warning would've been nice!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWarning? For what? I was only going to\nrinse off.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nYou said yourself you were looking forward\nto a bath after that long hike.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\nUm, sure...but I was planning on doing that\nwhen I got home.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06フラン\nYou're really comfortable enough to just take a\nbath out in the open?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nYes, it seems normal to me. But that's probably\nbecause I grew up in a village with hot springs.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06フラン\nI always thought you seemed pretty shy, but it\nlooks like I was totally wrong.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06フラン\nI guess that's what I get for judging by\nappearances, huh...\x0E\x04\x00\x00
