MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHere we are─the kingdom of Firene.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nWhat a beautiful place.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nIsn't it? And no sign of the Corrupted, so\nthat's good.\x0E\x04\x02\x00
MID_OP1_#004	That was quite a trip, crossing the sea all the\nway from Lythos. I hope you're not worn out.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nI'm fine.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nGood, good. Listen, I'm sorry for twisting your\narm to come with me.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0A\x08リュール\nAlfred, it's all right. I wanted to come.\x0E\x04\x02\x00
MID_OP1_#008	How about before we arrive at the castle, you\ntell me more about this kingdom of yours?\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nHappy to! Let's see...\x0E\x04\x02\x00
MID_OP1_#010	Firene is one of the four nations of Elyos,\nin the southwest.\x0E\x04\x02\x00
MID_OP1_#011	It's ruled by my mother, Queen Ève. We're\nknown as a...land of plenty.\x0E\x04\x02\x00
MID_OP1_#012	Our people value peace above all else.\nWe haven't seen war for centuries.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08リュール\nYou must come from a long line of\ncapable leaders.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nThat's kind of you to say. Peace doesn't\nalways come easy.\x0E\x04\x02\x00
MID_OP1_#015	Mother had to hammer out a nonaggression\npact with our neighbors.\x0E\x04\x02\x00
MID_OP1_#016	The pact says there won't be war between us,\nSolm, and Brodia.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x0A\x08リュール\nRight─Solm, the Queendom of Freedom and\nBrodia, the Kingdom of Might.\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nYou've got it. Solm is an open-minded country.\nThey've always had good relations with Firene.\x0E\x04\x02\x00
MID_OP1_#019	But an alliance with Brodia took some doing.\nTheir king's an ambitious man.\x0E\x04\x02\x00
MID_OP1_#020	He's always launching attacks on Elusia to\nexpand his own territory.\x0E\x04\x00\x00
MID_OP1_#021	\x0E\x03\x02\x0A\x08リュール\nI take it Elusia isn't in the alliance.\x0E\x04\x00\x00
MID_OP1_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo. Honestly, they're so far away, we don't\ninteract with them too much.\x0E\x04\x02\x00
MID_OP1_#023	We know it's snowy there, with long winters...\nand that some Elusians worship the Fell Dragon.\x0E\x04\x00\x00
MID_OP1_#024	\x0E\x03\x02\x0A\x08リュール\nThe Fell Dragon?\x0E\x04\x00\x00
MID_OP1_#025	\x0E\x03\x02\x0E\x0Cアルフレッド\nIt's troubling, I know. But...people can believe\nwhat they believe.\x0E\x04\x02\x00
MID_OP1_#026	Sorry... I didn't bring it up to turn you\nagainst Elusia.\x0E\x04\x00\x00
