MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0A\x08リュール\nWhere are we?\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06アイク\nGebal Castle. At least, that's what it looks like.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nSomeplace you've been?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06アイク\nYeah. It's near the border between the nations\nof Crimea and Gallia.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x08\x06アイク\nInteresting that this place is where we will have\nour trial.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\nTrial?\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06アイク\nWe were pursued here by forces from the\nkingdom of Daein. They laid siege, trapping us.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x08\x06アイク\nOur escape was cut off. The strength of their\nforces was overwhelming.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06アイク\nMy father had died, and I'd taken up his role\nas leader of the Greil Mercenaries.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06アイク\nAnd this is where I met my first great trial.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0A\x08リュール\nThat sounds rough. What did you do?\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x08\x06アイク\nI fought─to protect my sister and the\nGreil Mercenaries.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x08\x06アイク\nIf you found yourself in the same situation,\nwhat would you do?\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0A\x08リュール\nI'd like to think I would also fight. I don't want\nanyone I care about to be harmed.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x08\x06アイク\nAnd I believe you would fight well.\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x08\x06アイク\nSo show me how you would defend those near\nto you. No words now, only deeds.\x0E\x04\x00\x00
