MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\n♪Fun, fun, fun for all to see!\nGonna sing, sing, sing and go shopping!♪\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nミスティラ\n♪Can't wait to see all the folks out there...\nAnd dance and shake my hair, hair, hair!♪\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nHello, Princess Timerra. Sounds like you're\nhaving fun.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nミスティラ\nHehe! What tipped you off? I'm actually headed\ninto town.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nAll by yourself? No guards or escorts?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nミスティラ\nYeah! Going incognito. Y'know, you're more\nthan welcome to come with.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nThank you, but I'll pass. I was about to start my\ndaily training regimen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nAw! That's a shame.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\n♪Woulda been fun to hang with Princey D...\nBut he's busy training his bo-o-dy!♪\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nHmm.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nI don't mean to meddle in the affairs of other\nroyals, but...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nIf you have time to sing and dance your way\nthrough town, you should have time for training.\x0E\x04\x00\x00
