MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x00\x10\nディミトリ\x023\n\x0E\x03\x00\x0E\x08クロード\x024\n\x0E\x03\x02\x0A\x08リュール\nThere's an Emblem inside this bracelet, all right.\nThe presence inside is...complicated.\x0E\x04\x02\x00
MID_OP1_#002	But I think I have the invocation.\x0E\x04\x02\x00
MID_OP1_#003	Lead us, Emblem of Rivals!\x0E\x04\x00\x00
MID_OP1_2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x00\x10\nディミトリ\x023\n\x0E\x03\x00\x0E\x08クロード\x024\n\x0E\x03\x02\x10\x0Eエーデルガルト\nFinally, we're free. I am Emblem Edelgard.\x0E\x04\x00\x00
MID_OP1_2_#002	\x0E\x03\x02\x0C\nディミトリ\nPleased to meet you. I am Emblem Dimitri.\x0E\x04\x00\x00
MID_OP1_2_#003	\x0E\x03\x02\x0A\x08クロード\nGuess that makes me Emblem Claude. Hi there.\x0E\x04\x00\x00
MID_OP1_2_#004	\x0E\x03\x02\x0A\x08リュール\nThat must have been a crowded bracelet...\x0E\x04\x02\x00
MID_OP1_2_#005	Sorry, I should introduce myself. I'm the\nDivine Dragon \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_OP1_2_#006	You're obviously not from Elyos. May I ask what\nyou're doing here?\x0E\x04\x00\x00
MID_OP1_2_#007	\x0E\x03\x02\x10\x0Eエーデルガルト\nUntil recently, we were the guardians of another\nworld. It seems we were moved somehow.\x0E\x04\x02\x00
MID_OP1_2_#008	\x0E\x03\x02\x0A\x08リュール\nI get the feeling you've come to give me some\nsort of test.\x0E\x04\x00\x00
MID_OP1_2_#009	\x0E\x03\x02\x10\x0Eエーデルガルト\nNo need for that. You were able to summon us.\nThat is enough.\x0E\x04\x02\x00
MID_OP1_2_#010	And your timing is excellent. We were just\ngrowing weary of each others' conversation.\x0E\x04\x00\x00
MID_OP1_2_#011	\x0E\x03\x02\x0A\x08クロード\nSpeak for yourself. I thought Dimitri's stories\nwere getting better with every telling.\x0E\x04\x00\x00
MID_OP1_2_#012	\x0E\x03\x02\x0C\nディミトリ\nYes, the sarcastic interruptions kept increasing\ntoo. Coincidence, I'm sure.\x0E\x04\x00\x00
MID_OP1_2_#013	\x0E\x03\x02\x0A\x08リュール\nYou three all seem to be...really comfortable\nwith each other.\x0E\x04\x00\x00
MID_OP1_2_#014	\x0E\x03\x02\x10\x0Eエーデルガルト\nAppearances can be deceiving.\x0E\x04\x00\x00
MID_OP1_2_#015	\x0E\x03\x02\x0C\nディミトリ\nReally, Edelgard?\x0E\x04\x00\x00
MID_OP1_2_#016	\x0E\x03\x02\x0A\x08クロード\nShe's kidding. You can tell because her face\nlooks exactly the same as when she's serious.\x0E\x04\x00\x00
MID_OP1_2_#017	\x0E\x03\x02\x10\x0Eエーデルガルト\nHeh-heh, we have always been in competition.\nIt will be refreshing to join forces.\x0E\x04\x00\x00
MID_OP1_2_#018	\x0E\x03\x02\x0C\nディミトリ\nI should explain. We were all students at the\nOfficers Academy, but we led different houses.\x0E\x04\x00\x00
MID_OP1_2_#019	\x0E\x03\x02\x0A\x08リュール\nThat's what you meant by competition.\x0E\x04\x00\x00
MID_OP1_2_#020	\x0E\x03\x02\x10\x0Eエーデルガルト\nYes. We only truly came together for special\nevents, like the Battle of the Eagle and Lion.\x0E\x04\x00\x00
MID_OP1_2_#021	\x0E\x03\x02\x0C\nディミトリ\nA traditional mock battle between the houses,\nto celebrate one another's strengths.\x0E\x04\x00\x00
MID_OP1_2_#022	\x0E\x03\x02\x10\x0Eエーデルガルト\nThe real celebration was afterward. Our\nfestivities got rather exuberant that night.\x0E\x04\x00\x00
MID_OP1_2_#023	\x0E\x03\x02\x0A\x08クロード\nDimitri looks pretty straitlaced, but don't let him\nfool you, \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_OP1_2_#024	Between you and me, he's like a force of\ndestruction at a party.\x0E\x04\x02\x00
MID_OP1_2_#025	I'm surprised they didn't expel his whole house\nfor those shenanigans.\x0E\x04\x00\x00
MID_OP1_2_#026	\x0E\x03\x02\x0A\x08リュール\nHaha, must have been quite a night.\x0E\x04\x00\x00
MID_OP1_2_#027	\x0E\x03\x02\x0C\nディミトリ\nYou only just met him, so you can't tell if he's\njoking. Just ignore half of everything he says.\x0E\x04\x00\x00
MID_OP1_2_#028	\x0E\x03\x02\x0A\x08クロード\nCome on, be fair. At least a third of what I say is\nworth hearing.\x0E\x04\x00\x00
MID_OP1_2_#029	\x0E\x03\x02\x10\x0Eエーデルガルト\nYou do know a third is less than half, right?\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ベレト\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x00\x10\nディミトリ\x023\n\x0E\x03\x00\x0E\x08クロード\x024\n\x0E\x03\x02\x08\x06ベレト\nI see we've gained some dependable allies.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nProfessor! You're here as well? Now I truly\nfeel motivated.\x0E\x04\x02\x00
MID_OP2_#003	What an honor it will be to fight by your side!\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x08\x06ベレト\nIf you're that honored, I'll have to make sure\nI'm at my best.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0C\nディミトリ\nThis little reunion reminds me of the day we\nfirst met the professor.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x10\x0Eエーデルガルト\nYou mean that night our camp was attacked\nby bandits?\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0C\nディミトリ\nThat's right. Only now, Claude won't be able to\nmake any "strategic retreats."\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x0A\x08クロード\nI guess we are sort of stuck together now,\naren't we?\x0E\x04\x02\x00
MID_OP2_#009	I hate to say it, but we'll need to learn to get\nalong better if we're fighting on the same side.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x08\x06ベレト\nYes. You will.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x10\x0Eエーデルガルト\nTrue. None of us can do all that we must on\nour own.\x0E\x04\x02\x00
MID_OP2_#012	But together, as part of this army, I think defeat\nis inconceivable.\x0E\x04\x02\x00
MID_OP2_#013	Maybe I sound arrogant, but I'm that confident\nin the skills our professor has taught us.\x0E\x04\x02\x00
MID_OP2_#014	Wouldn't you agree, my teacher?\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x08\x06ベレト\nOf course. I am proud of you all. This time, let\nus fight together to the end.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x00\x10\nディミトリ\x023\n\x0E\x03\x00\x0E\x08クロード\x024\n\x0E\x03\x02\x10\x0Eエーデルガルト\nLet me say it formally, \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_OP3_#002	Our power is at your disposal. Please make the\nmost of it.\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x0C\nディミトリ\nVictory will be ours, have no fear. We are here\nto help.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x0A\x08クロード\nAnd if these two and their conventional tactics\nfail, maybe I'll show you a few tricks.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x0A\x08リュール\nThat's all very reassuring. Thank you.\x0E\x04\x02\x00
MID_OP3_#006	I'll do my best to help the three of you\nwork together.\x0E\x04\x00\x00
