MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マロン\x021\n\x0E\x03\x02\x08\x06マロン\nYou plot and scheme in service of one. Will you\nfight for their happiness?\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06モーヴ\nYou trust, love, and care for one. Do you wish\nto make them yours alone?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x08\x06マロン\nThe country of boulders has crumbled.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06モーヴ\nThe country of flowers has wilted.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x08\x06マロン\nLet them be. One knows the truth.\x0E\x04\x02\x00
MID_OP1_#006	In this world, there is no mercy. My yearning\ndoes not exist here.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\n青リュール\x021\n\x0E\x06\x00&\n青リュール\x18MPID_Unknown\n\x0E\x03\x00\x14\x0EE001_エル\x022\n\x0E\x03\x02\x0C\n青リュール\nNel! Nel!\x0E\x04\x02\x00
MID_OP2_#002	Look around. The windflowers have bloomed.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x10\x0EE001_エル\nBeautiful. The sight of them is rejuvenating,\neven in the midst of this brutal war.\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x0C\n青リュール\nLet's take some to show the others. We can\npick this blue one and that red one...\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x10\x0EE001_エル\nIt feels wrong to pick them. Perhaps we should\ninvite the others here instead.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0C\n青リュール\nYou know, I think you're right. That's a much\nbetter idea.\x0E\x04\x02\x00
MID_OP2_#007	I love how you take care of everyone, Nel.\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x10\x0EE001_エル\nI am just following your example.\x0E\x04\x02\x00
MID_OP2_#009	Haha!\x0E\x04\x02\x00
MID_OP2_#010	\x0E\x03\x00\x14\x0EE004_エル\x022\n\x0E\x03\x02\x10\x0EE004_エル\n...\x0E\x04\x02\x00
MID_OP2_#011	A dream.\x0E\x04\x02\x00
MID_OP2_#012	Such...sentiment no longer becomes me.\x0E\x04\x02\x00
MID_OP2_#013	...\x0E\x04\x02\x00
MID_OP2_#014	I must put this foolishness out of mind.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE004_エル\x021\n\x0E\x03\x00\x14\x0EE004_イル\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x00\x1A\x14E004_グレゴリー\x024\n\x0E\x03\x02\x10\x0EE004_イル\nThe kingdom of Elusia is certainly chilly.\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x0A\x08リュール\nYes, and much easier to get into than Brodia.\nI'm almost disappointed.\x0E\x04\x00\x00
