MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0A\x08リュール\nOh no, what have I done...\x0E\x04\x02\x00
MID_RELIANCE_C_#002	At least the books weren't damaged. I better\npick them up before anyone...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nグレゴリー\nWhat're you up to, Divine One?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nOh! Hello, Gregory. I was asked to help tidy up,\nbut then...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nグレゴリー\nBut then it all came tumbling down, huh? Even\nthe Divine Dragon can't carry it all at once!\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Here, let me help you. Many hands make for\nlight work, right?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nThank you very much.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	If we work together, I think we can be done in\na few more trips.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nグレゴリー\nSo why the big clean, anyway?\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Or better question, why are you the one\ndoing it?\x0E\x04\x02\x00
MID_RELIANCE_C_#011	I mean, isn't this something you could get one\nof your allies to do for you?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nI couldn't possibly ask someone to do my work\nfor me.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	I want to help out however I can. Even when\nthat means tidying up.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nグレゴリー\nHuh...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nOK, the books are all properly stacked.\nHopefully they won't topple over again.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nグレゴリー\nSuch a kind soul. I just hope no one ever takes\nadvantage of...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nOh, did you say something?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nグレゴリー\nUh! Nope. Nope, nope. Not a thing.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nUgh... It was the middle of the day when we\nleft. Now it's completely dark.\x0E\x04\x02\x00
MID_RELIANCE_B_#002	Today was quite the adventure, wasn't it?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nI never would have expected that a simple\nshopping trip could become such an ordeal.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nグレゴリー\nFirst we found that lost child...then it turned out\nthey were looking for their cat...\x0E\x04\x02\x00
MID_RELIANCE_B_#005	And then we managed to get lost in the woods\nwhen we went searching for the cat.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nI'm sorry... I had no idea those woods were\nso deep...\x0E\x04\x00\x00
