MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nI've never seen a power like yours. The ability\nto manifest Emblems... I want to make it mine.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nI'm honored, but I'm afraid that power can't be\nyours. If you need it, though, I'm happy to help.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nEven though you are covered in wounds, you\ncontinue to fight. Why? Who is compelling you?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nNo one is compelling me. I fight because I want\nto protect the world that I love.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nYou fight for peace with all of your might. There\naren't many out there like you...\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nIt's all because I have the support of my friends.\nI'm grateful to have you as a friend as well.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nYou consider me...a friend?\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nOf course. The bonds we formed while fighting\ntogether will last until the sky falls.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nLady Veronica, I am deeply honored that an\nimperial princess has offered to fight with us.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI cannot stand formality. Instead, why\ndon't you tell me about yourself...\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nWhat are you doing with that cloth, Vander?\nDid you make it?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nI'm knitting lace. It's one of my favorite hobbies.\nAre you interested in learning?\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nI feel like all you do is listen to me talk. Do you\nnot find it boring?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nNot at all. Your stories are deeply fascinating,\nand I enjoy your smile when you tell them.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nI smile when talking to you? How strange...\nI don't often smile.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nMaybe it's because we've spent so much time\ntogether. We're becoming friends.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06クラン\nLady Veronica, if there's anything you'd like me\nto do for you, let me know. I enjoy helping out.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nHmm... In that case, tell me a story. I'd like to\nlearn more about you.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06クラン\nIf you don't mind, I'd like to hear more about\nyou. What do you like? How do you relax?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nAbout me? Well, since you asked so nicely...\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nClanne, you...speak to me quite often. Do you\ntruly find it enjoyable?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\nOf course! I love hearing your stories. Spending\ntime with you is very relaxing.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nWhat about you? Is talking to me ever\na nuisance?\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nNot at all. I look forward to our talks. Strangely,\nI'd like to keep having them.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06フラン\nLady Veronica! Do you need anything? I'll do\nmy best to take good care of you.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI don't need anything right now. Although...if\nyou have time, maybe we could talk?\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06フラン\nI really want to redecorate this place. I think a\nmore vibrant environment would suit you.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nOh, is that so? I've never considered decor. But\nif you want to do it, I'll watch.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nWatching you is fascinating. You run so fast,\nfall on your face, and then keep going.\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06フラン\nThat's because I don't give up. I may fall down,\nbut I'm proud to say I always get up again!\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nYou're stronger than you let on. And you have\nboundless energy. Where does it come from?\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nIt's hard not to be energized by all the fun\nwe've been having. I'm always excited by you!\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nYou wake up so early. What do you gain from\nthose morning hours?\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nMore time to train! It's important to move your\nbody, no matter what. Want to go for a jog?\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nAhhh, today's gonna be another good day, I can\nfeel it. Doesn't it just fill you with joy?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nJoy... I've never really felt it. But I do now, I\nthink. Just a little...\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nIt's been another great day. I'm so grateful to be\nhealthy and surrounded by good friends.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nYou are always so...optimistic. You have so\nmuch that I don't. It isn't fair.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nThat's not true at all. We live in the same place,\nand we've got all the same friends.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nTrue. I have allies and a place to belong. If only\nit could always be this way...\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nYou enjoy reading books, don't you? Out of\ncuriosity, what are you reading?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nブシュロン\nOne of my favorite stories. If you like to read,\nI can give you some recommendations.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nWhat book are you reading today? Maybe\nI could read it with you...\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nSure. Here, I just started this one. Let me know\nwhen you're ready for me to turn the page.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nI've read so many books with you. But it makes\nme worry we will run out of stories soon.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nThere are so many books in the world─it would\ntake lifetimes to read them.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nブシュロン\nThat's why there's no end to the tales. We can\nread together for as long as you like.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nThat's good to hear. Endings are daunting, but\nI'm excited to learn what book we'll read next.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nYou always seem to be moving. Why? Isn't the\nconstant exertion grueling?\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0C\nエーティエ\nTraining doesn't hurt. In fact, nothing makes me\nhappier! It helps me clear my head.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nエーティエ\nI think you'd get a lot out of exercising. How\nabout it─wanna join me for a jog?\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIt's not my inclination... But if it will help me\nbecome a good empress, I'll consider it.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nエーティエ\nI'll probably break for tea after this. Wanna\njoin me?\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI do like tea. My brother and I used to drink it\nall the time, when he was around.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nOh yeah? Tell me more.\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nI'll tell you more over tea. I'm curious to see\nthis world's selections.\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nI'd love to learn more about you. As you are\nthe princess of Embla, we share similar roles.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nOh...yes. I'd like to hear your stories as well.\nWhat is the ruler of your land like?\x0E\x04\x00\x00
