MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nYou'd do anything for your brother, wouldn't\nyou? I feel the same about my own family.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nThank you, Camilla. It is reassuring to know\nyou understand.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nIt must have been hard to turn against your own\nfather. I never had it in me.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nIt was a matter of necessity to protect my kin.\nThe same can be said for you, I am sure.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nA lifespan like yours truly lets you make the\nmost of your relationships. I'm a little jealous.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nTrue. But even my time is limited. That is why\nwe cherish our time together, as I do with you.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06カミラ\nAww, I feel the same way. Even after time pulls\nus apart, I will always hold our memories dear.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nIndeed. Let us pledge to remember one another,\neven unto eternity.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nラファール\nIn our world, I compelled you to fight against\nyour will. My penitence is long overdue.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06カミラ\nYou've already spent a long time repenting for\nthat. The least I can do is offer you forgiveness.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nYou need a confidant, Rafal. Come, rest your\nhead on my shoulder. Tell me everything.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nRidiculous. Your shoulder is not even corporeal.\nWhy are you looking at me like that?\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nI've noticed you keep your friends at arm's\nlength, no matter how warmly they accept you.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nI caused my sister's death. I all but destroyed an\nentire world. I am irredeemable.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06カミラ\nThat's not what your friends believe. Don't you\nthink you owe them a little bit of trust?\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nYou...do have a point. Thank you, Camilla. I will\ntry to see the matter from their perspective.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nIsn't it wonderful having so many in this army?\nIn my world, few of us fought. It's encouraging.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06カミラ\nYes, it's lovely being around such precious,\nstrong fighters. Why don't we go talk to them?\x0E\x04\x00\x00
