MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nNothing like a bit of knitting to properly relax.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x10\nザフィーア\x021\n\x0E\x03\x02\x0C\nザフィーア\nOh, Vander! Didn't expect to see you doing\nsome, uh...needlework?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nヴァンドレ\nOh, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nNot so loud, please. This is a delicate project.\nI am likely to bungle it if you startle me.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nザフィーア\nRight. Sorry.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nザフィーア\nGuess I was just surprised to see you knitting,\nof all things. Hobby of yours?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nヴァンドレ\nYes. And how is it surprising? Do you lack any\nhobbies of your own?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nザフィーア\nI'm a simple knight, through and through.\nCombat training is all I need.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nヴァンドレ\nAlways more to learn there. But this skill can be\nuseful on the battlefield as well.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nザフィーア\nYeah? How do you figure?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nヴァンドレ\nKnitting demands that you learn movements\nrequiring finesse, mastering them by repetition.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nヴァンドレ\nTaking shortcuts also leads to sloppy results.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nヴァンドレ\nThe same could be said of the skills we train\nfor combat, wouldn't you say?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nザフィーア\nOK, I see what you're getting at, and you might\nhave a point there.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nヴァンドレ\nAre you interested in learning the craft, then?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nザフィーア\nWhy not? Sure.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nヴァンドレ\nExcellent. I will be happy to teach you what\nI know. I think you will find it most fulfilling.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nYou dropped a stitch, Saphir.\x0E\x04\x00\x00
