MID_SYS_Difficulty_Normal	Normal
MID_H_Difficulty_Normal	For new and intermediate players.
MID_SYS_Difficulty_Hard	Hard
MID_H_Difficulty_Hard	For experienced players.
MID_SYS_Difficulty_Lunatic	Maddening
MID_H_Difficulty_Lunatic	For those who seek a true challenge.
MID_SYS_Mode_Select	Select a mode.
MID_SYS_Mode_Casual	Casual
MID_H_Mode_Casual	Fallen units return in the next battle.
MID_SYS_Mode_Classic	Classic
MID_H_Mode_Classic	Fallen units are lost forever.\nEvery decision counts.
MID_SYS_Grow_Random	Random
MID_H_Grow_Random	Stat boosts when leveling up will be assigned\nrandomly, but influenced by the unit and class.
MID_SYS_Grow_Fixed	Fixed
MID_H_Grow_Fixed	Stat boosts when leveling up will be assigned\nbased strictly on the unit and class.
MID_Decision	Confirm
MID_ToNext	Next
MID_SYS_BattleRecord	Battle Data
MID_SYS_Time	Time
MID_SYS_None	None
MID_SYS_Battle_Count	 Battles
MID_SYS_Win_Count	 Wins
MID_SYS_FoughtTogetherGod	Most Used Emblem
MID_SYS_TypeSection	Class Division
MID_SYS_SeniorPosition	Advanced
MID_SYS_BasicPosition	Base
MID_SYS_SpecialPosition	Special
MID_SYS_Position	\x0E\x01\x00\x00 Class
MID_SYS_UseWeapon	Weapons
MID_SYS_TypeOfWepon_1	Type 1
MID_SYS_TypeOfWepon_2	Type 2
MID_SYS_Status	Combat Stats
MID_SYS_Capability	Basic Stats
MID_SYS_EquipedStatus	In-Use Stats
MID_SYS_Spec	Performance
MID_SYS_Detail	Details
MID_SYS_EngageWeapon	Engage Weapons
MID_SYS_Class	Class
MID_SYS_Item	Items
MID_SYS_Skill	Skills
MID_SYS_SP	SP
MID_H_INFO_SP	Skill Points. Used to inherit skills\nfrom Emblems.
MID_SYS_Rating	Rating
MID_H_INFO_Rating	The sum of the unit's key stats.
MID_SYS_LV	Lvl
MID_H_INFO_LV	Indicates the unit's overall strength.\nIncreases with experience.\n\x0E\x01\x00\x00 EXP until next level.
MID_H_INFO_LV_MAX	Indicates the unit's overall strength.\nIncreases with experience.\nUnit has reached maximum level.
MID_H_INFO_LV_ENEMY	Indicates the unit's overall strength.\nIncreases with experience.
MID_H_INFO_BOND_LV	The strength of the bond between\nthe unit and Emblem. The higher it is\nthe more power the Emblem grants.
MID_SYS_Exp	EXP
MID_SYS_HP_MAX_UP	Max HP
MID_SYS_HP	HP
