MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nI am thrilled to be your compatriot. I swore to\nLumera that I would defend you with my life.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nThank you, Emblem Sigurd. I'm...I'm glad to\nhave you on my team too.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nYou are as family to me. We shall walk the same\npath and fight the same battles.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nI feel safer with you on my side. In every battle,\nI can feel our hearts beating in sync.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nYou have fostered close friendships among\nyour allies. That, in turn, led to my presence.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nI couldn't have made it this far without all the\nothers who walked beside me.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nThat includes you, Sigurd. I'm so grateful that\nyou've been such an ally to us all.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08シグルド\nOur bonds will persist even unto the far future.\nWe shall end this fight united.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nIt pains me so that I was unable to protect\nQueen Lumera. I am ill with the guilt of it.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0A\x08シグルド\nGone she may be, but the will of Lumera lives\non. Bringing her wishes to fruition is our duty.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nWhat handicraft you display. The ability to knit\nsuch an elaborate lace must be uncommon, no?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nI suppose I have developed some skill at the art.\nIn truth, it is only a hobby I enjoy in idle hours.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\n"An outstanding Steward of the Dragon," that\nis what Lumera said of you. Did you know?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nIt was my privilege to serve the queen. Though\nI assumed it would be she who would bury me.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nI admired Queen Lumera. It was a true joy to\nhave served as her attendant for so long.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0A\x08シグルド\nAnd she, I am sure, was happy to have you.\nNow, together, let us continue her work.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nYou rather admire the Divine Dragon, do you\nnot, Clanne?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nYeah! I waited so long for the Divine Dragon to\nwake up. It's like I'm living in a dream!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06クラン\nI talked to the Divine Dragon so much today!\nLord Sigurd, I'm so happy I could faint.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x0A\x08シグルド\nFainting during conversation? Some would think\nthat rude. Strive to remain upright, Clanne. \x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06クラン\nI want to help the Divine Dragon, so I should be\nstrong. How do I get strong, Lord Sigurd?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x0A\x08シグルド\nA knight's duty is to aid their people. That alone\nwas the inspiration I needed to train daily.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x0A\x08シグルド\nYet it is not enough, strength. Compassion must\nbe a regular practice as well. Study the heart.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nThe heart... Huh. OK. Thank you, Lord Sigurd.\nI'm going to think about this.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nLumera spoke highly of you. She said you\nmoved to the Somniel at her personal request.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06フラン\nQueen Lumera mentioned me?! I'm so honored!\nI promise I won't fail her or you, Lord Sigurd.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06フラン\nI decorated the Divine One's bedchamber once.\nIt looked so good! But Vander got mad at me.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x0A\x08シグルド\nSurely your intentions were respectful. Doing an\nextra kindness like that is commendable.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06フラン\nI'm writing a letter to my family back home.\nI miss them so much.\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x0A\x08シグルド\nI never received a letter from my child, although\nit would have pleased me greatly if I had.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nAww, that's sad. Lord Sigurd, would it be OK\nif I wrote you a letter sometime?\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x0A\x08シグルド\nThat is very kind of you, Framme. Receiving a\nletter from you would please me immensely.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nI visited the Divine Dragon lots of times over the\nyears. We're practically family.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x0A\x08シグルド\nA persistent presence can form bonds deeper\neven than blood. They are to be cherished.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nMy sister thought me reckless for bolting into\nbattle for the sake of my friends. What say you?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nMy sister's always calling me a barbarian for\nthe same reason. A good jog puts it behind me.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMy father died in an epidemic when I was little.\nBoth he and I were frail─I was lucky to survive.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0A\x08シグルド\nI grieve for your father, leaving behind a young\nchild. I know the feeling all too well.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nIt made me want to get tough, though! I have a\nweak body, but a strong will to improve it.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0A\x08シグルド\nThen I see no upper bound to what strength\nyou may achieve. You shall surpass your father!\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nLet us take up arms to defend the people. It is\nby our bonds that we shall change the world.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nブシュロン\n"Bond" is a good, strong word. I could get used\nto having an Emblem on my side.\x0E\x04\x00\x00 
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nブシュロン\nHuh? Is this back where I started? How do I get\nout of here?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0A\x08シグルド\nI did wonder if you lost your way. Come, I shall\nguide you. I had wanted a conversation partner.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nブシュロン\nIs it true you have a son, Sigurd? I bet he's\nan outstanding knight.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0A\x08シグルド\nIndeed, he was a glorious knight. After my\ndeath, alas.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nブシュロン\nOh! I...I didn't know that. I'm very sorry to\nhear it.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0A\x08シグルド\nWorry not. The bond between he and I endures\nbeyond time and space. He is his father's son.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nエーティエ\nHey, Sigurd. Having a nice day? I sure am,\nafter my jog just now.\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0A\x08シグルド\nAh, that would explain why you are the way\nyou are. Uh...I mean only that you are well-built.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nエーティエ\nDo you like tea, Sigurd? And if you do, want to\ngo have a cup with me?\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0A\x08シグルド\nWhen you offer, how can I decline? I cannot\npartake of the tea, yet I will savor the company.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nエーティエ\nOut of all my siblings, my parents were strictest\nwith me. I used to worry they hated me.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0A\x08シグルド\nThey expected much because they saw much\npotential. You learned discipline from this, yes?\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nWell, they gave me a body to run with, and\nrunning is how I ease my mind. So there's that.\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0A\x08シグルド\nNaturally, parents wish to protect their children.\nThe reasons may elude the child, however.\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nIt is an honor to speak to you, Emblem Sigurd.\nMight I invite you to tea?\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x0A\x08シグルド\nThat would be a delight. I am no longer able to\ndrink the tea. Still, your stories would enchant.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nI have little doubt your father would rejoice to\nsee what a fine royal you have grown into.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nI work hard in honor of his memory. Even after\nthe war, my nation will need careful tending.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nI would go to any lengths necessary for my\nnation. A royal's duty is nothing less.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x0A\x08シグルド\nA royal has many duties. You must consider\ncarefully which is most important.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08シグルド\nAlign yourself with your people and their needs,\nor you may begin an endless cycle of hatred.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x0A\x08セリーヌ\nThank you for that perspective, Sigurd. Your\nhard-won experience is invaluable.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nYou are a natural people pleaser, are you not?\nI could stand to learn that kindness from you.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x06\x04ルイ\nI simply enjoy being of service. It makes me\nhappy to be present while others interact.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x06\x04ルイ\nI've learned a great deal by observing you,\nSigurd. I hope to become just as great a knight.\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x0A\x08シグルド\nKnights must fight on behalf of their people.\nLet us support each other to keep them safe.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x06\x04ルイ\nDid you know that I once made a living selling\nmy home's famous grape drinks and candies?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x0A\x08シグルド\nAh, the fruit of the vine. I once enjoyed it\nmyself, sharing dreams with my close friends...\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nI would love to join you in revelry sometime.\nThere is so much I wish to ask, Sir Sigurd.\x0E\x04\x00\x00
