MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHm─ Yaa!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nラファール\nYou.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nA little more!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nラファール\nYour attention, please!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nHuh? Oh! Hey, Lord Rafal. You seem a little out\nof sorts. Anything I can do to help?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nラファール\nCease your sweaty grunting at once. It is\ndisruptive to my peace of mind.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nSure, I don't mind training a little more quietly.\nSorry about that. \x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nラファール\nThat is insufficient. I demand that you stop it\naltogether. The mere sight of it disrupts me.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nI can't just stop working out, but I'm sure we\ncan find a compromise. Let me think...\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Hey, I know! Why don't you join me?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nラファール\nI beg your pardon?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nIf we train together, the noise of it won't bother\nyou at all.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Come on, it'll be fun!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nラファール\nI have neither the time nor the patience to\nendure this pointless farce.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nEveryone says stuff like that at first.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Give it a chance, though. With me as your\npersonal trainer, you'll definitely come around.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nラファール\nEvery moment spent talking to you is a waste.\nIf you intend to stay, then I will go─at speed.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nCome on, Lord Rafal! Oh wow, he's got great\nform. What a powerful stride!\x0E\x04\x02\x00
