MID_TUT_CATEGORY_TITLE_Battle	Battle
MID_TUT_CATEGORY_TITLE_God	Emblems
MID_TUT_CATEGORY_TITLE_Hub	The Somniel
MID_TUT_CATEGORY_TITLE_Kizuna	Exploration
MID_TUT_CATEGORY_TITLE_Challenge	Trials
MID_TUT_CATEGORY_TITLE_Local	Current Battle
MID_TUT_BMAP_MOVE_TITLE	Moving Units
MID_TUT_BMAP_MOVE_0	To move, select your unit with \x0E\x08\x02\x04\x02A.\nThen select where to move with \x0E\x08\x02\x0E\x0CStickL.\n
MID_TUT_BMAP_MOVE_1	The blue spaces indicate your unit's range\nof movement.
MID_TUT_BMAP_MOVE_2	Press \x0E\x08\x02\x04\x02A again to confirm your unit's destination.
MID_TUT_BMAP_COMMAND_TITLE	Commanding Units
MID_TUT_BMAP_COMMAND_0	After you move a unit, you will see a list\nof commands.
MID_TUT_BMAP_COMMAND_1	If you do not want to take an action,\nselect Wait.
MID_TUT_BMAP_CHANGE_TITLE	Switching Phases
MID_TUT_BMAP_CHANGE_0	Once all of your units have taken action, the\nplayer phase ends and the enemy phase begins.
MID_TUT_BMAP_CHANGE_1	Once both phases are completed, the turn ends.\nThe next turn begins with a new player phase.
MID_TUT_BMAP_ATTACK_TITLE	Attacking
MID_TUT_BMAP_ATTACK_0	To attack, move your unit close to an enemy \nand select Attack.
MID_TUT_BMAP_ATTACK_1	You can also begin an attack with \x0E\x08\x02\x04\x02A if you move\nyour cursor over an enemy and see \x0E\x08\x02\x04\x02A Attack.
MID_TUT_BMAP_ENGAGE_TITLE	Engaging
MID_TUT_BMAP_ENGAGE_0	When the engage meter is full, select Engage.
MID_TUT_BMAP_ENGAGE_1	Your unit will merge with the selected Emblem\nand gain access to special engage weapons.
MID_TUT_BMAP_ENGAGE_2	Engaging also unlocks a set of special skills.
MID_TUT_BMAP_ENGAGE_3	The engaged state lasts for three turns.
MID_TUT_BMAP_ENGAGE_ATTACK_TITLE	Engage Attacks
MID_TUT_BMAP_ENGAGE_ATTACK_0	Engaged units can use powerful engage attacks.
MID_TUT_BMAP_ENGAGE_ATTACK_1	Engage attacks are abilities that your units\ncan use once each time they engage.
MID_TUT_BMAP_ENGAGE_ATTACK_2	For example, Lodestar Rush deals heavy\ndamage. To use this engage attack, select\nLodestar Rush and a weapon.
MID_TUT_BMAP_TERRAIN_TITLE	Terrain Effects
