MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08リュール\nHey, Claude. I've heard you're called the\n"Master Tactician." I'd love to get some pointers.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08クロード\nWow, so serious right off the bat. OK, set your\nsword aside for a bit. We'll walk and talk.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0A\x08リュール\nI'm having a hard time deciding which weapon\ntruly suits me. How did you choose?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0C\nディミトリ\nWell, the Hero's Relic passed down in my family\nwas a lance. I suppose it was decided for me.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nWhen all of this is over, what do you plan\nto do?\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nHmm... I think I'd like to take my time and travel\nthe world. And also read and sleep a lot.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nI'd like it if you were by my side as well. That\nsaid, we'll have to let the world heal first.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x10\x0Eエーデルガルト\nI'll be sure to consider your kind invitation as\nwe hasten our way to your days of tranquility.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nLady Edelgard, I wanted to thank you again for\nlending the Divine Dragon your strength.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nPlease, there's no need to be so formal. We're\nallies, are we not?\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nSir Vander, the children admire you greatly. I'd\nlove to have your skills under my banner.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nIt is a most magnanimous offer, but I serve only\nthe Divine Dragon, and will do so until the end.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nI noticed you watching me knit, Lady Edelgard.\nWhat did you think of the handkerchief?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nI thought it was impressively intricate. Your\nfingers are quite nimble, Sir Vander.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nI'm honored to hear you say that. I've been told\nit doesn't suit a knight of my stature, but...\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x10\x0Eエーデルガルト\nPerish the thought! I'm no good with things like\nthat. I'm actually a little jealous of your skills.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nディミトリ\nYou always look so happy, Clanne. What's\nyour secret?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nI just love being the Divine Dragon's steward.\nAnd today, I get to talk with you too!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x08\x06クラン\nThank you for all your help on the battlefield.\nWe're much better for it!\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x0C\nディミトリ\nMy pleasure. You can count on me.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x08\x06クラン\nLord Dimitri, do you mind spending so much\ntime with me? I don't get on your nerves, do I?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x0C\nディミトリ\nNot at all. Being around you is like being back\nwith my classmates, and that cheers me greatly.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nWhat were your classmates like? Do you think\nthey'd have been friends with me too?\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x0C\nディミトリ\nI think you'd be very popular. So much so that\nyou might find it a little overwhelming.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nYou were doing some rather strange movements\nyesterday. What are you training for?\x0E\x04\x00\x00
