MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0A\x08リュール\nThere's something about this island... It's like\na magical energy...\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06セリカ\nThe Seabound Shrine was located in a place\nquite similar to this.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nWhat kind of place was that?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06セリカ\nIt sat in the Novis Strait, off of Zofia. There was\nan altar to the goddess Mila in a cave...\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nI wonder if that means there's an altar here too.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06セリカ\nThis place reminds me of those days. I'd just\nbegun to experience life.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06セリカ\nI was so set on how I thought the world should\nbe that I failed to heed my allies' advice.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0A\x08リュール\nThat doesn't seem like you. Not to me, at least.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06セリカ\nBack then, I visited Mila's temple, hoping to\nlearn of a way to save my homeland.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06セリカ\nThen we discovered there was a necrodragon\non the island. That thing could have killed us all.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x08\x06セリカ\nAnd we'd already fought a band of pirates...\nSaying it now, I realize how reckless we were.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0A\x08リュール\nIt sounds to me like you were helping people as\nyou traveled.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x08\x06セリカ\nSo, \x0E\x06\x03\x00, would you have chosen\nthe same as I did?\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0A\x08リュール\nOf course. I couldn't ignore anyone in need, no\nmatter how dangerous the situation might be.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x08\x06セリカ\nI know you wouldn't. You're courageous and\nstrong─that's why we're here.\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x0A\x08リュール\nI suppose I don't understand. What do\nyou mean?\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x08\x06セリカ\nThis is where you will face your trial.\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x08\x06セリカ\nDefeat me in combat and our bond will\ngrow stronger.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x08\x06セリカ\nNow take up your weapon, and let's see where\nyour courage can take you.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x0A\x08リュール\nI understand, and I'm going to win!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06セリカ\x02b\n\x0E\x05\x01\x14\x06セリカ\nSmile\n\x0E\x03\x02\x08\x06セリカ\nThe preparations for battle are complete.\nLet's begin.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nThere. See the summoner? If we don't take\nthem down quickly, things could get rough.\x0E\x04\x00\x00
