MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nGregory, how are you holding up? Do you feel\nlike you're adjusting to this world?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nI guess so? There are so many little similarities\nand differences to ours.\x0E\x04\x02\x00
MID_RELIANCE_C_#003	I think I've mostly gotten used to it. I just hope\nwe can end this war quickly.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nThis place certainly has its own fair share of\nenemies to confront, doesn't it?\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Now that we're here, the Four Winds should do\neverything we can to support the Divine Dragon.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nグレゴリー\nI just wish Mauvier could have come with us.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nI feel the same. It's because of Mauvier that\nwe're still alive.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nグレゴリー\nHeck, the reason we're even together right now\nis thanks to him starting the Four Winds.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	But then he was the first one to leave us. If\nonly I'd forced him to let me go in his place...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cセレスティア\nDon't think that way. Mauvier wanted us to go\non living.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	He would want us to carry on his legacy. That's\nwhy he made you second-in-command.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nグレゴリー\nI still don't understand why he gave me\nthat role...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cセレスティア\nProbably because you're so old.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nグレゴリー\nOuch! Is that supposed to be payback?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cセレスティア\nHahaha! I'm only kidding.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	It's easy to see why he made you my second.\nYou fight so bravely to protect your friends.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nグレゴリー\nAll I did was run away. Sometimes I wonder if\nthat's what I'm still doing.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cセレスティア\nWhat are you talking about? Don't be absurd.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nグレゴリー\nWhat'd I say? Why are you suddenly so serious?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cセレスティア\nMauvier may have been the catalyst, but we all\nmade the choice to carry on his legacy together.\x0E\x04\x02\x00
MID_RELIANCE_C_#021	You are not running away. You're my second\nfor a reason. Believe in yourself.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nグレゴリー\nYeah...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nMight I tell you an old story?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nDepends. How old are we talking?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nThis story is from before you joined us. Back\nwhen our Divine Dragon was still alive.\x0E\x04\x00\x00
