MID_WU_C_1_IN_#001	Here I am!
MID_WU_C_1_IN_#002	Reporting for wake-up duty!
MID_WU_C_1_SOON_#001	Very impressive.
MID_WU_C_1_SOON_#002	You sensed my subtle presence and woke\nright up.
MID_WU_C_1_SOON_#003	Huh? You don't feel like I was very subtle?
MID_WU_C_1_SOON_#004	What a thing to say...
MID_WU_C_1_WAKEUP_#001	Hm-hm! It's finally my turn.
MID_WU_C_1_WAKEUP_#002	I really feel like part of the team now!
MID_WU_C_1_WAKEUP_#003	Here we go.
MID_WU_C_1_WAKEUP_#004	Divine One!
MID_WU_C_1_HELLO_#001	You're awake! This went perfectly.
MID_WU_C_1_HELLO_#002	And it was fun!
MID_WU_C_1_HELLO_#003	What's that? You want to know who to give\nthis duty to next?
MID_WU_C_2_IN_#001	Your presence is requested!
MID_WU_C_2_IN_#002	Oh...you're still resting.
MID_WU_C_2_SOON_#001	I'm sorry.
MID_WU_C_2_SOON_#002	I shouldn't have woken you so rudely.
MID_WU_C_2_SOON_#003	I'll try to be more restrained the next time I\ncome looking for you.
MID_WU_C_2_WAKEUP_#001	Uh-oh. I thought you would be awake already.
MID_WU_C_2_WAKEUP_#002	I'll prepare some clothes.
MID_WU_C_2_WAKEUP_#003	Here...
MID_WU_C_2_WAKEUP_#004	Oh! Ah!
MID_WU_C_2_HELLO_#001	Oh dear.
MID_WU_C_2_HELLO_#002	I slipped on the fabric by your bed.
MID_WU_C_2_HELLO_#003	Watch your step as you get up, Divine One.
MID_WU_C_2_HELLO_#004	Hahaha... Haha...
MID_WU_B_1_IN_#001	You have to try...
MID_WU_B_1_IN_#002	this soup!
MID_WU_B_1_IN_#003	Oh, you're asleep.
MID_WU_B_1_SOON_#001	I came to share this garlic soup with you, but...
MID_WU_B_1_SOON_#002	you probably aren't ready to eat yet, are you?
MID_WU_B_1_SOON_#003	I'll come back another time, Divine One.
MID_WU_B_1_WAKEUP_#001	I truly enjoy having meals with you so...
MID_WU_B_1_WAKEUP_#002	I thought maybe we could share this?
MID_WU_B_1_WAKEUP_#003	Haha, I should probably try another time.
MID_WU_B_1_HELLO_#001	Mmm... Mmm...
MID_WU_B_1_HELLO_#002	Oh, Divine One!
MID_WU_B_1_HELLO_#003	I brought you soup, but it smelled so\ngood, and...
MID_WU_B_1_HELLO_#004	Well...
