MID_PLACE_Filene	Firene
MID_PLACE_Brodia	Brodia
MID_PLACE_Ircion	Elusia
MID_PLACE_Solum	Solm
MID_PLACE_Lithos	Lythos
MID_PLACE_Gradron	Gradlon
MCID_M000_PREFIX	Prologue
MCID_M000	The Emblems
MCID_M000_PLACE	Lythos Castle
MCID_M001_PREFIX	Chapter 1
MCID_M001	Awake at Last
MCID_M001_PLACE	Lythos Grasslands
MCID_M002_PREFIX	Chapter 2
MCID_M002	Queen Lumera
MCID_M002_PLACE	Lythos Castle Gardens
MCID_M003_PREFIX	Chapter 3
MCID_M003	Hostilities
MCID_M003_PLACE	Ring Vault
MCID_M004_PREFIX	Chapter 4
MCID_M004	A Land in Bloom
MCID_M004_PLACE	Florra Mill Town
MCID_M005_PREFIX	Chapter 5
MCID_M005	Retaking the Castle
MCID_M005_PLACE	Firene Castle
MCID_M005_OUTLINE	Upon learning that Elusia invaded\nFirene Castle, the Divine Dragon's\narmy hastens to Queen Ève.
MCID_M006_PREFIX	Chapter 6
MCID_M006	The Stolen Ring
MCID_M006_PLACE	Mountain Settlement
MCID_M006_OUTLINE	Having regained Firene Castle, the\nparty heads to a shrine housing\nthe Ring of the Dawn Maiden.
MCID_M007_PREFIX	Chapter 7
MCID_M007	Dark Emblem
MCID_M007_PLACE	The Grand Crossing
MCID_M007_OUTLINE	The party attempts to cross the\nborder to obtain the ring entrusted\nto the Kingdom of Brodia.
MCID_M008_PREFIX	Chapter 8
MCID_M008	The Kingdom of Might
MCID_M008_PLACE	Brodia Castle
MCID_M008_OUTLINE	After rebuffing an Elusian attack,\nthe Divine Dragon's army reaches\ntheir destination: Brodia Castle.
MCID_M009_PREFIX	Chapter 9
MCID_M009	A Clash of Forces
MCID_M009_PLACE	Fort on the Border
MCID_M009_OUTLINE	The Divine Dragon's army and King\nMorion head to Elusia's border to\nanswer King Hyacinth's challenge.
MCID_M010_PREFIX	Chapter 10
MCID_M010	The Fell Dragon Sombron
MCID_M010_PLACE	Destinea Cathedral
MCID_M010_OUTLINE	The Divine Dragon's army rushes\nto Destinea Cathedral to rescue\nKing Morion.
MCID_M011_PREFIX	Chapter 11
MCID_M011	Retreat
MCID_M011_PLACE	Shadowy Moor
MCID_M012_PREFIX	Chapter 12
MCID_M012	The Sentinels
MCID_M012_PLACE	Tullah Desert
MCID_M012_OUTLINE	Their rings lost to Veyle, the party\nheads to the Queendom of Solm to\nregain their footing.
MCID_M013_PREFIX	Chapter 13
MCID_M013	Heroes of the Oasis
MCID_M013_PLACE	Oasis Village
MCID_M013_OUTLINE	The Divine Dragon's army travels\nto an oasis in search of Timerra\nand the Ring of the Radiant Hero.
MCID_M014_PREFIX	Chapter 14
MCID_M014	The Battle for Solm
MCID_M014_PLACE	Solm Palace
MCID_M014_OUTLINE	Receiving word of Hortensia's\nattack, the Divine Dragon's army\nhastens back to Solm Palace.
MCID_M015_PREFIX	Chapter 15
MCID_M015	Dancer in the Ruins
MCID_M015_PLACE	Northern Fortress
MCID_M015_OUTLINE	Victorious at Solm Palace, the\nparty seeks the Ring of the Crux\nof Fate at the Northern Fortress.
MCID_M016_PREFIX	Chapter 16
MCID_M016	Seashore Travels
MCID_M016_PLACE	Azure Coast
