MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0A\x08リュール\nFogado, I want to thank you and the Sentinels\nfor your hard work today.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nフォガート\nHaha, hard? That was nothin'.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nフォガート\nWe didn't have to resolve a single quarrel, and\nthere were barely any Corrupted around.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nI only wish every day was like this.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nYou're so easy-going...all the time. That must be\nwhy your people love you so much.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nAs your ally, I certainly enjoy working with\nsomeone so unflappable.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nUnflappable, eh? Ooo, I think I feel a blush\ncoming on.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nフォガート\nBut thanks for the compliment. How about we\ngrab dinner together sometime?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nDinner?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nフォガート\nYeah! You, me, and some hard-hitting questions.\nLike...who is your very best friend and why?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nUm, that's pretty personal.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nフォガート\nYou could tell me a super-secret wish─you\nknow, one you're too embarrassed to reveal.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nNo! That's even worse.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nLook, as much as I enjoy your devil-may-care\nattitude, the banter is a bit much.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nフォガート\nYou'd rather I be all boring and serious? Nah.\nI wouldn't be me if I wasn't a rascal.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nI suppose you're right. It is hard to imagine you\nwithout that carefree personality of yours.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nIt may be your most likable trait.\x0E\x04\x00\x00
