MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x08\x06フラン\nIt's about that time, President Clanne.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クラン\nI'm all set, President Framme.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\nIn that case... I call this meeting of the Divine\nDragon Fan Club to order!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06フラン\nWoooo!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06クラン\nYeaaah!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06フラン\nAhem. Our first and only agenda item is how to\nbroaden the fan club's reach.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nPresident Clanne, you have the floor.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06クラン\nI think we should do something splashy to drum\nup people's excitement.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06フラン\nSeconded!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06フラン\nThe only question is...what?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クラン\nI have an idea.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クラン\nHow about we spread our message by\nmaking pamphlets?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nI'm listening.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クラン\nSee, everyone's heard of the Divine Dragon. But\nonly a few know the person behind the title.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クラン\nYou and me, we could tell the world what the\nDivine One is really like.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\nYeah... Yeah! I'm picking up what you're\nputting down!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06フラン\nOoo, ooo! How about this─we slap the Divine\nOne's beautiful face on the cover, and title it...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06フラン\n"The Divine Dragon: Up Close and Personal."\nBoom!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06フラン\nInside, we have an interview with every juicy\ndetail folks could possibly wanna know!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06フラン\nFavorite foods, favorite weapons, hair-care\nroutine, shoe size. The raw, uncut story!\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06クラン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06フラン\nYou don't like it.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06クラン\nI love it! That's way less stiff and formal than\nwhat I had in mind.\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x08\x06クラン\nJust the sort of brilliant idea I'd expect from\nyou, Madam President!\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x08\x06フラン\nI couldn't have gotten there without your\nsuggestion, Mr. President!\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x08\x06フラン\nAll right, let's get working on this pamphlet\nso we can hand it out all over town.\x0E\x04\x00\x00
MID_RELIANCE_C_#027	\x0E\x03\x02\x08\x06クラン\nUh, wait. All over town?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x08\x06クラン\nThere are a lot of people here...\x0E\x04\x00\x00
