MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nAmber, may I ask you a few personal questions?\nI need some new material for my next novel. \x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\nOh! You're gonna write a book about me?\nOh man! I love that! Fire away.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ジェーデ\nI'll start with an easy one. What's your all-time\nfavorite thing?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アンバー\nIs that a serious question? Come on! Alpacas all\nthe way! They're the best.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\nI used to herd alpacas all the time back home.\nI'm like an alpaca-wrangling master, y'know?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ジェーデ\n"Alpaca-wrangling master." Amazing.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アンバー\nI'm serious! If there was an alpaca here right\nnow, I'd give you a demonstration.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nBut we're miles away from the nearest alpaca\nfarm, so...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ジェーデ\nWait. What is that sound?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nThat's the sound of an alpaca at full gallop! Ah!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ジェーデ\nYou're right! I can see it now, and it's coming\nthis way!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nOK, Jade! You wanted material, you're gonna\nget it. Watch the wrangling master in action.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アンバー\nHey! Alpaca! Slow it down, buddy!
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nWhoa, there! I said settle down!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nAUGH! Waaaaaah!
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ジェーデ\nAmber!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x04\x03\x04
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アンバー\nUgh... Getting knocked into a pond wasn't what\nI wanted to show you.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ジェーデ\nI can't believe an alpaca came out of nowhere\nlike that. I'm just glad we were able to catch it.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08アンバー\nYou mean YOU caught it. All I managed to\ncatch was a mouthful of scummy water.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08アンバー\nI can't even compete with you at something\nI'm genuinely good at...\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08アンバー\nNgh...\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08ジェーデ\nAmber, don't despair. There is a silver lining.\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0A\x08ジェーデ\nThe alpaca, the pond, your flailing... Thanks to\nyou, my next book is sure to be hilarious.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nHey, Amber. I'm still a few chapters short. May\nI ask you some more questions?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nHang on, Jade. First, I have a request for you.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アンバー\nPlease, please don't write about how I\ncompletely failed to catch that alpaca!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ジェーデ\nWha─\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アンバー\nMy hometown is known for its alpaca expertise.\nI can't throw that kind of shame on them!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アンバー\nI was so bogged down by emotions and pond\nwater that I failed to ask before. So...pleeease?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ジェーデ\nThis comes as a bit of a shock. I won't make\nyou a promise that I can't keep, Amber.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ジェーデ\nYou've inspired my funniest, most successful\nworks. People are excited for the next one...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アンバー\nOK, then...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nLet's spar. If I win, you can't write anything\nabout the alpaca-puddle incident!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ジェーデ\nFine by me. You're on.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nThis will be our first sparring match since the\ntourney to select Prince Diamant's retainers...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アンバー\nThat was also the first time I lost to you.\nI've been stuck in second place ever since.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アンバー\nThat loss was like a curse. No matter what I do,\nI can't seem to beat you at anything.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ジェーデ\nWell, you did enter the final round of that\ntournament at a disadvantage.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ジェーデ\nYou didn't have any time to warm up. You were\ntoo busy trying to help that lost child.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アンバー\nThat's no excuse! You ended up helping too.\nYou even found the kid's parents first.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ジェーデ\nHmm, I take your point.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\nYou're the one who's always finding success,\nand I'm the one who's always tripping up.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アンバー\nThat runaway alpaca was the last straw.\nMy second-place streak ends today!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アンバー\nGet ready, Jade. There's no way I'm losing to\nyou again.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x04\x03\x04
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08ジェーデ\nHad enough?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08アンバー\nAw... I just can't do it. I really can't beat you,\nJade. It's...it's hopeless...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08ジェーデ\nYou remember our terms? I won, so I'm free to\nput whatever I want in my next novel.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08アンバー\nYeah, I remember. You beat me fair and square,\nso...write about whatever you want.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08ジェーデ\nThat's just what I'm going to do. But I'll make\nsure you're the first to read it when I'm done.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nMy novel is complete, Amber. As I mentioned\nearlier, I'd like for you to be the first to read it.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アンバー\nOh, great...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nYou really know how to rub it in, y'know? Fine.\nLet's see how embarrassed I'm gonna be...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08アンバー\nHmm... Hmm!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nJade...what is this?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ジェーデ\nHm.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\nIs this... Is this book still based on me?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ジェーデ\nOf course. Everything in that book is based on\nsomething you've shared with me.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アンバー\nBut where's the alpaca-pond incident?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アンバー\nI can't find a single embarrassing page in here.\nThis book makes me seem so...so cool!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ジェーデ\nYou're not stuck in second place, Amber.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nYou were the first one to try stopping that\nstray alpaca.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ジェーデ\nYou were the first one to go looking for that\nlost child's parents at the fighting tournament.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ジェーデ\nI may be the one who closes the book each\ntime, but only after you've opened it for me.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アンバー\nWhoa.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ジェーデ\nYou're kind. You're strong. And both Prince\nDiamant and I trust in you as a worthy retainer.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アンバー\nAw, Jade! Thank you! Your kind words...\nThis great book... I feel so much better.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ジェーデ\nI'm glad. After all, you need to have confidence\nif you're going to watch our backs in battle.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アンバー\nYeah... Yeah! That settles it. I'm gonna keep\ntraining until I match the "me" in your book.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ジェーデ\nOh, I'm very excited to watch you try.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アンバー\nOK, no more coasting. It's time to train like I've\nnever trained before!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アンバー\nI'm gonna─ Gah! A rock?! Waaaugh!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ジェーデ\nHm! Amazing. Looks like your training is off\nto a "rocky start."\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ジェーデ\nI have no doubt you'll grow stronger, Amber...\nbut I hope some things about you never change.\x0E\x04\x00\x00
