MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nSir Vander, is it true you used to serve in Lythos\nunder Queen Lumera?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nYes, I was her attendant. Why do you ask?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パンドロ\nI just want to say that as a man of the cloth,\nI hold you in the highest regard.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nI would have given my left arm for such an\nhonorable station─in the Holy Land, no less.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nKeep flattering me and you may lose an ear\ninstead. I'll talk it off with my old war stories.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パンドロ\nPlease do! I'd love to hear about what it\nwas like.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nヴァンドレ\nCertainly. Though perhaps we should find a\nmore appropriate place to talk.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パンドロ\nWhy don't you come to my next party?\nThat ought to be a suitable setting.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nヴァンドレ\nHm. I'm not usually one for parties.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パンドロ\nOh, I'm sure you'll fit right in. It's just a small\ngathering at the church.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パンドロ\nYoung adherents praying for peace─some pious\nsinging and dancing. That sort of thing.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nヴァンドレ\nWorship through song and dance? Why, that\nsounds marvelous.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08パンドロ\nI see it as my clerical duty to help people find\ncomfort in these difficult times.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nヴァンドレ\nI understand. You put on these get-togethers as\na kind of service to your congregants.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\nExactly! So, would you care to join us?\x0E\x04\x00\x00
