MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x08\x06クラン\nAnd how fare you today...Prince Alfred?\nThank you...ever so much...for inviting me.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クラン\nMmm. No, that's too stiff. I should try to\nsound warmer.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ルイ\nIs something amiss, Clanne?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クラン\nBwah! Where did you come from?!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ルイ\nMy apologies. I thought I heard someone\nmention my prince's name.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クラン\nYou heard right. Prince Alfred invited me to\nwork out with him today.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クラン\nBut I've never spent time alone with him before,\nso I'm nervous about saying the wrong thing.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ルイ\nA private exercise session for the two of you?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クラン\nThat's right.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nHm. Not a solo or a group session. What could\nthis signify?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クラン\nI don't think it signifies anything.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ルイ\nAh, but pay me no mind. So, then, you are\npracticing your greetings to the prince?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クラン\nYes! I don't want to embarrass myself by being\naccidentally rude.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クラン\nMaybe you could be my sounding board, Louis?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クラン\nI'll talk to you like you're Prince Alfred, and if\nanything seems off, you can correct it.\x0E\x04\x00\x00
