MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nIs this... No, it's not. And yet, the similarities...\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nWhat's the matter, Corrin?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x08\x06カムイ\nThis place looks very much like where my\nfate branched.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06カムイ\nI had three options that day. My decision meant\nabandoning two of my possible fates.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nWhat do you mean?\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06カムイ\nIn my world, there are two opposing kingdoms,\nHoshido and Nohr...\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06カムイ\nI was born in Hoshido, but spent my childhood\nin Nohr.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0A\x08リュール\nHaving ties on both sides of a conflict... That\nwould be a hard way to live your life.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06カムイ\nIndeed. This is where Hoshido and Nohr faced\noff, and I had to choose which country to back.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06カムイ\nI had family and friends in Hoshido and in Nohr.\nI didn't want to abandon any of them.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x08\x06カムイ\nBut as hard as it was, I had to make a decision.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x08\x06カムイ\nHoshido or Nohr? Maybe neither, and I would\nfight alone. There was no obvious answer.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08リュール\nI don't know how I'd make such a big choice.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0A\x08リュール\nIt's possible a significant one still awaits me at\nsome point on our journey...\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x08\x06カムイ\nYou've already decided to face the Fell Dragon\nand save the world. I'd call that a big choice.\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x08\x06カムイ\nNow, let's see if your choice was a worthy one,\n\x0E\x06\x03\x00. Face me in combat.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x08\x06カムイ\nThe results will inform my next choice... Surely,\nour bonds will grow stronger.\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x0A\x08リュール\nI understand. The paths we've each chosen...\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x0A\x08リュール\nI'm excited to find out what lies beyond the\npoint where our fates meet.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06カムイ\x02b\n\x0E\x03\x02\x08\x06カムイ\nAre you ready? Then let's begin.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nCorrin can alter the terrain. I can't get caught\nunaware by her changes.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06カムイ\x02b\n\x0E\x05\x01\x14\x06カムイ\nAngry\n\x0E\x03\x02\x08\x06カムイ\nI sense a draconic power underground. Is it...\nA Dragon Vein. I'll use that to my advantage.\x0E\x04\x00\x00
MID_EV3_#002	\x0E\x03\x02\x08\x06カムイ\n\x0E\x05\x01\x14\x06カムイ\nRelax\nDon't worry, though. I'm sure you'll be able to\nhandle it!\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06カムイ\x02b\n\x0E\x05\x01\x16\x06カムイ\x0CStatus\n\x0E\x03\x02\x08\x06カムイ\nI remember how I felt when I stood on the field\nthat day...\x0E\x04\x00\x00
MID_BT1_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nThis is where your destiny branched, isn't it?\nI think I can understand what you went through.\x0E\x04\x00\x00
MID_BT1_#003	\x0E\x05\x01\x14\x06カムイ\nAngry\n\x0E\x03\x02\x08\x06カムイ\nDo not swing timidly without resolve. You must\ngenuinely try to kill me!\x0E\x04\x00\x00
MID_BT1_#004	\x0E\x05\x01\x18\x08リュール\x0CStrike\n\x0E\x03\x02\x0A\x08リュール\nAs you say, Corrin. I've chosen my path, and\nI'll travel as far as it takes me!\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x18\x08セアダス\x0CStrike\n\x0E\x03\x02\x0A\x08セアダス\nYou saved my life before─I didn't expect us to\nend up fighting. The world is full of surprises...\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x0C\x06カムイ\x02b\n\x0E\x05\x01\x1A\x06カムイ\x10Surprise\n\x0E\x03\x02\x08\x06カムイ\nThe fortune-teller didn't foresee this event?\nMy, how very strange.\x0E\x04\x00\x00
MID_BT2_#003	\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\nTease me all you like, but I think knowing the\nresult of this fight would be boring.\x0E\x04\x00\x00
MID_BT2_#004	\x0E\x05\x01\x14\x06カムイ\nSmile\n\x0E\x03\x02\x08\x06カムイ\nThe future isn't set or planned. I control my\nown fate, as you do yours!\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nI expected no less from you, \x0E\x06\x03\x00.\nYou gave my blade, Yato, quite a workout.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08リュール\nWhat a beautiful sword.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x08\x06カムイ\nIt's a divine blade, forged to bring peace to\nthe world.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x08\x06カムイ\nWhen I first saw Yato, it flew from its hiding\nplace into my hands. It chose me.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x08\x06カムイ\nIt was the same day my mother died\nprotecting me...\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0A\x08リュール\nOh, you...lost your mother too?\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x08\x06カムイ\nIt would have been easy to lose myself in that\npain. I couldn't have recovered alone.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x08\x06カムイ\nLuckily, I had friends who stood by me and\nhelped me find my way home.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x08\x06カムイ\nAnd, like my friends, Yato was by my side at\nevery step on my journey.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0A\x08リュール\nI understand your feelings...quite well.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x08\x06カムイ\nIn the coming days, you'll make choices that\nmight cause you no end of suffering.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x08\x06カムイ\nBut no matter what pain you're feeling, I'm with\nyou, and I'll help you find your way home again.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nI will remember, even in the darkest moment,\nthat I am not alone.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x08\x06カムイ\nThen you'll be just fine.\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0A\x08リュール\nThank you, Corrin, for joining me on this path\nI have chosen.\x0E\x04\x00\x00
MID_LC1_#001	\x0E\x02\x02\x00
