MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x02\x06\x04エル\nFaced one way, a thousand years' separation.\nThe other way, a hundred years' regret.\x0E\x04\x02\x00
MID_OP1_#002	Pray, dream of my sorrow... Pray, dispel the\ndarkness from this world.\x0E\x04\x02\x00
MID_OP1_#003	The only light here is in memory, and the hope\nyou instilled flickers.\x0E\x04\x02\x00
MID_OP1_#004	Alas, I know the truth.\x0E\x04\x02\x00
MID_OP1_#005	In this world, there is no salvation. In this world,\nthere is no you.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\n青リュール\x022\n\x0E\x06\x00&\n青リュール\x18MPID_Unknown\n\x0E\x03\x02\x0A\x08リュール\nWhere am I? This isn't the Somniel...\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0C\n青リュール\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\nWho are you?\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x0C\n青リュール\nI am...\x0E\x04\x02\x00
MID_OP2_#005	No, it is no matter. My name lost its meaning\nlong ago.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0A\x08リュール\nBut I have this strange feeling...as if the two of\nus have met somewhere.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0C\n青リュール\nWe have never met before─not in any way you\nwould understand.\x0E\x04\x02\x00
MID_OP2_#008	I'm speaking to you from across a mirror. You\nare my reflection and my land's last hope.\x0E\x04\x02\x00
MID_OP2_#009	Please, I need your assistance. Will you save\nthose who are important to me?\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x0A\x08リュール\nOf course. I'll help however I can.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0C\n青リュール\nReally? You accept my plea without hearing\nwhat it entails?\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x0A\x08リュール\nHaha, I suppose I feel like helping you might\nease some of my own anxieties.\x0E\x04\x02\x00
MID_OP2_#013	Almost as if this is a chance to get back...\nsomething that I lost a long time ago.\x0E\x04\x02\x00
MID_OP2_#014	In short, yes. I'm here for you.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x0C\n青リュール\nI'm glad to hear you say so.\x0E\x04\x02\x00
MID_OP2_#016	I was afraid you would refuse, since I'm unable\nto explain all the details.\x0E\x04\x02\x00
MID_OP2_#017	Suffice to say that the land I speak of is\nthreatened by a foe with a wicked heart.\x0E\x04\x02\x00
MID_OP2_#018	The only hope for my people is for you to\ncollect the seven Bracelets.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x0A\x08リュール\nBracelets...\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x0C\n青リュール\nIn my world, Emblems dwell inside bracelets.\nYou will need them in order to succeed.\x0E\x04\x02\x00
MID_OP2_#021	Now, I will transport you there. Those you\nencounter after arriving will guide you.\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x03\x02\x0A\x08リュール\nWill you and I meet again?\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x0C\n青リュール\nWe will not. Nor have we ever met.\x0E\x04\x02\x00
MID_OP2_#024	Not even in this very moment.\x0E\x04\x00\x00
MID_OP2_#025	\x0E\x03\x02\x0A\x08リュール\nYou speak so cryptically. Still, I get the feeling\nI will see you again.\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x02\x0C\n青リュール\nBe off now. I thank you and wish you good\nfortune in the battles ahead.\x0E\x04\x02\x00
MID_OP2_#027	Goodbye, my fellow Divine Dragon. My twin\nfrom another world.\x0E\x04\x02\x00
MID_OP2_#028	On your journey, I hope you feel joy, suffering,\nsorrow...and love.\x0E\x04\x02\x00
MID_OP2_#029	Because I will feel nothing anymore. I will never\nawaken again.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE001_イル\x021\n\x0E\x06\x00*\x0EE001_イル\x18MPID_Unknown\n\x0E\x03\x00\x14\x0EE001_エル\x022\n\x0E\x06\x00*\x0EE001_エル\x18MPID_Unknown\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x02\x0A\x08リュール\nAh!\x0E\x04\x02\x00
MID_OP3_#002	So bright...\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x10\x0EE001_イル\nSister, it worked! Our prayers are answered!\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x10\x0EE001_エル\nAfter all these long years.\x0E\x04\x02\x00
MID_OP3_#005	At last, our savior has come.\x0E\x04\x02\x00
