MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x06\x04エル\nIt is an honor to know you, Emblem Dimitri.\nThank you for lending us your aid.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x0C\nディミトリ\nThe honor is entirely mine. I look forward\nto helping however I can.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x06\x04エル\nI do not mean to pry, but I cannot fail to notice\nhow lonely you seem, even among friends.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x0C\nディミトリ\nI assure you, that isn't the case. I do hope\nI haven't caused you undue concern.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x06\x04エル\nEmblem Claude informs me that you are\nincredibly self-reliant, almost to a fault.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nHe believes it would be good for you to rely\nmore upon your allies. I am inclined to agree.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x0C\nディミトリ\nI suppose that's true enough. I've been told the\nsame by many throughout my life.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x0C\nディミトリ\nIt's merely my intention not to inconvenience\nanyone. I will try to keep your words in mind.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0C\nラファール\nYou must despise me for keeping your bracelet\nhidden away for such a long time.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nOn the contrary, you are working to atone now.\nWe have no quarrel with you at all.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nI'll admit, one thing about you does trouble me.\nThe amount of sugar you put in your tea...\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nThe sweeter the better, Edelgard. I will brook no\ndisagreement on this point.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nYou charge alone into battle far too frequently.\nI would urge you to think more of your allies.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nIf you dislike me so intensely, then leave.\nNo one is forcing you to deal with me.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x10\x0Eエーデルガルト\nThat is not what I said. I am merely imploring\nyou to consider some basic strategy.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nIf my being alone in battle is your concern, then\nclearly your best course is to accompany me.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nIt's strange... For a while, I've been having a\nhard time concentrating on simple tasks.\x0E\x04\x00\x00
