MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x00\x0A\x04チキ\x023\n\x0E\x03\x02\x0A\x08リュール\nHere we are...the islands south of Firene.\nI definitely feel the presence of an Emblem.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0C\nヴァンドレ\nThat looks like an altar over there.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nWith a bracelet resting on top of it. Must be the\nEmblem inside I'm sensing.\x0E\x04\x02\x00
MID_OP1_#004	Yes. I feel it now.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0C\nヴァンドレ\nWhat is it, Divine One?\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\nI think an invocation just came to me.\x0E\x04\x02\x00
MID_OP1_#007	I'll try summoning the Emblem now.\x0E\x04\x02\x00
MID_OP1_#008	Dream well, Emblem of Dragons!\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x00\x0A\x04チキ\x023\n\x0E\x03\x02\x06\x04チキ\nMar-Mar? No... Excuse me, but who are you?\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08リュール\nI'm the Divine Dragon \x0E\x06\x03\x00. We came\nhere because I sensed your presence.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x06\x04チキ\nDivine Dragon? Why, that's what I am too!\nMy name is Emblem Tiki.\x0E\x04\x02\x00
MID_OP2_#004	I must thank you for waking me. I feel I've been\nasleep for a very long time.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0A\x08リュール\nI can relate to that, Tiki. Do you happen to\nremember anything from before your sleep?\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x06\x04チキ\nHmm... I know my bracelet friends and I were all\nsomewhere very far away.\x0E\x04\x02\x00
MID_OP2_#007	We fought in so many battles. I cannot recall\nhow they ended.\x0E\x04\x02\x00
MID_OP2_#008	I do remember someone very gentle helping me\nto sleep. I wonder who it was...\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\nSomeone gentle... Hmm.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x06\x04チキ\nI was kept asleep in my former world too. It was\nto protect me, but I was still quite frightened.\x0E\x04\x02\x00
MID_OP2_#011	But then Mar-Mar made it so that I didn't need\nto sleep anymore!\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x0A\x08リュール\nDo you mean Marth? Are you talking about\nevents from the time of the Hero-King?\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x06\x04チキ\nYou know him?\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08リュール\nI do. Emblem Marth has been a guardian of\nElyos for a long time.\x0E\x04\x02\x00
MID_OP2_#015	If you'd be willing to join him in fighting to save\nthis world, we'd be very grateful.\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x02\x06\x04チキ\nI would love to join your group. Traveling with\nso many new friends sounds like fun!\x0E\x04\x02\x00
MID_OP2_#017	But if I'm to join you, I'd like to see what drives\nyou to fight. Will you show me your essence?\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x0A\x08リュール\nOf course. How do we do that?\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x06\x04チキ\nWhy, that's easy! You can battle against me.\nThen I'll know your true nature.\x0E\x04\x02\x00
MID_OP2_#020	And you don't need to hold back! I am really\nquite strong!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04チキ\x02b\n\x0E\x05\x01\x12\x04チキ\nSmile\n\x0E\x03\x02\x06\x04チキ\nNow then, show me your strength!\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04チキ\x02b\n\x0E\x05\x01\x12\x04チキ\nRelax\n\x0E\x03\x02\x06\x04チキ\nThese doors are protected by a powerful force.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04チキ\x02b\n\x0E\x05\x01\x12\x04チキ\nRelax\n\x0E\x03\x02\x06\x04チキ\nThese sigils are the only way to unseal the\ndoors. Do your best to reach me.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x1A\nヴァンドレ\x0CNormal\n\x0E\x03\x02\x0C\nヴァンドレ\nPerhaps it would be wise to head for that\nsigil first?\x0E\x04\x00\x00
MID_EV5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x18\nヴァンドレ\nAngry\n\x0E\x03\x02\x0C\nヴァンドレ\nThis ice is rather slippery. We could use it to\nhasten our step...so long as we are careful.\x0E\x04\x00\x00
MID_EV6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x18\nヴァンドレ\nAngry\n\x0E\x03\x02\x0C\nヴァンドレ\nThe door's open. We should use the other\nsigil as well.\x0E\x04\x02\x00
MID_EV6_#002	Oh! More of the floor has turned to ice. Tread\ncarefully, Divine One.\x0E\x04\x00\x00
MID_EV7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x1A\nヴァンドレ\x0CNormal\n\x0E\x03\x02\x0C\nヴァンドレ\nThe other door has opened up. I think we can\nfinally head toward the Emblem.\x0E\x04\x00\x00
MID_EV8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04チキ\x02b\n\x0E\x05\x01\x12\x04チキ\nSmile\n\x0E\x03\x02\x06\x04チキ\nYou are incredible! I will have to give this my all.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06マルス\x02t\n\x0E\x05\x01\x14\x06マルス\nSmile\n\x0E\x03\x02\x08\x06マルス\nWell, Tiki, it sure has been a while. I'm glad to\nsee you. How have you been?\x0E\x04\x00\x00
