MID_WU_C_1_IN_#001	신룡 님, 셀린이에요. 실례할게요.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	어머, 벌써 일어나셨어요?\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	과연, 아침에도 우아하시네요.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	왠지 어머님과 오라버니와 함께\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	솔라넬을 방문했을 때가 기억이 나요.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	그래요, 그날도 이렇게 자는 모습을 보고 있었어요…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	…! 죄송해요, 놀라셨죠?\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	그렇네요, 이제는 매일 아침 깨어나시죠.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	신룡 님, 좋은 아침이에요.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	생각보다 계단이 가팔랐어… 차는 괜찮을까?\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	좋은 아침이에요.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	아침과 어울리는 홍차를 가져왔는데…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	함께 드시겠어요?\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	잘 주무시네.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	꿈속까지\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	이 홍차의 꽃과 같은 향기가 전해지면 좋을 텐데.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	아아, 정말로 좋은 향이야…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	후후, 식기 전에 일어나셔서 다행이에요.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	오늘 추천하고 싶은 홍차를 가지고 왔답니다.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	같이 즐기고 싶었거든요.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	혼자서 이곳에 오는 건 아직 익숙지 않네…\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	좋은 아침이에요.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	어머… 신룡 님, 조금 머리카락이.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	빗을 가져와서 이따가 정리해 드릴게요.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	이 장소에 오는 건 특별한 일이라\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	지금도 긴장돼.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	그래… 예전엔 언제나 뤼미에르 님께서…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	안내해 주셨는데…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	신룡 님, 괴로운 일이 있으면 말씀해 주세요.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	제가 반드시 당신의 힘이 되어 드릴게요.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	…후후. 아침부터 갑작스레 죄송해요.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	솔라넬을 산책하고 있으니\x0E\x04\x00\x00
MID_WU_B_2_IN_#002	아름다운 꽃과 새싹들 덕분에 행복해지네요.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	이 세계에는 마음 아픈 일들이 많지만…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	오늘 아침은 부디 행복하셨기를.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	이전에 이야기한 피레네의 전설처럼\x0E\x04\x00\x00
