MID_WU_C_1_IN_#001	야호~! 아침입니다요, 신룡 나리~!!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	오오, 좋은 아침이구만요!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	오늘 깨우기 당번 임무가\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	무사히 끝나서 기쁩니다요!\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	으음… 안 일어나시는구만요.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	이거 제 특기인\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	닭 우는 흉내를 선보일 기회로구만요!\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	꼬끼오~ 꼬꼬~!!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	좋은 아침입니다요!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	음? 뭐라굽쇼?\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	이 방에 닭은 없습니다요. 울음소리는…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	착각하신 것 아닙니까요?\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	신룡 나리~! 오늘 아침은 유나카가 깨우러 왔습니다요~!\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	좋은 아침입니다요!\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	그야말로 상쾌한 아침입죠!\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	그럼 저는 이만\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	물러날 테니, 실례하겠습니다요!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	음… 혹시\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	제가 와선 안 됐던 겁니까요?\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	그렇다면 이런 건 어떠십니까요! 크흠!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	｢신룡 님, 일어나실 시간입니다｣\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	오오…!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	반드레 나리 흉내 작전은 성공한 것 같구만요.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	하지만… 제가 깨워 드렸을 때에도\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	일어나 주셔야 합니다요~!\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	신룡 나리의 침소에 잠입했습니다요…\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	두근거리는구만요…!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	앗, 깨워 버린 겁니까요~\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	아니 그, 뭐 신기한 거 없을까~ 싶어서 말입니다요.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	실례했습니다요~!\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	조심조심… 역시 성지의 제단.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	탐색하는 재미가 있구만요. 오?\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	이건 보기 힘든 건반 악기로구만요. 어디 보자…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	좋은 아침입니다요.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	좋은 악기를 가지고 계시는구만요.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	의외로 저…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	연주 실력이 제법 괜찮은 편이니\x0E\x04\x00\x00
