MID_BGM_Evt_Amb_Lithos_ST_Play	빛의 정원
MID_BGM_Evt_Amb_Lithos_Black_ST_Play	어둠의 회랑
MID_BGM_Evt_Amb_Lithos2_ST_Play	성지 리토스
MID_BGM_Evt_Amb_Lithos2_Black_ST_Play	황폐한 그라드론
MID_BGM_Evt_Ring_ST_Play	12개의 빛
MID_BGM_Evt_Tutorial_ST_Play	부모 자식 간의 시간
MID_BGM_Evt_Advent_Sigurd_ST_Play	전하라, 성전의 엠블렘
MID_BGM_Evt_Lumiere_Die_ST_Play	손가락 걸고 약속
MID_BGM_Evt_Amb_Filene_ST_Play	풍요의 피레네
MID_BGM_Evt_Danger1_ST_Play	위기
MID_BGM_Evt_Danger2_ST_Play	급습
MID_BGM_Evt_Advent_Cellica_ST_Play	지켜라, 울림의 엠블렘
MID_BGM_Evt_Brave_ST_Play	각성의 빛줄기
MID_BGM_Evt_Veyre_ST_Play	백은의 마음
MID_BGM_Evt_Determination_Filene_ST_Play	평화를 위해 검을
MID_BGM_Evt_Disturb1_ST_Play	어두운 그림자
MID_BGM_Evt_Disturb2_ST_Play	모략
MID_BGM_Evt_Funny_ST_Play	잘 부탁드립니다요삐!
MID_BGM_Evt_Advent_Micaiah_ST_Play	치유하라, 새벽의 엠블렘
MID_BGM_Evt_Tension1_ST_Play	대치
MID_BGM_Evt_Tension2_ST_Play	교전의 전조
MID_BGM_Evt_Amb_Brodia_ST_Play	무력의 브로디아
MID_BGM_Evt_Collide_ST_Play	격돌
MID_BGM_Evt_Appear_Diamand_ST_Play	무력의 왕자
MID_BGM_Evt_Advent_Roy_ST_Play	맞서라, 봉인의 엠블렘
MID_BGM_Evt_Appear_Ivy_ST_Play	지혜의 왕녀
MID_BGM_Evt_Advent_Leif_ST_Play	해방하라, 계보의 엠블렘
MID_BGM_Evt_Determination_Brodia_ST_Play	긍지를 위해 병사를
MID_BGM_Evt_Amb_Ircion_ST_Play	지혜의 이르시온
MID_BGM_Evt_Danger_Church_ST_Play	참극
MID_BGM_Evt_Veyre_Exposed_ST_Play	유린하는 흑은
MID_BGM_Evt_Advent_Lucina_ST_Play	타올라라, 각성의 엠블렘
MID_BGM_Evt_Amb_Solum_ST_Play	자유의 솔룸
MID_BGM_Mov_Vigilante_ST_Play	사막의 장미
MID_BGM_Evt_Vigilante_ST_Play	자경단
MID_BGM_Evt_4ku_ST_Play	사룡의 개들
MID_BGM_Evt_4ku_Sad_ST_Play	계속 가족을 원했어
MID_BGM_Evt_Misutira_Song_ST_Play	자유의 왕녀
MID_BGM_Evt_Advent_Ike_ST_Play	싸워라, 창염의 엠블렘
MID_BGM_Evt_Determination_Solum_ST_Play	자유를 위해 힘을
MID_BGM_Evt_Determination_Ircion_ST_Play	신앙을 위해 맹세를
MID_BGM_Evt_Advent_Eirika_ST_Play	개어라, 성마의 엠블렘
MID_BGM_Evt_Veyre_Truth_ST_Play	추락하는 날개
MID_BGM_Evt_Veyre_Sad_ST_Play	잿빛 마음
MID_BGM_Evt_Determination_ST_Play	군사 국가
MID_BGM_Evt_Past_ST_Play	해후 둘
MID_BGM_Evt_BlackLumiere_ST_Play	천 년의 고독
MID_BGM_Evt_BlackLumiere_Die_ST_Play	고마워요… 어머니
MID_BGM_Evt_Determination_Last_ST_Play	만약 다시 태어날 수 있다면
MID_BGM_Evt_26OP_ST_Play	사라진 빛
MID_BGM_Evt_26ED_ST_Play	그의 여로
MID_BGM_Evt_Advent_Lyn_ST_Play	불어라, 열화의 엠블렘
MID_BGM_Evt_Advent_Byleth_ST_Play	가르쳐라, 풍화의 엠블렘
MID_BGM_Evt_Advent_Corrin_ST_Play	외쳐라, 선택의 엠블렘
MID_BGM_Evt_Restart_ST_Play	세계를 구하는 용
MID_BGM_Evt_Daily1_ST_Play	담소
MID_BGM_Evt_Daily2_ST_Play	일상
MID_BGM_Evt_Daily3_ST_Play	평온
MID_BGM_Evt_Warm_ST_Play	정념
MID_BGM_Evt_Engage_ST_Play	인게이지
MID_BGM_Evt_Consultation_ST_Play	합의
MID_BGM_Evt_Kindness_ST_Play	자애
MID_BGM_Evt_P05_OP_ST_Play	차가운 비
MID_BGM_Evt_NewEmblem_ST_Play	문장의 기적
