MID_FORTUNE_TROUBLE_Lueur	머리의 푸른 부분만\n잘 뻗친다.
MID_FORTUNE_TROUBLE_Vandre	가장 잘 만든 레이스를\n물웅덩이에 빠뜨려 버렸다.
MID_FORTUNE_TROUBLE_Clan	피클 냄새가 난다는 말을\n적에게 들었다.
MID_FORTUNE_TROUBLE_Fram	신룡 님과 이야기하고 싶은데\n항상 어디론가 뛰어가 버리신다.
MID_FORTUNE_TROUBLE_Alfred	머리의 꽃은 진짜냐는\n질문을 여러 사람에게 받는다.
MID_FORTUNE_TROUBLE_Boucheron	숲속에서 낮잠 자고 있었는데\n곰으로 오해받아 버렸다.
MID_FORTUNE_TROUBLE_Etie	한꺼번에 산 근육 증강제의\n맛이 마음에 별로 안 든다.
MID_FORTUNE_TROUBLE_Celine	뜨거운 홍차를 너무 좋아해서\n혀를 자주 데인다.
MID_FORTUNE_TROUBLE_Louis	홍차를 잘 우려낸 날은\n하루 종일 미소 짓게 된다.
MID_FORTUNE_TROUBLE_Chloe	페가수스에게 별미를 줬더니\n표정이 불쾌해 보였다.
MID_FORTUNE_TROUBLE_Veyre	머리의 검은 부분만\n어째서인지 잘 갈라진다.
MID_FORTUNE_TROUBLE_Mauve	단 음식도 좋아한다는 말을\n어째서인지 말하지 못하고 있다.
MID_FORTUNE_TROUBLE_Diamand	언제 어디서나\n손바닥이 따뜻하다.
MID_FORTUNE_TROUBLE_Umber	전설의 무기를 샀는데\n이번에도 가짜였다.
MID_FORTUNE_TROUBLE_Jade	요즘 힘이 세져서\n자꾸 펜촉을 부러뜨리고 있다.
MID_FORTUNE_TROUBLE_Staluke	잘 모르는 사람과\n시선을 마주치는 게 무섭다.
MID_FORTUNE_TROUBLE_Lapis	머리에 리본을 너무 세게 묶어서\n자기도 못 풀고 있다.
MID_FORTUNE_TROUBLE_Citrinica	부드럽게 웃어 줄 생각이었는데\n눈을 마주친 애가 울어 버렸다.
MID_FORTUNE_TROUBLE_Ivy	눈을 먹어 보고 싶은데\n주위 눈치가 보인다.
MID_FORTUNE_TROUBLE_Zelkova	열쇠를 잔뜩 갖고 있는데\n어느 게 어디 건지를 모른다.
MID_FORTUNE_TROUBLE_Kagetsu	고민 없어 보인다는 말을\n다른 사람에게 자주 듣는다.
MID_FORTUNE_TROUBLE_Hortensia	항상 귀여운 모습이고 싶은데\n잠에서 깼을 때는 영 아니다.
MID_FORTUNE_TROUBLE_Rosado	자신이 인게이지한 모습을\n그리고 싶지만 잘 안된다.
MID_FORTUNE_TROUBLE_Goldmary	마을에서 만난 사람들이\n남녀노소 무관하게 푹 빠진다.
MID_FORTUNE_TROUBLE_Misutira	고기 굽는 시간을 못 참아서\n덜 익힌 것을 먹곤 한다.
MID_FORTUNE_TROUBLE_Merin	동물을 발견했을 때\n실실 웃는 모습이 멋없다.
MID_FORTUNE_TROUBLE_Panetone	다들 벌레를 무서워해서\n슬프다. 귀여운데.
MID_FORTUNE_TROUBLE_Fogato	과일을 좋아하지만\n과일 깎는 게 정말 서투르다.
MID_FORTUNE_TROUBLE_Pandoro	전투 중에 기도 시간이 되면\n어떻게 해야 좋을지 모르겠다.
MID_FORTUNE_TROUBLE_Bonet	점술에 쓰는 그 카드의 맛이\n궁금해서 참기 힘들다.
MID_FORTUNE_TROUBLE_Anna	매번 만나는 사람마다\n어디서 봤다고 그런다.
MID_FORTUNE_TROUBLE_Jean	의사 지망생이면서도 쓴 약이\n도저히 익숙해지지 않는다.
MID_FORTUNE_TROUBLE_Yunaka	머리에 달고 있는 별들이\n전투 중에 종종 떨어져 버린다.
MID_FORTUNE_TROUBLE_Seadas	다른 사람의 점을 보려다\n자기 점을 보게 되었다.
MID_FORTUNE_TROUBLE_Linden	과자 만드는 게 재미있어서\n매번 너무 많이 만들어 버린다.
MID_FORTUNE_TROUBLE_Saphir	물가만 있으면 거기 사는\n물고기에 정신이 팔려 버린다.
MID_FORTUNE_TROUBLE_Shere_01	다른 방에 가면\n뭘 하러 온 건지 까먹는다.
MID_FORTUNE_TROUBLE_Shere_02	씩씩하게 잘 자라는 중인 꽃을\n실수로 밟아 버렸다.
MID_FORTUNE_TROUBLE_Shere_03	아까 좀 웃었더니\n딸꾹질이 멈추질 않는다.
MID_FORTUNE_TROUBLE_Shere_04	문장사와 친해지고 싶은데\n자꾸 긴장한다.
MID_FORTUNE_TROUBLE_Shere_05	요즘 들어서 기름진 음식을\n먹으면 속이 더부룩하다.
MID_FORTUNE_TROUBLE_Shere_06	아무렇지도 않은 척하지만\n아직도 솔라넬에서 헤맨다.
MID_FORTUNE_TROUBLE_Shere_07	한밤중에 별을 보다가\n그대로 길바닥에서 잠들었다.
MID_FORTUNE_TROUBLE_Shere_08	엠블렘 인게이지!를 말할 때마다\n매번 혀를 씹을 것 같다.
MID_FORTUNE_TROUBLE_Shere_09	얼마 전에 발이 미끄러져서\n솔라넬의 연못에 풍덩 빠졌다.
MID_FORTUNE_TROUBLE_Shere_10	여기 밥이 너무 맛있어서\n오기 전보다 살짝 살쪘다.
MID_FORTUNE_TROUBLE_Shere_11	솔라넬에 있는 가게에서\n자꾸 사려는 척하다 나간다.
MID_FORTUNE_TROUBLE_Shere_12	매일 밤마다 배가 고파서\n야식을 끊지 못하고 있다.
MID_FORTUNE_TROUBLE_Shere_13	사실은 사용하는 무기에\n귀여운 이름을 붙였다.
MID_FORTUNE_TROUBLE_Shere_14	지금 입고 있는 옷의 옷자락이\n상당히 풀려 있다.
MID_FORTUNE_TROUBLE_Shere_15	멀쩡한 표정을 짓고 있지만\n오늘은 목이 아픈 상태다.
MID_FORTUNE_TROUBLE_Shere_16	새로운 무기를 받으면\n너무 기뻐서 끌어안고 잔다.
MID_FORTUNE_TROUBLE_Shere_17	요즘 머리 모양이 아무래도\n마음에 들지 않는 것 같다.
MID_FORTUNE_TROUBLE_Shere_18	인게이지한 모습이\n잘 어울리는지 신경 쓰인다.
MID_FORTUNE_TROUBLE_Shere_19	주변에 사람이 없으면\n큰 소리로 노래를 부르게 된다.
MID_FORTUNE_TROUBLE_Shere_20	문장사한테 나오는 빛나는 걸\n너무 만져 보고 싶다.
