MID_WU_C_1_IN_#001	후우… 조용한 장소는 긴장되네.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	어라, 이미 일어나 계셨습니까?\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	아니면 내 발소리가 너무 또각거렸나…\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	자, 모두 기다리고 있습니다!\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	왕성 근무를 오래 하긴 했지만\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	브로디아성은 이렇게 조용하지 않았단 말이지…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	여기 올 거였으면 격식 있는 행동이라도 배울걸.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	좋은 아침입니다.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	아침 인사는 중요합니다.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	전장에 나가면, 방금 나눈 말이\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	마지막이 될 수도 있으니까요.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	모리온 님께도 이런 깨우기 당번이 있었을까…?\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	하하하, 아직 피곤하신가 보군요.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	단련하면\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	머리가 맑아질 겁니다.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	일개 병사가 왕족의 개인실에 들어가려니 조금 껄끄럽지만…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	여기는 제단이기도 하니까.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	그렇다면 망설이지 말고… 신룡 님!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	좋은 아침입니다.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	아침부터 신룡 님을 뵈니까\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	정신이 바짝 듭니다!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	오늘도 동료들을 위해 힘내겠습니다.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	오늘 아침에 신선한 물고기를 잡았습니다!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	신룡 님께서도 궁금하셨군요.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	디아만드 님께서 잡으셨는데\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	솔라넬에서도 손꼽히는 대어라고 합니다.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	오늘 저녁밥이 기대되는군요.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	잠… 날뛰지 마!\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	이 녀석, 너무 커서 제압하지 못하겠어!\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	앗, 마루에! 팔딱대지 좀 마!\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	이런 실수를… 나가 버렸어.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	죄송합니다, 물고기가 밖으로 도망쳐 버렸습니다.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	그래도 이 밑은 주방이니까\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	누군가 잡지 않을까요? 하하하!\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	후후, 좋은 표정 지으시며 주무시네.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	좋은 아침입니다.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	신룡 님의 잠든 모습과 잠버릇은 멋지군요.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	일어날 때 침대에서 떨어져 보신 적은 없으십니까?\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	잠자는 자세도 올곧으시군.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	하아… 난 하룻밤 사이에 침대 위를 세 번쯤 구르고\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	일어나 보면 마루 위였던 적이 셀 수도 없는데…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	일어나셨습니까?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	원하신다면 또 같이 단련하시죠.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	언제든 함께하겠습니다!\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	신룡 님, 이제 곧 저녁 식사 시간입니다.\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	낮잠이시라니 별일이군요.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	후후, 피곤하신 줄 알았는데\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	저녁밥 소리에 벌떡 일어나시는 걸 보니 괜한 걱정이었군요.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	자, 가시죠.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	상당히 피곤하신가 보네… 무리도 아니지.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	매일 긴장한 채로 모두를 이끄시니 말이야.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	나로는 도저히 알 수 없는 중압감도 있을 거야…\x0E\x04\x00\x00
