MID_Movie_S02	과거의 결전
MID_H_Movie_S02	전장을 달리는 신룡 \x0E\x06\x03\x00.\n동료들과 문장사의 도움으로 도착한 길의 끝에서\n문을 열고 최후의 싸움에 임한다.
MID_Movie_S03	문장사 합체!
MID_H_Movie_S03	신룡 \x0E\x06\x03\x00\x0E\x0A\x04\x08\x02과\x02와 문장사 마르스가\n적을 쓰러뜨리기 위해 인게이지.\n일심동체의 모습으로 변신한다.
MID_Movie_S04	영웅왕의 현현
MID_H_Movie_S04	반지가 푸른 빛을 발하며\n꿈속에서 함께 싸웠던 검사가 나타난다.\n검사는 자신을 『문장사 마르스』라고 소개했다.
MID_Movie_S05	신룡왕과의 해후
MID_H_Movie_S05	증원이 나타나 위기에 빠진 \x0E\x06\x03\x00.\n그 순간 갑자기 흰 용이 나타난다. 용은\n이형병을 쓸어버리고 인간의 모습으로 변했다.
MID_Movie_S06	엘레오스 대륙 이야기
MID_H_Movie_S06	신룡왕성으로 향하는 일행.\n뤼미에르로부터 엘레오스 대륙의 역사와\n문장사의 존재에 대한 이야기를 듣는다.
MID_Movie_S07	붉은 기억
MID_H_Movie_S07	불타는 왕성에 있는 적발 검사의 기억.\n검사는 뤼미에르의 질문에 답하지 않고\n요사스럽게 미소 짓는다.
MID_Movie_S08	알프레드
MID_H_Movie_S08	수수께끼의 집단이 습격하여 혼란에 빠진\n신룡왕성에 백마를 타고 늠름하게 등장한 것은\n피레네 왕국의 제1왕자 알프레드였다.
MID_Movie_S09	신룡왕, 쓰러지다
MID_H_Movie_S09	적장의 마법이 신룡 \x0E\x06\x03\x00\x0E\x0A\x04\x08\x02을\x02를 덮친다.\n뤼미에르가 몸을 던져 감싸지만,\n끝내 힘이 다해 쓰러지고 만다.
MID_Movie_S10	베일과의 만남
MID_H_Movie_S10	이형병의 급습을 받은 신룡 \x0E\x06\x03\x00\x0E\x0A\x04\x08\x02은\x02는\n누군가의 마법에 의해 도움을 받는다.\n마법을 사용한 것은 수수께끼의 소녀였다.
MID_Movie_S11	디아만드
MID_H_Movie_S11	브로디아 왕국 제1왕자 디아만드.\n디아만드는 브로디아왕성의 성문 앞에서\n신룡 \x0E\x06\x03\x00 일행을 맞이한다.
MID_Movie_S12	아이비
MID_H_Movie_S12	이르시온 왕국 제1왕녀 아이비.\n브로디아왕성에 쳐들어온 아이비는 왕명을 따라\n문장사의 반지를 빼앗겠다고 선언한다.
MID_Movie_S13	국경 격돌
