MID_CARD_KEYHELP_TURN_OVER	앞뒤 반전
MID_CARD_KEYHELP_EDIT	편집
MID_CARD_KEYHELP_CARD_LIST	카드 리스트
MID_CARD_KEYHELP_STAMP_LIST	스탬프 리스트
MID_CARD_KEYHELP_STAMP_SWITCHING	편집 모드 전환
MID_CARD_KEYHELP_DELETE	삭제
MID_CARD_KEYHELP_END	종료
MID_ProfileCard	신룡 전적 카드
MID_ProfileCard_MyCard	마이 카드
MID_ProfileCard_MyCard_Description	카드 내용을 편집하거나\n디자인 변경·꾸미기를 할 수 있습니다
MID_ProfileCard_Notes_Terms	The Community Guidelines apply to shared\ncontent and can be found on Nintendo's website.\nPlease be considerate to your fellow players.
MID_ProfileCard_Album	이계의 전적 카드
MID_ProfileCard_Album_Help	받은 카드의 확인 및 삭제
MID_ProfileCard_Album_Description	｢시련의 별채｣에서 받은\n친구의 전적 카드를 확인하거나\n리스트를 정리할 수 있습니다
MID_ProfileCard_Photo	풍경 인화
MID_ProfileCard_Photo_Description	솔라넬 내에서\n좋아하는 동료와 장소를 선택하여\n전적 카드용 사진을\n인화(촬영)할 수 있습니다
MID_ProfileCard_Photo_Warning	풍경 인화는 솔라넬 야외에서만 할 수 있습니다
MID_ProfileCard_Setting	공개 설정
MID_ProfileCard_Setting_Description	마이 카드의 공개 설정을 바꿀 수 있습니다
MID_ProfileCard_Setting_Warning_Public	현재 공개 설정: 공개
MID_ProfileCard_Setting_Warning_Private	현재 공개 설정: 비공개
MID_ProfileCard_Setting_Confirm	마이 카드의 공개 설정을 선택해 주십시오\n(설정은 언제든 변경할 수 있으며\n 이미 교환한 카드에 영향은 없습니다)
MID_ProfileCard_Setting_Public	공개로 설정하기
MID_ProfileCard_Setting_Private	비공개로 설정하기
MID_ProfileCard_ShowStamp	스탬프 표시 설정
MID_ProfileCard_ShowStamp_Description	이계의 전적 카드의 스탬프 표시 설정을\n변경할 수 있습니다
MID_ProfileCard_ShowStamp_Warning_Show	현재의 표시 설정: 표시
MID_ProfileCard_ShowStamp_Warning_Hide	현재의 표시 설정: 비표시
MID_ProfileCard_ShowStamp_Confirm	스탬프 표시 설정을 선택해 주십시오\n(설정은 언제든 변경할 수 있습니다)
MID_ProfileCard_ShowStamp_Show	표시로 설정하기
MID_ProfileCard_ShowStamp_Hide	비표시로 설정하기
MID_ProfileCard_Settings_Cannot_Change	Parental Controls에 의해 제한되어 있기 때문에\n설정을 변경할 수 없습니다
MID_ProfileCard_Card_PlayerInfo	플레이어 정보
MID_ProfileCard_Card_TolalPlayTime	총 플레이 시간
MID_ProfileCard_Card_Birthday	생일
MID_ProfileCard_Card_Difficulty	난이도
MID_ProfileCard_Card_GameMode	모드
MID_ProfileCard_Card_FaivoriteCharacter	좋아하는 캐릭터
MID_ProfileCard_Card_Relay	계전의 시련
MID_ProfileCard_Card_FavoriteMap	좋아하는 맵
MID_ProfileCard_Card_PlayingCount	플레이 횟수
MID_ProfileCard_Card_Versus	이계의 시련
