MID_WU_C_1_IN_#001	실례할게요!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	신룡 님께서는 수면 습관이 좋으시군요.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	훌륭하세요.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	오늘은 무척 단련하기 좋은 날씨예요.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	자고 계시기에는 아깝다고요.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	자, 전신의 근육을 깨우세요…!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	좋은 아침이에요.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	우선 눈꺼풀의 근육과 인사부터 하셔야겠네요.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	오늘 아침 단련은 신룡 님을 깨워 드린 후에 할 거예요.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	어머, 바로 일어나 주셔서 다행이에요.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	전 달리기 연습이 있으니 이만.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	근육이 빨리 움직이고 싶다고 외치고 있어요.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	잠시 실례할게요…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	후우, 후, 하, 상쾌한, 기분이네요…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	…후우. 어머, 신룡 님.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	언제부터 일어나 계셨던 건가요?\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	좋은 아침이에요.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	건강한 아침을 전해 드리고자 찾아왔답니다.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	단숨에 일어나셨네요…\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	혹시 신룡 님, 잠을 깊게 못 주무시는 편인가요?\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	자… 어떻게 깨워 드릴까요?\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	감히 몸에 손을 대는 건 불경스러우니.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	그렇지, 이 침대를… 이얍!!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	아아, 실패예요…!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	신룡 님, 이 침대 정말 무겁네요.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	좀 더 단련하고 다시 시도해 볼게요.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	솔라넬 100바퀴 돌기, 끝마치고 찾아왔답니다!\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	이렇게나 일찍 일어나시다니.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	신룡 님께서도 솔라넬을 달리고 싶어서\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	참을 수 없으셨나 보군요.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	신룡 님과 달리고 나서\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	달리기에 중독되고 말았어요.\x0E\x04\x00\x00
