MID_SYS_EnchantEffect	인챈트 효과
MID_DLC_News_Patch1_Title	Ver. 1.2.0 업데이트 내용
MID_DLC_News_Patch1	【익스팬션 패스】\n\n·문장사 헥터, 문장사 세네리오, 문장사 카밀라가 추가되었습니다\n 각자에게 대응되는 추가 맵을 클리어하면 동료가 됩니다\n\n·익스팬션 패스 구입 특전 2가 추가되었습니다\n 연성 소재와 무기, 스킬의 책 등을 받을 수 있습니다\n\n·새로운 액세서리가 추가되었습니다\n 액세서리점에서 받을 수 있습니다\n　｢수호신 페어 세트｣, ｢수호신 인형 탈｣, ｢수호신 귀 장식｣,\n　｢강아지 귀 장식｣, ｢토끼 귀 장식｣, ｢여우 귀 장식｣\n\n【무료 업데이트】\n\n·거점 시설에 ｢리프레시｣가 추가되었습니다\n 이용하면 동료의 지원도가 상승합니다
MID_MSG_GET_ITEM_DLC_Accessory2	익스팬션 패스 구입 특전 2를 받았습니다
MCID_G002_PREFIX	신룡의 장
MCID_G002	열혈 맹장
MCID_G002_PLACE	광전사의 풍혈
MCID_G002_OUTLINE	독기가 자욱하게 낀 어두운 동굴 안에서\n새로운 팔찌가 발견됐다는 소식을 들었다
MCID_G004_PREFIX	신룡의 장
MCID_G004	푸른 참모
MCID_G004_PLACE	작열하는 초토
MCID_G004_OUTLINE	작열하는 용암을 두른 바위산 동굴 안에서\n새로운 팔찌가 발견됐다는 소식을 들었다
MCID_G005_PREFIX	신룡의 장
MCID_G005	짙은 요염
MCID_G005_PLACE	황혼이 깃든 물의 도시
MCID_G005_OUTLINE	지하 수로가 펼쳐진 망각의 옛 도시에서\n새로운 팔찌가 발견됐다는 소식을 들었다
MID_RULE_G002_WIN	문장사 헥터에게 승리
MID_RULE_G004_WIN	문장사 세네리오에게 승리
MID_RULE_G005_WIN	문장사 카밀라에게 승리
MTID_VolcanicBombTraces	탄 자국
MTID_Fumarole	분기공
MTID_Crater	분화구
MPID_Hector	헥터
MPID_H_Hector	통칭 『천뢰의 문장사』.\n뛰어난 실력과 무용을 갖춘 호쾌한 청년.
MPID_Senerio	세네리오
MPID_H_Senerio	통칭 『현풍의 문장사』.\n냉정 침착한 판단력을 지닌 검은 옷의 참모.
MPID_Camilla	카밀라
MPID_H_Camilla	통칭 『암야의 문장사』.\n요염한 분위기를 두른 아름다운 마룡 기사.
MGID_Hector	헥터
MGID_H_Hector	통칭 『천뢰의 문장사』.\n뛰어난 실력과 무용을 갖춘 호쾌한 청년.\n도끼로 적을 날려 버리며 동료를 위해 힘쓴다.
MGID_H_EnemyHector	『열혈 맹장의 팔찌』에서 깨어난 문장사.
MGID_Senerio	세네리오
MGID_H_Senerio	통칭 『현풍의 문장사』.\n냉정 침착한 판단력을 지닌 검은 옷의 참모.\n마도에 뛰어나 고위 마법까지 사용한다.
MGID_H_EnemySenerio	『푸른 참모의 팔찌』에서 깨어난 문장사.
MGID_Camilla	카밀라
MGID_H_Camilla	통칭 『암야의 문장사』.\n요염한 분위기를 두른 아름다운 마룡 기사.\n하늘을 날며 도끼와 마법으로 적을 처단한다.
MGID_H_EnemyCamilla	『짙은 요염의 팔찌』에서 깨어난 문장사.
MGEID_Hector	천뢰의 문장
MGEID_Senerio	현풍의 문장
MGEID_Camilla	암야의 문장
MJID_Enchant	인챈트
MJID_H_Enchant	아이템을 능숙하게 활용하며 싸우는 의무병.\n수송대와 함께 동료를 지원하는 전법이 특기.
MIID_Hector_WolfBeil	볼프 바일
MIID_H_Hector_WolfBeil	문장사 헥터가 지닌 도끼.\n기마 특효/중갑 특효.
MIID_Hector_Runesword	룬 소드
MIID_H_Hector_Runesword	문장사 헥터가 지닌 마법검.\n적에게 입힌 대미지의 50%만큼\n자신의 HP를 회복한다.\n마법의 힘을 통해 떨어진 적도 공격 가능.
MIID_Hector_Armads	알마즈
MIID_H_Hector_Armads	문장사 헥터가 지닌 천뢰의 도끼.\n수비+5/용 특효.
MIID_Senerio_Thunderstorm	선더스톰
MIID_H_Senerio_Thunderstorm	문장사 세네리오가 지닌\n사정거리가 긴 번개 마법/추격 불가.
MIID_Senerio_MagicShield	매직 실드
MIID_H_Senerio_MagicShield	문장사 세네리오가 지닌 마법의 지팡이.\n주변 2칸 이내에 있는 아군이 1턴 동안\n마법 공격을 받았을 때 받은 대미지의\n50%를 상대에게 입힐 수 있게 된다.
MIID_Senerio_Rexcalibur	렉스칼리버
MIID_H_Senerio_Rexcalibur	문장사 세네리오가 지닌 최상위 바람 마법.\n비행 특효.
MIID_Senerio_Disaster	디재스터
MIID_H_Senerio_Disaster	문장사 세네리오가 지닌 연속 공격 마법.\n범위 내의 적에게 대미지 40%의\n화염/번개/바람(비행 특효) 연속 마법 공격.
MIID_Camilla_BoltAxe	볼트 액스
MIID_H_Camilla_BoltAxe	문장사 카밀라가 지닌 마법 도끼.\n떨어진 적도 공격 가능.
MIID_Camilla_Lightning	라이트닝
MIID_H_Camilla_Lightning	문장사 카밀라가 지닌 마법.\n직접 공격 시, 2연속 공격.
MIID_Camilla_Camilla'sAxe	카밀라의 도끼
MIID_H_Camilla_Camilla'sAxe	문장사 카밀라가 지닌 도끼.\n마방+10/상대의 (마방-수비)만큼을\n대미지에 추가한다.
MIID_HE_Vulnerary	자신과 주위 2칸 이내에 있는 아군의\nHP를 15 회복한다.
MIID_HE_Antidote	자신 및 자신과 인접한 아군의\n상태 이상을 회복한다.
MIID_HE_Medicine	자신 및 자신과 인접한 아군의\n인게이지 카운트+2.
MIID_HE_HolyWater	자신 및 자신과 인접한 아군에게\n1턴 동안 이형 특효를 부여한다.
MIID_HE_Torch	자신 및 자신과 인접한 아군에게\n횃불(주위 7칸을 밝힌다/턴 경과에 따라\n범위 축소) 효과를 부여한다.
MIID_HE_HpTonic	자신 및 자신과 인접한 아군은 1턴 동안\n체인 어택의 대미지를 받지 않게 된다.\n또한, 레벨에 따라 최대 HP가 상승한다.
MIID_HE_StrTonic	자신 및 자신과 인접한 아군은 1턴 동안\n무기의 무게가 반감된다.\n또한, 레벨에 따라 힘이 상승한다.
MIID_HE_TecTonic	자신 및 자신과 인접한 아군은 1턴 동안\n적에게 브레이크당하지 않게 된다.\n또한, 레벨에 따라 기술이 상승한다.
