MID_SORTIE_START	전투 개시
MID_SORTIE_START_HELP	준비를 완료하고 출격한다
MID_SORTIE_START_CONFIRM	전투를 개시하겠습니까?
MID_SORTIE_START_CONFIRM_YES	전투 개시하기
MID_SORTIE_BACK	뒤로
MID_SORTIE_SELECT_UNIT	유닛 편성
MID_SORTIE_SELECT_UNIT_SELECT	유닛을 선택해 주십시오
MID_SORTIE_SELECT_UNIT_HELP	출격할 아군을 선택한다
MID_SORTIE_EQUIP_GOD	문장사의 반지\x0E\x01\x08\x00
MID_SORTIE_EQUIP_GOD_HELP	문장사의 반지\x0E\x01\x08\x00를 착용한다
MID_SORTIE_INVENTORY	정비
MID_SORTIE_INVENTORY_HELP	소지품을 정리하거나 스킬을 장비한다
MID_SORTIE_CHANGE_POSITION	배치 변경
MID_SORTIE_CHANGE_POSITION_HELP	아군 배치를 변경하거나 전황을 확인한다
MID_SORTIE_SHOP	상점
MID_SORTIE_SHOP_HELP	무기나 도구를 구입한다
MID_SORTIE_WEAPON_SHOP	무기점
MID_SORTIE_H_WEAPON_SHOP	무기를 구입한다
MID_SORTIE_ITEM_SHOP	도구점
MID_SORTIE_H_ITEM_SHOP	도구를 구입한다
MID_SORTIE_RELIANCE	지원 회화
MID_SORTIE_RELIANCE_UNIT_SELECT	상대를 선택해 주십시오
MID_SORTIE_RELIANCE_NONE	지원 상대가 없습니다
MID_SORTIE_BONDS_RELIANCE	인연 회화
MID_SORTIE_BONDS_RELIANCE_NONE	문장사가 없습니다
MID_SORTIE_RELIANCE_ATTENTION	인연·지원 회화는 거점 및 월드 맵에서 볼 수 있습니다
MID_SORTIE_SAVE	저장
MID_SORTIE_SAVE_HELP	현재의 진행 상태를 저장한다
MID_SORTIE_BACK_CONFIRM_HELP	월드 맵으로 돌아간다
MID_SORTIE_BACK_CONFIRM	월드 맵으로 돌아가겠습니까?
MID_SORTIE_BACK_CONFIRM_HELP_M026	거점 솔라넬로 돌아간다
MID_SORTIE_BACK_CONFIRM_M026	거점 솔라넬로 돌아가겠습니까?
MID_SORTIE_CONTINUEBATTLE_NOSELECT	연전 중이므로 선택 불가
MID_SORTIE_COMMON_TRADE	교환
MID_SORTIE_UNIT_ITEM	소지품 정리
MID_SORTIE_UNIT_ITEM_LIST	소지품 목록
MID_SORTIE_UNIT_TRADE	소지품 교환
MID_SORTIE_UNIT_ENTRUST	장비 위임
MID_SORTIE_UNIT_ENTRUST_WARNING1	수송대의 소지품이 부족해\n아이템을 장비시킬 수 없습니다
MID_SORTIE_UNIT_ENTRUST_WARNING2	이 유닛의 소지품을 정리할 수 있는\n빈 공간이 수송대에 없으므로\n｢장비 위임｣을 실행할 수 없습니다
MID_SORTIE_UNIT_STORE	위탁
MID_SORTIE_UNIT_STORE_ALL	모두 위탁
MID_SORTIE_UNIT_STORE_ALL_WARNING	수송대가 가득 찼거나\n맡길 수 없는 아이템이 있습니다
MID_SORTIE_UNIT_SKILL_OPEN	｢스킬 변경｣이 가능해졌습니다
MID_SORTIE_UNIT_SKILL	스킬 변경
MID_SORTIE_UNIT_CLASSCHANGE	클래스 체인지
MID_SORTIE_ALL_UNITS_ENTRUST	장비 일괄 위임
MID_SORTIE_ALL_UNITS_ENTRUST_CONFIRM	출격할 유닛의 소지품 정리를\n위임하겠습니까?\n(출격하지 않는 유닛의 소지품은\n 모두 수송대로 옮겨집니다)
MID_SORTIE_ALL_UNITS_ENTRUST_ERROR	｢장비 일괄 위임｣은 출격 준비에서\n출격 유닛을 선택했을 때 사용할 수 있습니다
MID_SORTIE_ALL_UNITS_ENTRUST_Yes	정리하기
MID_SORTIE_ALL_UNITS_ENTRUST_WARNING1	수송대의 소지품이 부족해\n모든 출격 유닛에게 분배할 수 없었습니다
MID_SORTIE_ALL_UNITS_ENTRUST_WARNING2	수송대의 재고가 가득 차\n소지품을 정리할 수 없습니다
MID_SORTIE_ALL_UNITS_STORE_ALL	일괄 위탁
MID_SORTIE_ALL_UNITS_STORE_ALL_CONFIRM	모든 유닛의 소지품을\n수송대에 맡기겠습니까?
MID_SORTIE_ALL_UNITS_STORE_ALL_WARNING	수송대의 재고가 가득 차\n소지품을 모두 맡길 수 없었습니다
MID_SORTIE_ALL_UNITS_ENTRUST_GOD	장비 일괄 위임
MID_SORTIE_ALL_UNITS_ENTRUST_GOD_CONFIRM	출격할 유닛의 반지\x0E\x01\x08\x00 장비를\n위임하겠습니까?
MID_SORTIE_ALL_UNITS_ENTRUST_GOD_Yes	위임하기
MID_SORTIE_ALL_UNITS_ENTRUST_GOD_No	그만두기
MID_SORTIE_ALL_UNITS_STORE_ALL_GOD	장비 일괄 해제
MID_SORTIE_ALL_UNITS_STORE_ALL_GOD_CONFIRM	모든 유닛의 반지\x0E\x01\x08\x00를 해제하겠습니까?
MID_SORTIE_ALL_UNITS_STORE_ALL_GOD_Yes	해제하기
MID_SORTIE_ALL_UNITS_STORE_ALL_GOD_No	그만두기
MID_SORTIE_UNIT_NONE	유닛이 없습니다
MID_TROOPLIST_PAGETITLE_BASIC	상태
MID_TROOPLIST_PAGETITLE_STATUS	기본 능력
MID_TROOPLIST_PAGETITLE_BATTLE	전투 능력
MID_SORTIE_INVENTORY_STORE	위탁
MID_SORTIE_INVENTORY_RECEIVE	받기
MID_SORTIE_INVENTORY_EQUIP	장비
MID_SORTIE_INVENTORY_REMOVE	해제
MID_SORTIE_INVENTORY_ARRANGE	재정렬
MID_SORTIE_INVENTORY_USE	사용
MID_SORTIE_INVENTORY_DISCARD	버리기
MID_SORTIE_INVENTORY_EMPTY	가진 것이 없습니다
MID_SORTIE_SKILL_CATEGORY_PERSON	개인
MID_SORTIE_SKILL_CATEGORY_JOB	병과
MID_SORTIE_SKILL_CATEGORY_INHERITANCE	계승
MID_SORTIE_SKILL_CATEGORY_GOD	싱크로
MID_SORTIE_SKILL_CATEGORY_ENGAGE	인게이지
MID_SORTIE_SKILL_CATEGORY_BONDS	인연
MID_SORTIE_SKILL_CATEGORY_EQUIPED	장비 중
MID_SORTIE_SKILL_OVERLAPPING	중복
MID_SORTIE_SKILL_SUPPLEMENT_HELP	장비 중인 스킬과 중복
MID_SORTIE_SKILL_POOL_NONE	스킬이 없습니다
MID_SORTIE_SKILL_POOL_TITLE	계승한 스킬
MID_SORTIE_CLASSCHANGE_NEED_LV	필요 레벨
MID_SORTIE_CLASSCHANGE_NEED_APTITUDE	필요한 소질
MID_SORTIE_CLASSCHANGE_HAVE_APTITUDE	가지고 있는 소질
MID_SORTIE_CLASSCHANGE_NEED_ITEM	필요한 아이템
MID_SORTIE_CLASSCHANGE_SKILL_LEVEL	Lv.\x0E\x01\x00\x00에 습득
MID_SORTIE_CLASSCHANGE_NONE	클래스 체인지할 수 있는 병과가 없습니다
MID_SORTIE_CLASSCHANGE_CONFIRM_DIALOG	｢\x0E\x01\x00\x00\x0E\x0A\x05\x0E\x06｣으로\x04｣로 클래스 체인지하겠습니까?
MID_SORTIE_CLASSCHANGE_CONFIRM_DIALOG_YES	클래스 체인지
MID_SORTIE_CLASSCHANGE_NEED_JOB	\x0E\x01\x00\x00 Lv.\x0E\x01\x01\x00
MID_SORTIE_CLASSCHANGE_BASIC_ARMOR	소드/랜스/액스 아머
MID_SORTIE_CLASSCHANGE_BASIC_KNIGHT	소드/랜스/액스 나이트
MID_SORTIE_CLASSCHANGE_BASIC_PEGASUS	소드/랜스/액스 페가수스
MID_SELECTRING_TITLE_GOD	문장사의 반지\x0E\x01\x08\x00
MID_SELECTRING_REMOVE	｢\x0E\x01\x00\x00｣를 해제하겠습니까?
MID_SELECTRING_CHANGE	｢\x0E\x01\x00\x00｣를 해제하고\n｢\x0E\x01\x01\x00｣로 변경하겠습니까?
MID_SELECTRING_CHANGE_REMOVE	｢\x0E\x01\x00\x00｣를 해제하고\n｢\x0E\x01\x01\x00｣로 변경하겠습니까?\n(현재 장비 중인 유닛: \x0E\x01\x02\x00)
MID_SELECTRING_SET	｢\x0E\x01\x00\x00｣를 장비하겠습니까?
MID_SELECTRING_SET_REMOVE	｢\x0E\x01\x00\x00｣를 장비하겠습니까?\n(현재 장비 중인 유닛: \x0E\x01\x01\x00)
MID_SELECTRING_REMOVE_CONFIRM	해제하기
MID_SELECTRING_SET_CONFIRM	장비하기
MID_SELECTRING_GOD_CHANGE_YES	변경하기
MID_SELECTRING_GOD_EMPTY	문장사의 반지\x0E\x01\x08\x00가 없습니다
MID_SELECTRING_COMMON_EMPTY	인연의 반지가 없습니다
MID_SELECTRING_LUEUR_NOTES	문장사 \x0E\x06\x03\x00\x0E\x0A\x04\x08\x02은\x02는\n출격 중에 ｢인게이지+｣를 사용하면\n인게이지할 수 있습니다
MID_SORTIE_TITLE_UNIT_SELECT	출격 유닛 편성
MID_SORTIE_TITLE_UNIT_SELECT_ITEM	정비
MID_SORTIE_TITLE_RING_SELECT	문장사의 반지\x0E\x01\x08\x00
MID_SORTIE_TITLE_INVENTORY	소지품 정리
MID_SORTIE_TITLE_TRADE	소지품 교환
MID_SORTIE_TITLE_SKILL	스킬 변경
MID_SORTIE_TITLE_CLASSCHANGE	클래스 체인지
MID_SORTIE_TITLEHELP_UNIT_SELECT	출격할 아군을 선택해 주십시오
MID_SORTIE_TITLEHELP_UNIT_SELECT_ITEM	유닛을 선택해 주십시오
MID_SORTIE_TITLEHELP_RING_SELECT	착용할 반지\x0E\x01\x08\x00를 선택해 주십시오
MID_SORTIE_TITLEHELP_INVENTORY	아이템을 선택해 주십시오
MID_SORTIE_TITLEHELP_TRADE	교환할 소지품을 선택해 주십시오
MID_SORTIE_TITLEHELP_SKILL	변경할 스킬을 선택해 주십시오
MID_SORTIE_TITLEHELP_CLASSCHANGE	병과를 선택해 주십시오
