MID_WU_C_1_IN_#001	신룡 님, 좋은 아침입니다예요.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	잘 주무셨나 보군요.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	저는 아침이 매우 싫어서…\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	신룡 님을 본받아야겠습니다예요.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	새하얀 방은 진정되지 않습니다예요…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	신룡 님이시라면 검은 방도\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	멋지게 잘 어울릴 거 같습니다예요.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	흠… 전언 철회하겠습니다예요.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	깨어나신 신룡 님을 보니\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	역시 새하얀 방이 제일입니다예요.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	오늘은 조금 후덥지근하군요.\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	신룡 님, 밤새 편안하셨습니까인가요?\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	아아, 역시 바로 일어나셨습니까인가요.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	이렇게 더우면 벌레도 많으니\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	조심하셔야 합니다예요.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	어머나, 피를 빨아 먹는 벌레가!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	저는 벌레를 좋아하지만\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	신룡 님의 피가 빨리면 큰일입니다예요… 지금 당장\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	박살이다! 이얍!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	좋았어, 해치웠다!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	……아……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	신룡 님, 이미 일어나, 계셨군요…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	음, 벌레를… 퇴치했답니다. 조심스럽게.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	이곳에 유령이 나온다고 들어서…\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	어머나, 신룡 님 방이었습니다예요.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	깨워서 죄송합니다예요.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	유령이 나온다고 들었는데\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	그저 소문이었나 봐요.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	그럼 실례… 음?\x0E\x04\x00\x00
MID_WU_B_1_SOON_#005	무서우니까 돌아가지 말라고요…?\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	없네요. 유령…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	침대의 커튼을 보고 착각한 게 아닐까요?\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	…어?! 저기에 큰 거미가 있다니!\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	너 귀엽다! 좋아, 좋아, 좋아!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	…크흠, 신룡 님.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	밤늦게 죄송합니다예요.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	우후후… 소문은 거짓이었지만\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	정말 멋진 만남이 있었습니다예요.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	자, 오늘도 싸움의 기술을 가르쳐 드리러 왔답니다.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	어머…!\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	훌륭한 순발력이세요.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	이 정도면 잠결에 습격을 받아도 반격할 수 있겠습니다예요.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	저는 안심했습니다.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	흠… 이렇게나 접근해도 일어나지 않으시다니\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	수상한 사람이 들어오면 걱정입니다예요.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	신룡 님께는 순발력을 보충할 뭔가가 필요하겠어요.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	신룡 님, 일어나시는 게 느립니다!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	이걸 극복하기 위해선 공격력을 키워\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	한 방에 처리하는 거 말곤 없겠습니다예요!\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	참 나… 적군 녀석들 하루가 다르게 강해지는 거 같은데…?\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	좋은 아침입니다예요.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	저 오늘부터 단련을 더 혹독하게 할 겁니다.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	더욱 강해져서 적을 엉망진창으로…\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	아니, 쓰러뜨리겠습니다예요!\x0E\x04\x00\x00
