MID_FOOD_RESULT	\x0E\x01\x00\x00 \x0E\x01\x01\x00
MID_FOODRANK_Superb	극상의
MID_FOODRANK_Delicious	맛있는
MID_FOODRANK_Growling	누구나 감탄할
MID_FOODRANK_Melt	살살 녹는
MID_FOODRANK_HighKing	패왕의
MID_FOODRANK_HolyMother	성모의
MID_FOODRANK_Courage	용기의
MID_FOODRANK_Wisdom	지혜의
MID_FOODRANK_Chalk	백악의
MID_FOODRANK_Mens	투박한
MID_FOODRANK_ForBoys	중독성 있는
MID_FOODRANK_Woman	대담한
MID_FOODRANK_ForGirls	섬세한
MID_FOODRANK_Adult	어른의
MID_FOODRANK_Child	어린이
MID_FOODRANK_Your	당신의
MID_FOODRANK_Discerning	심혈을 쏟은
MID_FOODRANK_Whimsical	변덕스러운
MID_FOODRANK_Rich	농후한
MID_FOODRANK_Refreshing	담백한
MID_FOODRANK_Sharp	균형 잡힌
MID_FOODRANK_Friendly	부드러운
MID_FOODRANK_BrodiaStyle	브로디아풍
MID_FOODRANK_FileneStyle	피레네풍
MID_FOODRANK_SolumStyle	솔룸풍
MID_FOODRANK_IrcionStyle	이르시온풍
MID_FOODRANK_LithosStyle	리토스풍
MID_FOODRANK_Wild	야성적인
MID_FOODRANK_Exciting	호쾌한
MID_FOODRANK_CarefullySelected	엄선한
MID_FOODRANK_Fresh	신선한
MID_FOODRANK_Spicy	엄청 매운
MID_FOODRANK_Hot	매운
MID_FOODRANK_Bitter	쓴
MID_FOODRANK_Bittersweet	씁쓸한
MID_FOODRANK_SuperSweet	엄청 달콤한
MID_FOODRANK_Sweet	달콤한
MID_FOODRANK_Chewy	씹는 맛이 있는
MID_FOODRANK_Hard	단단한
MID_FOODRANK_Habit	멈출 수 없는
MID_FOODRANK_Smart	독특한
MID_FOODRANK_Normal	평범한
MID_FOODRANK_Mistake	뭔가 잘못된
MID_FOODRANK_Shortage	여러모로 부족한
MID_FOODRANK_DifferentStar	다른 별의
MID_FOODRANK_DefinitelySuffer	기절할 만한
MID_FOODRANK_Carbonization	까맣게 탄
MID_FOOD_OnionSoup	양파 수프
MID_FOOD_H_OnionSoup	양파, 물, 조미료만 들어간\n간단한 수프.
MID_FOOD_ConsommeSoup	콩과 야채를 넣은 콩소메 수프
MID_FOOD_H_ConsommeSoup	야채와 콩, 두꺼운 베이컨을 넣고\n푹 끓인 음식.\n수프의 기본 재료는 사람마다 다르다.
MID_FOOD_DumplingsOfMeat	다진 고기 덤플링
MID_FOOD_H_DumplingsOfMeat	파스타 반죽 속에\n다진 고기와 야채, 빵가루를 채우고\n허브를 넣어서 찐 음식.
MID_FOOD_PotatoSoup	감자 수프
MID_FOOD_H_PotatoSoup	으깬 감자를 이용한 걸쭉한 수프.
MID_FOOD_WhiteSausage	흰 소시지
MID_FOOD_H_WhiteSausage	양고기와 신선한 돼지고기 베이컨에\n풍미를 위해 허브를 더한 소시지.
MID_FOOD_StewedSaltedMeat	소금에 절인 고기 찜
MID_FOOD_H_StewedSaltedMeat	소금에 절인 돼지 사태를\n야채, 허브와 함께 장시간 동안 찐 음식.
MID_FOOD_CreamCroquette	크림 크로켓
MID_FOOD_H_CreamCroquette	화이트소스가 들어간 크로켓.
MID_FOOD_SmokedEel	훈제 장어
MID_FOOD_H_SmokedEel	내장을 제거한 장어의 훈제 구이.\n부드러워서 껍질째로 먹을 수 있다.
MID_FOOD_PickledPicklesHerringRoll	피클 초절임 청어 말이
MID_FOOD_H_PickledPicklesHerringRoll	초절임한 청어로 양파 등의\n피클을 말아서 만든 음식.
MID_FOOD_FriedCarp	잉어 튀김
MID_FOOD_H_FriedCarp	내장을 깔끔하게 제거한 잉어를\n그대로 고온에서 튀긴 음식.
MID_FOOD_ApplePie	애플파이
MID_FOOD_H_ApplePie	얇게 썬 사과를 가득 채워 구운 파이.
MID_FOOD_StewedCabbage	양배추 절임
MID_FOOD_H_StewedCabbage	병이나 절임 용기에 썬 양배추와\n소금, 향신료를 넣고 잘 섞어 절여 둔 음식.
MID_FOOD_PotatoPancakes	포테이토 팬케이크
MID_FOOD_H_PotatoPancakes	감자를 갈아 만든 반죽을\n프라이팬에 구운 음식.
MID_FOOD_SteamedDumpling	찐 경단
MID_FOOD_H_SteamedDumpling	버터와 우유를 끓여서 만든 빵 반죽을\n둥글게 늘어놓고 뚜껑을 덮어 쪄 낸 음식.
MID_FOOD_OnionQuiche	양파 키슈
MID_FOOD_H_OnionQuiche	대량의 양파를 베이컨과 함께 천천히 볶아\n키슈 반죽에 넣고 오븐에서 구워 낸 음식.
MID_FOOD_FruitHamToast	애플 치즈 토스트
MID_FOOD_H_FruitHamToast	토스트에 얇게 썬 사과와\n치즈를 올린 음식.
MID_FOOD_PeachCake	복숭아 케이크
MID_FOOD_H_PeachCake	버터를 넣은 반죽에 복숭아를 넣고 구워,\n먹기 직전에 설탕 가루를 뿌린 음식.
MID_FOOD_NutsAndHoneyCake	나무 열매 캐러멜 케이크
MID_FOOD_H_NutsAndHoneyCake	자른 나무 열매를 설탕으로 조리고,\n반죽 위에 올려서 구운 뒤,\n커스터드 크림을 추가한 음식.
MID_FOOD_BoiledRedWineInBerry	베리 시럽을 뿌린 아이스크림
MID_FOOD_H_BoiledRedWineInBerry	베리와 붉은 시럽을 걸쭉하게 끓인 뒤,\n식혀서 차가운 아이스크림과 함께\n내놓는 음식.
MID_FOOD_FriedBreadOfDonutStyle	도넛풍 튀김빵
MID_FOOD_H_FriedBreadOfDonutStyle	잼과 크림을 가득 채워 튀긴 빵.
MID_FOOD_TearingPancakes	한입 팬케이크
MID_FOOD_H_TearingPancakes	달콤한 팬케이크 반죽을\n한 입 크기로 구워서 버터를 버무린 후\n설탕 가루를 뿌려 마무리한 음식.
MID_FOOD_Omlet	오믈렛
MID_FOOD_H_Omlet	둥글게 부친 계란에 토마토와 치즈 등을\n잔뜩 넣은 음식.
MID_FOOD_ThickGrilledCrepePizza	두툼한 크레이프 피자
MID_FOOD_H_ThickGrilledCrepePizza	두툼한 크레이프 반죽으로 만든\n쫄깃한 피자.
MID_FOOD_ThickSlicedPotatoFries	두껍게 썬 감자튀김
MID_FOOD_H_ThickSlicedPotatoFries	두껍게 썬 감자를 기름에 튀겨\n소금과 버무린 음식.
MID_FOOD_LambAndCabbageStew	양고기 양배추 스튜
MID_FOOD_H_LambAndCabbageStew	양고기와 양배추를 넣고\n양배추가 흐물흐물해질 때까지 푹 끓인 음식.
MID_FOOD_RoastWithSkinOfPorkBelly	오겹살 로스트
MID_FOOD_H_RoastWithSkinOfPorkBelly	오겹살을 그대로 구워서\n육즙이 가득한 음식.
MID_FOOD_SteamedThighMeatOfSaltedSheep	소금에 절인 양 넓적다리 찜
MID_FOOD_H_SteamedThighMeatOfSaltedSheep	소금을 문질러서 건조한\n양의 넓적다리 고기를 찐 음식.
MID_FOOD_FruitPie	프루트 파이
MID_FOOD_H_FruitPie	말린 과일을\n파이에 넣어 구운 음식.
MID_FOOD_BoiledBeefInWine	소고기 포도 소스 조림
MID_FOOD_H_BoiledBeefInWine	한 입 크기로 자른 소고기를\n양파와 함께 살짝 튀긴 후,\n포도 소스에 조리다 버터를 넣은 음식.
MID_FOOD_BraisedCod	대구 찜
MID_FOOD_H_BraisedCod	말린 대구를 물과 잿물에\n순서대로 불리고\n다시 물로 헹군 뒤 쪄 낸 음식.
MID_FOOD_FishCreamSoup	생선 크림수프
MID_FOOD_H_FishCreamSoup	생크림을 잔뜩 사용한 생선 수프.
MID_FOOD_MeatDumplingWithCreamSauce	크림소스를 뿌린 고기 완자
MID_FOOD_H_MeatDumplingWithCreamSauce	고기 완자에 농후한 크림소스를 뿌린 음식.\n소스에 들어간 잼의 달콤함이\n고기에 어울린다.
MID_FOOD_MarinatedSalmon	연어 마리네
MID_FOOD_H_MarinatedSalmon	연어를 소금, 설탕, 허브에 넣고 절인 음식.\n독특한 향이 난다.
MID_FOOD_CrispBread	크리스프 브레드
MID_FOOD_H_CrispBread	밀가루, 소금, 물만 가지고 만든\n크래커처럼 매우 얇은 빵.
MID_FOOD_PorridgeOfSourCream	사워크림 죽
MID_FOOD_H_PorridgeOfSourCream	사워크림과 밀가루, 우유를 함께 끓인 음식.\n설탕과 녹은 버터를 얹어 먹는다.
MID_FOOD_CrepePancake	크레이프 팬케이크
MID_FOOD_H_CrepePancake	크레이프처럼 얇게 구운 팬케이크에\n잼을 발라 돌돌 만 음식.
MID_FOOD_JamCake	잼 케이크
MID_FOOD_H_JamCake	잼을 바른 스펀지케이크.
MID_FOOD_TreeCake	트리 케이크
MID_FOOD_H_TreeCake	머랭 등을 섞은 반죽을 고리 모양으로 만들어\n다양한 크기로 구운 뒤,\n원뿔형으로 쌓아 올린 음식.
MID_FOOD_FishDumpling	생선 완자
MID_FOOD_H_FishDumpling	하얀 생선 살을 베이스로 만든\n반죽을 버터를 이용해 구운 음식.
MID_FOOD_GoatCheese	산양 치즈
MID_FOOD_H_GoatCheese	산양유 100%로 만든 갈색 치즈.
MID_FOOD_Oatmeal	오트밀
MID_FOOD_H_Oatmeal	우유에 귀리를 넣고 데운 음식.
MID_FOOD_BakedPotatoes	베이크트 포테이토
MID_FOOD_H_BakedPotatoes	통째로 구운 감자를 갈라\n치즈와 콩 등으로 토핑한 음식.
MID_FOOD_NutsCompote	나무 열매 콩포트
MID_FOOD_H_NutsCompote	다양한 나무 열매를 설탕물에 넣고 조린 음식.
MID_FOOD_BoiledEggGroundMeatRolls	다진 고기로 감싼 삶은 계란
