MID_WU_C_1_IN_#001	이곳에서 식사를 하면 맛있겠는걸…\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	좋은 아침입니다…\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	아침 식사는 아래에서 드시겠습니까?\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	아니면 가져다드릴까요?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	아직 조금 시간이 있어.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	재배한 허브를 맛보면서 기다리자…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	음… 이건 스파이시한 맛\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	이쪽은 달아서 혀가 저릴 정도로 자극적이네…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	신룡 님.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	괜찮으시다면 의견을 듣고 싶습니다만…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	어느 쪽 허브가 더 취향이신가요?\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	맛보시려면 이쪽을 조금 드셔 보시면 됩니다…\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	뭔가 새로운 맛이 없을까…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	신룡 님,\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	이 방에 뭔가 맛봐도 될 만한 물건이 있을까요…?\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	저는 항상 새롭고 참신한 맛을 추구하고 있거든요…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	여기에는 식재료가 보이지 않는군, 아쉬워.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	다른 건… 흠, 저 기둥이랑 침대…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	먹진 못해도 혀에 닿으면 무슨 맛일지 궁금한데.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	새하얘서 맛있을지도…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	좋은 아침입니다.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	저기, 죄송하지만 침대를 조금 맛봐도 될까요?\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	아뇨, 저는 극히 제정신입니다만…\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	신룡 님께서는 종종 쉽게 못 일어나실 때가 있다고 들었는데…\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	오늘은 그날이 아니었나 보군…\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	금방 따뜻한 아침 식사를 준비하겠습니다.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	흠, 오늘이 그날인가 보군.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	그럼… 요리 냄새로 깨워 볼까.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	식재료를 썰고… 불에 익히고, 조리고, 간을 조절하면…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	이제 곧 완성이야…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	좋은 아침입니다.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	자면서도 느껴지는 냄새,\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	게다가 조리하는 소리도 좋지 않습니까?\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	하지만 그…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#005	침은 좀 닦으셔야겠는데요…\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	킁킁… 오늘도 또 모르는 요리 냄새가 나는데…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	이 냄새는 아래층에서 올라오는 건가…?\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	죄송합니다, 저는 이만…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	주방에 가서 요리를 확인하고 오겠습니다…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	신룡 님의 의복에서 나는 건 아닌데.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	설마 신룡 님께서\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	그렇게 몇 번이나 요리를 흘리시진 않겠지…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	그럼 어디서…?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	신룡 님, 이 냄새는 도대체…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	네? 야식을 이 주변에 숨겨 두셨다고요?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	저기… 풍미가 안 좋아지니까\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	상온에 방치하시는 건 자제하시는 편이…\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	요리 구상이 완전히 꽉 막혔어…\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	응? 여긴 신룡 님 방…?\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	죄송합니다.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	생각하면서 걷다 보니 이곳에.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	깨워 버렸으니 사과의 의미로 나중에\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	달콤한 과자를 가져오겠습니다…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	언제 봐도 아름답군… 특히 저 머리카락…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	맞아, 같은 식재료를 한 쪽씩 조리법을 바꿔 가며\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	맛에 변화를 주면 어떨까…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	좋은 아침입니다.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	그리고 고맙습니다… 신룡 님.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	덕분에 활로를 찾았습니다.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	신룡 님의 아름다움이\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#005	좋은 맛을 만들어 내는군요…\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	흠… 이 방을 케이크라고 생각하면\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	아름다울지도 몰라…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	또 신룡 님을 위해 요리를 만들고 싶습니다…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	천 년 동안 지내 오신 장소를 모티브로 삼아 본다든가\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	생각만 해도 흥분됩니다…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	신룡 님을 위해서 요리를 만든다면\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	맛뿐만 아니라 다음은 겉모습에도 신경 쓰고 싶은데…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	차라리 솔라넬 전체를 설탕 공예로 재현해 볼까…?\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	일어나셨습니까?\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	아아, 오늘도 토마토와 블루베리색 눈동자는 아름답군요…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	또 창작 의욕이 끓어오릅니다…\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	아침 식사가 준비되었습니다.\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	슬슬 일어나 주시면 안 될까요? 파트너.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	흠… 신룡 님.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	아침 식사라고 듣고 바로 일어나신 건가요? 아니면…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	저를 만나고 싶어서 일어나신 거라고\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	그렇게 자신해도 괜찮을까요…?\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	음, 바로는 일어나지 못하실 줄 알고\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	식어도 맛있는 요리를 만들어 오긴 했습니다만.\x0E\x04\x00\x00
