MID_BONDSRING_H_CommonTytle	<캐릭터 등장 타이틀>
MID_BONDSRING_HELP	문장사 \x0E\x01\x00\x00\x0E\x0A\x04\x08\x02과\x02와 인연을 지닌\n영웅의 힘이 깃든 반지.\n지닌 자에게 힘을 부여한다.
MID_BONDSRING_HELP_Special	특별한 영웅의 힘이 깃든 반지\n지닌 자에게 힘을 부여한다
MID_BONDSRING_Marth00	이계의 대륙 아카네이아에 있는\n아리티아 왕국의 왕자.
MID_BONDSRING_Marth01	사람을 이끄는 힘을 지녔으며\n동료와 힘을 합쳐 암흑룡 메디우스와 싸웠다.
MID_BONDSRING_Seeda	시더
MID_BONDSRING_H_Seeda00	이계의 대륙 아카네이아에 있는\n타리스 왕국의 왕녀.
MID_BONDSRING_H_Seeda01	천마 기사로서 전장을 누빈 쾌활한 여성으로\n사람을 끌어들이는 천부적인 매력을 지녔다.
MID_BONDSRING_H_Seeda02	망명해 온 마르스를 알게 되어\n그를 도왔고, 이윽고 약혼자가 된다.
MID_BONDSRING_H_Seeda03	｢Shadow Dragon & the Blade of Light｣ 등
MID_BONDSRING_Tiki	치키
MID_BONDSRING_H_Tiki00	이계의 영웅이자 신룡족의 왕녀.
MID_BONDSRING_H_Tiki01	용의 힘을 돌에 봉인해 인간으로 모습을 바꾼\n｢맘쿠트｣ 중 한 사람.
MID_BONDSRING_H_Tiki02	마왕 가네프에게 조종당하고 있었지만\n마르스의 도움을 받은 후 동료가 되었다.
MID_BONDSRING_H_Tiki03	｢Shadow Dragon & the Blade of Light｣ 등
MID_BONDSRING_Minerba	미네르바
MID_BONDSRING_H_Minerba00	이계의 대륙 아카네이아에 있는\n마케도니아 왕국의 왕녀.
MID_BONDSRING_H_Minerba01	자부심 강하고 용감한 여성으로\n｢붉은 용기사｣라는 이명을 지녔다.
MID_BONDSRING_H_Minerba02	도루아 제국에 가담한 조국을 바로잡기 위해\n배신자가 되어 싸웠다.
MID_BONDSRING_H_Minerba03	｢Shadow Dragon & the Blade of Light｣ 등
MID_BONDSRING_Nabarl	나발루
MID_BONDSRING_H_Nabarl00	이계의 영웅이자\n｢붉은 검사｣라 불린 검의 달인.
MID_BONDSRING_H_Nabarl01	도적의 호위로서 마르스의 앞에 나타나\n필살검 ｢킬 소드｣를 들고 싸웠다.
MID_BONDSRING_H_Nabarl02	｢내 검은 여성을 베지 않는다｣고\n말할 정도로 여성에게 약한 일면도 있다.
MID_BONDSRING_H_Nabarl03	｢Shadow Dragon & the Blade of Light｣ 등
MID_BONDSRING_Oguma	오그마
MID_BONDSRING_H_Oguma00	이계의 영웅이자\n타리스 왕가를 섬기는 용병대장.
MID_BONDSRING_H_Oguma01	전장에서 굳센 팔을 휘두르는 역전의 용사로\n검투사였던 과거를 지녔다.
MID_BONDSRING_H_Oguma02	검투사 시절에 시더 왕녀에게 목숨을 빚졌고\n그 이후 왕녀에게 경애와 충성을 바치고 있다.
MID_BONDSRING_H_Oguma03	｢Shadow Dragon & the Blade of Light｣ 등
MID_BONDSRING_Katarina	카타리나
MID_BONDSRING_H_Katarina00	이계의 영웅이자 수습 참모 소녀.
MID_BONDSRING_H_Katarina01	마르스를 보좌하기 위해 아리티아성을 찾아왔고\n크리스와 함께 제7소대의 일원이 되었다.
MID_BONDSRING_H_Katarina02	차분한 성격이며 동료를 아낀다.\n하지만, 말 못 할 비밀을 품고 있다.
MID_BONDSRING_H_Katarina03	｢New Mystery of the Emblem｣
MID_BONDSRING_Marich	마리크
MID_BONDSRING_H_Marich00	이계의 영웅이자\n｢바람의 마도사｣라 불린 마도의 천재.
MID_BONDSRING_H_Marich01	마도 도시 카다인으로 유학을 가서\n바람의 고위 마법 ｢엑스칼리버｣를 계승했다.
MID_BONDSRING_H_Marich02	아리티아 왕국 귀족 출신으로\n마르스 왕자와는 소꿉친구 사이.
MID_BONDSRING_H_Marich03	｢Shadow Dragon & the Blade of Light｣ 등
MID_BONDSRING_Rinda	린다
MID_BONDSRING_H_Rinda00	이계의 영웅이자\n뛰어난 마도의 재능을 지닌 소녀.
MID_BONDSRING_H_Rinda01	아카네이아 왕국의 대사제 미로아의 딸로\n성격이 굳세다.
MID_BONDSRING_H_Rinda02	돌아가신 아버지로부터 빛 상급 마법 ｢오라｣를\n계승해 원수 가네프를 쓰러뜨리기 위해 싸웠다.
MID_BONDSRING_H_Rinda03	｢Shadow Dragon & the Blade of Light｣ 등
MID_BONDSRING_Kris	크리스
MID_BONDSRING_H_Kris00	이계의 영웅이자 마르스를 보좌하는 근위 기사.
MID_BONDSRING_H_Kris01	아리티아 왕국 출신으로\n제7소대에 배속되어 기사가 된 청년.
MID_BONDSRING_H_Kris02	그 후로는 마르스를 지키며 각지를 전전했고\n계속해서 그를 보좌한 숨은 영웅.
MID_BONDSRING_H_Kris03	｢New Mystery of the Emblem｣
MID_BONDSRING_Roro	로로
MID_BONDSRING_H_Roro00	이계의 영웅이자 암살자 집단의 광전사.
MID_BONDSRING_H_Roro01	항상 수상한 가면을 쓰고 있으며\n기괴한 웃음소리를 내며 싸운다.
MID_BONDSRING_H_Roro02	완전히 똑같이 생긴 ｢형제｣가 여럿 있으며\n힘을 합쳐 대상을 암살한다.
MID_BONDSRING_H_Roro03	｢New Mystery of the Emblem｣
MID_BONDSRING_Siglud00	이계의 대륙 유그드랄에 있는\n그란벨 왕국 시알피 공작가의 공자.
MID_BONDSRING_Siglud01	암흑신 로프토우스를 섬기는 교단의 음모로\n사망하지만, 그 의지를 아들에게 맡겼다.
MID_BONDSRING_Ira	아이라
MID_BONDSRING_H_Ira00	이계의 대륙 유그드랄에 있는\n이자크 왕국의 왕녀.
MID_BONDSRING_H_Ira01	뛰어난 검술 실력을 지닌 여성 검사로\n시구르드의 동료가 되어 함께 싸웠다.
MID_BONDSRING_H_Ira02	검성이라 불리던 성전사 오드의 피를 이었으며\n필살의 오의 ｢유성검｣을 사용한다.
MID_BONDSRING_H_Ira03	｢Genealogy of the Holy War｣
MID_BONDSRING_Arden	아단
MID_BONDSRING_H_Arden00	이계의 영웅이자\n시구르드를 보좌하는 중갑 기사.
MID_BONDSRING_H_Arden01	시알피 공작가의 기사단\n｢그륜리터｣ 소속이다.
MID_BONDSRING_H_Arden02	듬직하지만 이동력이 부족해 주변 사람들에게\n｢단단하고 강하고 느리다｣는 평을 듣는다.
MID_BONDSRING_H_Arden03	｢Genealogy of the Holy War｣
MID_BONDSRING_Celice	세리스
