MID_TUT_BMAP_EVIL_RULE_TITLE	사룡의 장의 출격 규칙
MID_TUT_BMAP_EVIL_RULE_0	사룡의 장에서는 아군 유닛이\n각 맵에 따라 정해진 레벨과\n병과로 출격하게 됩니다
MID_TUT_BMAP_EVIL_RULE_1	아이템도 정해진 물건을 소지하고 있습니다\n유닛끼리 소지품을 교환하는 것은 가능합니다
MID_TUT_BMAP_EVIL_RULE_2	또한, ｢캐주얼｣, ｢클래식｣ 중\n어떤 설정으로 플레이하는가에 상관없이\n전투에서 쓰러진 아군은 맵 클리어 후에 복귀합니다
MID_TUT_BMAP_EVIL_GUEST_TITLE	게스트 유닛
MID_TUT_BMAP_EVIL_GUEST_0	사룡의 장의 스토리 중에는\n맵에 따라 정해진 게스트 유닛이 참가합니다
MID_TUT_BMAP_EVIL_GUEST_1	엘은 용석을 사용해 싸우는 강력한 유닛입니다\n일은 기본 능력이 낮기 때문에 너무 앞에 나서지 않도록\n문장사와 짝을 지어 아군의 지원을 맡기도록 합시다
MID_TUT_BMAP_EVIL_GUEST_2	사룡의 장에서는 엘, 일이 쓰러지면\n패배하게 되니 주의합시다
MID_TUT_BMAP_EVIL_FANG_CURSE_TITLE	상태 이상 ｢송곳니의 저주｣
MID_TUT_BMAP_EVIL_FANG_CURSE_0	이형늑대의 송곳니가 명중하면 전투 후에\n｢송곳니의 저주｣ 상태가 부여됩니다
MID_TUT_BMAP_EVIL_FANG_CURSE_1	송곳니의 저주 상태가 되면 HP 최대치가 5 감소합니다\n추가로 공격이 명중할 때마다 효과가 축적됩니다
MID_TUT_BMAP_EVIL_FANG_CURSE_2	송곳니의 저주 상태는 맵 종료 시까지 지속됩니다\n｢레스트｣의 지팡이를 사용하면 회복됩니다
MID_TUT_BMAP_EVIL_MELEE_TITLE	혼전
MID_TUT_BMAP_EVIL_MELEE_0	발밑의 원이 노란색으로 표시된 유닛도\n적군입니다
MID_TUT_BMAP_EVIL_MELEE_1	빨간색 표시 유닛과 노란색 표시 유닛끼리도\n서로 적이기 때문에 서로를 공격합니다
