MID_WU_C_1_IN_#001	살금, 살금,\x0E\x04\x00\x00
MID_WU_C_1_IN_#002	어느 정도의 소리에 일어나실지 궁금하구먼…\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	이, 이런!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	이런 사소한 발소리에도 눈치를 채시는군요.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	흠, 신룡 님께서는 귀가 좋으신 편이었나.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#004	조금 보여 주시겠습니까?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	우선 이 물소리… 안 일어나시는군.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	그럼 나무 치는 소리, 그 나무를 태우는 소리… 아직인가?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	음? 불꽃이 커지고 있구먼…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	이거 큰일이군!!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	쿨럭, 쿨럭, 좋은 아침입니다, 신룡 님…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	아뇨, 습격은 아닙니다.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	바람 마법으로 바로 치울 테니 용서해 주시길.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	아침부터 이상한 실험하지 말라며 쫓아내다니…\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	음, 이곳은…?!\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	아아, 신룡 님.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	아니요, 아닙니다, 잠깐 지나가던 길이었습니다.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	여기서 실험이라니, 생각지도 않았습니다.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	이만 가 보겠습니다.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	여기라면 실험을 할 수 있겠구먼…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	식초와 초를 파이어로 녹여서…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	아! 인화해 버렸구먼!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	실패, 실패라네! 불이야!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	죄, 죄송합니다.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	신룡 님의 침실이었군요.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	기운 없이 걷다 보니 몰랐습니다…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	부디 용서해 주십시오.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	신룡 님, 이걸 봐 주십시오!\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	재밌는 걸 완성했습니다, 문장사의 반지의 모조품입니다!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	오오, 일어나셨군요!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	…앗, 기쁜 나머지 뭉개 버렸구먼.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	실은 이건 과자입니다.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	달고 맛있죠.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	일어나지 않으시는 걸 보니 흥미를 끌지 못했군요.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	아쉽네요. 그럼 반지는\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	이 늙은이의 배에 담아 두겠습니다. 꿀꺽…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	우물우물…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	하하, 놀라셨습니까?\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	실은 설탕 과자로 만든 겁니다.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	손가락에 끼우며 놀고, 그 뒤에 먹을 수 있는 대발명.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#005	하나 어떠십니까?\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	저번에 신룡 님께서 이야기하러 오셨으니\x0E\x04\x00\x00
MID_WU_B_2_IN_#002	그 답례입니다.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	주무시는데 깨워서 죄송합니다.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	…음? 시간을 유익하게 쓰기 위해 바로 일어나셨다고요…?\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	허허, 신룡 님께서는 역시 대단하시군요.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	그날은 즐거웠지…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	신룡 님의 호기심이 대단해서 무심코 실험 얘기만 계속했으니.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	맞아, 그때 보여 드리고 싶었던 병이 여기… 아.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	이런 실수를!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	떨어뜨리면 폭발하는 건데!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	머리카락 안 타셨을꼬?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	이거 또 반드레 공에게 혼나겠구먼…\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	또 새로운 발명을 해 버렸군… 역시 난 천재 현자로구먼.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	좋은 아침입니다.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	잠이 달아나는 특별한 과일은 어떠신지요?\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	선더의 자극을 담아서\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	특이할 정도로 톡톡 튀는 식감을 가지고 있습니다.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	음료에 선더를 쏴서\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	거품을 만들어 봤는데…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	조금씩 거품이 적어지는 거 같구먼.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	어디 보자, 다시 한 발… 선더!\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#005	우오오, 이런!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	…신룡 님, 일어나셨습니까?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	실은 음료를 가지고 왔는데\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	마지막 일격으로 전부 거품이 되었습니다…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	드시겠습니까? 거품…\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	제가 신룡 님을 깨우다니, 왠지 죄송스럽군요…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	오오, 이미 일어나셨군요?\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	좋은 아침입니다.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	어쩜 저리 기분 좋게 주무시는지…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	내가 이 잠을 방해할 순 없지.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	직무 유기다, 젊은이를 억지로 깨우다니 가엽지 않나…!\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	음, 본의 아니게 깨웠군요.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	죄송합니다, 젊은 사람은 오래 자야 하는데…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	뭐라고요? 이미 천 살이 넘었다고요?\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	하하하! 듣고 보니 맞군요!\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	아침입니다. 슬슬 일어나셔서 준비하시지요.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	어라, 머리카락이 헝클어졌습니다. 옷에도 주름이…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	후후, 죄송합니다.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	귀여워서 저도 모르게 제 아이를 보살피는 듯한\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	기분이 들었습니다.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	변함없이 일어나지 않으시는군.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	…그립구먼, 이미 수십 년이 지났지만\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	이렇게 가족을 깨우던 때가 내게도 있었는데.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	하지만… 지금은 모두 내 곁을 떠났지.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	싸움이 끝날 때까지는 내 마음 가는 대로 살아야겠구먼.\x0E\x04\x00\x00
