MSID_Hp_5	HP+5
MSID_H_Hp_5	항상 HP가 5 상승한다.
MSID_Hp_7	HP+7
MSID_H_Hp_7	항상 HP가 7 상승한다.
MSID_Hp_10	HP+10
MSID_H_Hp_10	항상 HP가 10 상승한다.
MSID_Hp_12	HP+12
MSID_H_Hp_12	항상 HP가 12 상승한다.
MSID_Hp_15	HP+15
MSID_H_Hp_15	항상 HP가 15 상승한다.
MSID_Str_1	힘+1
MSID_H_Str_1	항상 힘이 1 상승한다.
MSID_Str_2	힘+2
MSID_H_Str_2	항상 힘이 2 상승한다.
MSID_Str_3	힘+3
MSID_H_Str_3	항상 힘이 3 상승한다.
MSID_Str_4	힘+4
MSID_H_Str_4	항상 힘이 4 상승한다.
MSID_Str_5	힘+5
MSID_H_Str_5	항상 힘이 5 상승한다.
MSID_Str_6	힘+6
MSID_H_Str_6	항상 힘이 6 상승한다.
MSID_Tec_1	기술+1
MSID_H_Tec_1	항상 기술이 1 상승한다.
MSID_Tec_2	기술+2
MSID_H_Tec_2	항상 기술이 2 상승한다.
MSID_Tec_3	기술+3
MSID_H_Tec_3	항상 기술이 3 상승한다.
MSID_Tec_4	기술+4
MSID_H_Tec_4	항상 기술이 4 상승한다.
MSID_Tec_5	기술+5
MSID_H_Tec_5	항상 기술이 5 상승한다.
MSID_Spd_1	속도+1
MSID_H_Spd_1	항상 속도가 1 상승한다.
MSID_Spd_2	속도+2
MSID_H_Spd_2	항상 속도가 2 상승한다.
MSID_Spd_3	속도+3
MSID_H_Spd_3	항상 속도가 3 상승한다.
MSID_Spd_4	속도+4
MSID_H_Spd_4	항상 속도가 4 상승한다.
MSID_Spd_5	속도+5
MSID_H_Spd_5	항상 속도가 5 상승한다.
MSID_Lck_2	행운+2
MSID_H_Lck_2	항상 행운이 2 상승한다.
MSID_Lck_4	행운+4
MSID_H_Lck_4	항상 행운이 4 상승한다.
MSID_Lck_6	행운+6
MSID_H_Lck_6	항상 행운이 6 상승한다.
MSID_Lck_8	행운+8
MSID_H_Lck_8	항상 행운이 8 상승한다.
MSID_Lck_10	행운+10
MSID_H_Lck_10	항상 행운이 10 상승한다.
MSID_Lck_12	행운+12
MSID_H_Lck_12	항상 행운이 12 상승한다.
MSID_Def_1	수비+1
MSID_H_Def_1	항상 수비가 1 상승한다.
MSID_Def_2	수비+2
MSID_H_Def_2	항상 수비가 2 상승한다.
MSID_Def_3	수비+3
MSID_H_Def_3	항상 수비가 3 상승한다.
MSID_Def_4	수비+4
MSID_H_Def_4	항상 수비가 4 상승한다.
MSID_Def_5	수비+5
MSID_H_Def_5	항상 수비가 5 상승한다.
MSID_Mag_2	마력+2
MSID_H_Mag_2	항상 마력이 2 상승한다.
MSID_Mag_3	마력+3
MSID_H_Mag_3	항상 마력이 3 상승한다.
MSID_Mag_4	마력+4
MSID_H_Mag_4	항상 마력이 4 상승한다.
MSID_Mag_5	마력+5
MSID_H_Mag_5	항상 마력이 5 상승한다.
MSID_Res_2	마방+2
MSID_H_Res_2	항상 마방이 2 상승한다.
MSID_Res_3	마방+3
MSID_H_Res_3	항상 마방이 3 상승한다.
MSID_Res_4	마방+4
MSID_H_Res_4	항상 마방이 4 상승한다.
MSID_Res_5	마방+5
MSID_H_Res_5	항상 마방이 5 상승한다.
MSID_Phy_3	체격+3
MSID_H_Phy_3	항상 체격이 3 상승한다.
MSID_Phy_4	체격+4
MSID_H_Phy_4	항상 체격이 4 상승한다.
MSID_Phy_5	체격+5
MSID_H_Phy_5	항상 체격이 5 상승한다.
MSID_Mov_1	이동+1
MSID_H_Mov_1	항상 이동이 1 상승한다.
MSID_Avo_10	회피+10
MSID_H_Avo_10	항상 회피가 10 상승한다.
MSID_Avo_15	회피+15
MSID_H_Avo_15	항상 회피가 15 상승한다.
MSID_Avo_20	회피+20
MSID_H_Avo_20	항상 회피가 20 상승한다.
MSID_Avo_25	회피+25
MSID_H_Avo_25	항상 회피가 25 상승한다.
MSID_Avo_30	회피+30
MSID_H_Avo_30	항상 회피가 30 상승한다.
MSID_Hit_10	명중+10
MSID_H_Hit_10	항상 명중이 10 상승한다.
MSID_Hit_15	명중+15
MSID_H_Hit_15	항상 명중이 15 상승한다.
MSID_Hit_20	명중+20
MSID_H_Hit_20	항상 명중이 20 상승한다.
MSID_Hit_25	명중+25
MSID_H_Hit_25	항상 명중이 25 상승한다.
MSID_Hit_30	명중+30
MSID_H_Hit_30	항상 명중이 30 상승한다.
MSID_CriAvo_10	필살 회피+10
MSID_H_CriAvo_10	항상 필살 회피가 10 상승한다.
MSID_CriAvo_15	필살 회피+15
MSID_H_CriAvo_15	항상 필살 회피가 15 상승한다.
MSID_CriAvo_20	필살 회피+20
MSID_H_CriAvo_20	항상 필살 회피가 20 상승한다.
MSID_CriAvo_25	필살 회피+25
MSID_H_CriAvo_25	항상 필살 회피가 25 상승한다.
MSID_CriAvo_30	필살 회피+30
MSID_H_CriAvo_30	항상 필살 회피가 30 상승한다.
MSID_SwordArts_Soft_1	검술·유 Lv.1
MSID_H_SwordArts_Soft_1	검 장비 시 회피+10, 필살-10.
MSID_SwordArts_Soft_2	검술·유 Lv.2
MSID_H_SwordArts_Soft_2	검 장비 시 회피+15, 필살-10.
MSID_SwordArts_Soft_3	검술·유 Lv.3
MSID_H_SwordArts_Soft_3	검 장비 시 회피+20, 필살-10.
MSID_SwordArts_Soft_4	검술·유 Lv.4
MSID_H_SwordArts_Soft_4	검 장비 시 회피+25, 필살-10.
MSID_SwordArts_Soft_5	검술·유 Lv.5
MSID_H_SwordArts_Soft_5	검 장비 시 회피+30, 필살-10.
MSID_SwordArts_Hard_1	검술·강 Lv.1
MSID_H_SwordArts_Hard_1	검 장비 시 공격력+2, 회피-10.
MSID_SwordArts_Hard_2	검술·강 Lv.2
MSID_H_SwordArts_Hard_2	검 장비 시 공격력+4, 회피-10.
MSID_SwordArts_Hard_3	검술·강 Lv.3
MSID_H_SwordArts_Hard_3	검 장비 시 공격력+6, 회피-10.
MSID_SwordArts_Hard_4	검술·강 Lv.4
MSID_H_SwordArts_Hard_4	검 장비 시 공격력+8, 회피-10.
MSID_SwordArts_Hard_5	검술·강 Lv.5
MSID_H_SwordArts_Hard_5	검 장비 시 공격력+10, 회피-10.
MSID_SwordArts_Mind_1	검술·심 Lv.1
MSID_H_SwordArts_Mind_1	검 장비 시 명중+10, 필살 회피-10.
MSID_SwordArts_Mind_2	검술·심 Lv.2
MSID_H_SwordArts_Mind_2	검 장비 시 명중+15, 필살 회피-10.
MSID_SwordArts_Mind_3	검술·심 Lv.3
MSID_H_SwordArts_Mind_3	검 장비 시 명중+20, 필살 회피-10.
MSID_SwordArts_Mind_4	검술·심 Lv.4
MSID_H_SwordArts_Mind_4	검 장비 시 명중+25, 필살 회피-10.
MSID_SwordArts_Mind_5	검술·심 Lv.5
MSID_H_SwordArts_Mind_5	검 장비 시 명중+30, 필살 회피-10.
MSID_LanceArts_Soft_1	창술·유 Lv.1
MSID_H_LanceArts_Soft_1	창 장비 시 회피+10, 필살-10.
MSID_LanceArts_Soft_2	창술·유 Lv.2
