MJID_DragonLord	신룡의 아이
MJID_H_DragonLord	고대부터 살아온 용 일족의 후예.\n신룡 검술을 사용할 수 있다.
MJID_DragonKing	신룡의 왕
MJID_H_DragonKing	세계를 다스리는 위대한 용의 힘을 가진 자.\n신룡 검술과 신룡 기공술을 다룬다.
MJID_ShadowLord	사룡의 아이
MJID_H_ShadowLord	본인의 의사가 없는 사룡의 앞잡이.\n강력한 사룡 검술을 사용한다.
MJID_ShadowPrincess	사룡의 아이
MJID_H_ShadowPrincess	사룡의 피를 이어받은 자.\n사술에 뛰어나며 강력한 암흑마법을 다룬다.
MJID_ShadowKing	사룡의 왕
MJID_H_ShadowKing	사악한 힘으로 세상을 지배하려는 자.\n어둠의 마술을 다루며 파괴를 일삼는다.
MJID_ShadowDragon	대사룡
MJID_H_ShadowDragon	문장사의 반지로 힘을 얻은 사룡.\n이계의 문을 열 정도로 강대한 마력을 지녔다.
MJID_AvenirLC	노블
MJID_H_AvenirLC	고귀한 왕가의 피를 잇는 자.\n말을 몰며 창을 잘 다룬다.
MJID_Avenir	아브닐
MJID_H_Avenir	거침없이 전장을 질주하는 백마 탄 왕자.\n창은 물론 검도 잘 다룬다.
MJID_FleurageLC	노블
MJID_H_FleurageLC	고귀한 왕가의 피를 잇는 자.\n마도에 뛰어나며 검도 사용할 수 있다.
MJID_Fleurage	프루라쥬
MJID_H_Fleurage	마술을 다루며 적을 베는 마법 검사.\n지팡이도 사용할 수 있다.
MJID_SuccesseurLC	로드
MJID_H_SuccesseurLC	백성을 이끄는 군주의 피를 잇는 자.\n검을 잘 다룬다.
MJID_Successeur	석세서
MJID_H_Successeur	나라를 다스리는 강한 힘과 의지를 가진 자.\n검술이 뛰어나며 도끼도 잘 다룬다.
MJID_TirailleurLC	로드
MJID_H_TirailleurLC	백성을 이끄는 군주의 피를 잇는 자.\n활을 잘 다룬다.
MJID_Tirailleur	티라이외르
MJID_H_Tirailleur	천부적인 소질을 지닌 명사수.\n일발필중의 궁술로 적을 저격한다.
MJID_LindwurmLC	테이머
MJID_H_LindwurmLC	동물과 교감하여 사역하는 기사.\n용을 타고 다니며 마법과 지팡이를 잘 다룬다.
MJID_Lindwurm	린트부름
MJID_H_Lindwurm	천공에서 적을 섬멸하는 마룡 기사.\n강력한 마법과 지팡이를 잘 다룬다.
MJID_SleipnirLC	테이머
MJID_H_SleipnirLC	동물과 교감하여 사역하는 기사. 페가수스를\n타고 다니며 마법과 지팡이를 잘 다룬다.
MJID_Sleipnir	슬레이프니르
MJID_H_Sleipnir	우아한 천마 슬레이프니르를 타는 기사.\n고위 지팡이와 마법을 잘 다룬다.
MJID_PitchforkLC	비질랜티
MJID_H_PitchforkLC	나라를 지키기 위해 무기를 든 자경단.\n창을 잘 다룬다.
MJID_Pitchfork	피치포크
MJID_H_Pitchfork	흠잡을 데 없는 창술로 전장을 누비는 투사.\n발랄한 스텝에 이어 필살의 일격을 퍼붓는다.
MJID_CupidoLC	비질랜티
MJID_H_CupidoLC	나라를 지키기 위해 무기를 든 자경단.\n말을 몰며 활을 잘 다룬다.
MJID_Cupido	큐피드
MJID_H_Cupido	경쾌하게 공격을 퍼붓는 매혹적인 활 기사.\n검과 활을 교묘하게 다루며 적을 유린한다.
MJID_SwordFighter	소드 파이터
MJID_H_SwordFighter	검을 사용한 전투에 능한 병사.\n재빠른 움직임으로 적의 공격을 피한다.
MJID_SwordMaster	소드 마스터
MJID_H_SwordMaster	검술의 극의를 깨우친 달인. 간발의 차로\n공격을 피해 강력한 기술로 받아친다.
MJID_BraveHero	브레이브 히어로
MJID_H_BraveHero	실력이 뛰어난 전장의 영웅.\n다양한 무기를 구사해 전선을 돌파한다.
MJID_LanceFighter	랜스 파이터
MJID_H_LanceFighter	창으로 싸우는 병사.\n공수의 균형이 잘 잡혀 있다.
MJID_Halberdier	할버디어
MJID_H_Halberdier	많은 경험을 쌓은 창병.\n감히 견줄 자 없는 창술을 자랑한다.
MJID_RoyalKnight	로열 나이트
MJID_H_RoyalKnight	말을 타고 전장을 누비는 고위 기사.\n동료를 고무시키며 지팡이도 잘 다룬다.
MJID_AxFighter	액스 파이터
MJID_H_AxFighter	도끼를 휘두르는 늠름한 전사.\n완력은 상당하지만 수비는 약하다.
MJID_Berserker	베르세르크
MJID_H_Berserker	특출난 힘을 지닌 투사.\n거대한 도끼로 적을 분쇄한다.
MJID_Warrior	워리어
MJID_H_Warrior	적을 처치하는 기술이 뛰어난 전투의 전문가.\n도끼는 물론 활도 사용할 수 있다.
MJID_Archer	아처
