MID_WU_C_1_IN_#001	진짜 들어가도 되나?
MID_WU_C_1_IN_#002	안 혼나겠지?
MID_WU_C_1_SOON_#001	미안, 깨워 버렸네.
MID_WU_C_1_SOON_#002	…아니지, 깨우러 왔으니까 할 일을 한 건가?
MID_WU_C_1_SOON_#003	좋은 아침, 신룡 님.
MID_WU_C_1_WAKEUP_#001	내가 신룡 님을 깨우는 것도 무섭지만
MID_WU_C_1_WAKEUP_#002	이대로 안 일어나는 건 더 무서워.
MID_WU_C_1_WAKEUP_#003	어쩌면 좋지…
MID_WU_C_1_WAKEUP_#004	우선 살며시 말부터 걸어야 하나?
MID_WU_C_1_HELLO_#001	앗, 좋은 아침, 신룡 님.
MID_WU_C_1_HELLO_#002	미안, 갑자기 나 같은 게 있어서 무서웠지.
MID_WU_C_1_HELLO_#003	다음에는 좀 더 잘 깨울 수 있게 노력할게.
MID_WU_C_2_IN_#001	신룡 님이 있는 방이라고
MID_WU_C_2_IN_#002	함정 하나쯤 설치되어 있거나…
MID_WU_C_2_IN_#003	하지는 않겠지.
MID_WU_C_2_SOON_#001	뭐, 그야 수상한 발소리가 들리면
MID_WU_C_2_SOON_#002	금방 일어날 만도 하지.
MID_WU_C_2_SOON_#003	응, 응…
MID_WU_C_2_SOON_#004	그 마음 잘 알아.
MID_WU_C_2_WAKEUP_#001	영차…
MID_WU_C_2_WAKEUP_#002	딱히 아무것도 없어서 안심이야.
MID_WU_C_2_WAKEUP_#003	좋아, 그럼 신룡 님을 가능한 한 부드럽게
MID_WU_C_2_WAKEUP_#004	무섭지도, 놀라지도 않게 깨워야지.
MID_WU_C_2_WAKEUP_#005	신룡 님…
MID_WU_C_2_HELLO_#001	잘 잤어?
MID_WU_C_2_HELLO_#002	나 같은 게 깨워서
MID_WU_C_2_HELLO_#003	불쾌하게 일어난 건 아니었으면 좋겠는데…
MID_WU_C_2_HELLO_#004	그 얼굴을 보니 괜한 걱정인 것 같군.
MID_WU_B_1_IN_#001	항상 바빠 보이기도 하고,
MID_WU_B_1_IN_#002	못 일어나는 것도 무리는 아닌가.
MID_WU_B_1_SOON_#001	오오? 조금 더 안 자도 되겠어?
MID_WU_B_1_SOON_#002	오늘은 일어날 때까지 장기전을 각오하고 있었는데…
MID_WU_B_1_SOON_#003	너무 무리하지 마.
MID_WU_B_1_WAKEUP_#001	나 참, 자기 할 일만 하면 될 텐데…
MID_WU_B_1_WAKEUP_#002	항상 귀찮은 일에 말려드니까 피곤한 거야.
MID_WU_B_1_WAKEUP_#003	가끔은 자신을 소중하게 여기라고.
MID_WU_B_1_HELLO_#001	좋은 아침,
MID_WU_B_1_HELLO_#002	제대로 일어나고 대단하네.
MID_WU_B_1_HELLO_#003	뭐, 약간 늦잠 잤지만…
MID_WU_B_1_HELLO_#004	다른 사람들한테는 내가
MID_WU_B_1_HELLO_#005	잘 말해 둘게.
MID_WU_B_2_IN_#001	아야야…
MID_WU_B_2_IN_#002	여기 오다가 넘어져 버렸어.
MID_WU_B_2_IN_#003	아픈 건 싫다고, 정말로.
MID_WU_B_2_SOON_#001	일어났군, 들어 봐…
MID_WU_B_2_SOON_#002	아까 저기 있는 계단에 발이 걸렸어.
MID_WU_B_2_SOON_#003	신룡 님도 조심해,
MID_WU_B_2_SOON_#004	넘어지면 진짜 아프니까.
MID_WU_B_2_SOON_#005	그럼, 이만.
MID_WU_B_2_WAKEUP_#001	아까 그 땅은 딱딱했는데
MID_WU_B_2_WAKEUP_#002	신룡 님의 침대는 푹신푹신해 보여서 안심이야.
MID_WU_B_2_WAKEUP_#003	그나저나 인형을 몇 개 둬 보면
MID_WU_B_2_WAKEUP_#004	더 좋을 것 같은데.
MID_WU_B_2_HELLO_#001	저기, 신룡 님.
MID_WU_B_2_HELLO_#002	더 편안한 잠을 위해
MID_WU_B_2_HELLO_#003	침대에 인형을 두는 건 어때?
MID_WU_B_2_HELLO_#004	끌어안으면 안심하고 잘 수 있다고.
MID_WU_A_1_IN_#001	피곤한 와중에 미안하지만
MID_WU_A_1_IN_#002	깨우고 오라는 부탁을 받았거든.
MID_WU_A_1_SOON_#001	실은 좀 더 자고 싶지?
MID_WU_A_1_SOON_#002	나도 알아…
MID_WU_A_1_SOON_#003	이불이라는 건 푹신푹신하고
MID_WU_A_1_SOON_#004	나가기 싫어지는 마력 같은 게 있지.
MID_WU_A_1_WAKEUP_#001	이봐~ 아직 졸려?
MID_WU_A_1_WAKEUP_#002	나 참…
MID_WU_A_1_WAKEUP_#003	너무 안 일어나면
MID_WU_A_1_WAKEUP_#004	신룡 님 이마에 꿀밤을 놓는다?
MID_WU_A_1_WAKEUP_#005	얼마 전에 내가 당했던 것처럼 말이야.
MID_WU_A_1_HELLO_#001	하핫, 역시 일어났네.
MID_WU_A_1_HELLO_#002	꿀밤이라고 해도 살살 할 생각이었어.
MID_WU_A_1_HELLO_#003	아파하는 신룡 님을 보는 취미는 없다고.
MID_WU_A_2_IN_#001	그러고 보니 우리의 신룡 님을
MID_WU_A_2_IN_#002	이렇게 깨운 적은 없었지…
MID_WU_A_2_SOON_#001	미안, 혼잣말이 컸나?
MID_WU_A_2_SOON_#002	좀 옛날 일이 생각나서.
MID_WU_A_2_SOON_#003	깨우기 당번도 나쁘지 않네.
MID_WU_A_2_WAKEUP_#001	저쪽 세계에서는
MID_WU_A_2_WAKEUP_#002	신룡 님이 자는 모습을 볼 일이
MID_WU_A_2_WAKEUP_#003	거의 없었던 것 같아.
MID_WU_A_2_WAKEUP_#004	지금 생각하면, 계속 일어나 있던 건가…?
MID_WU_A_2_WAKEUP_#005	그럴 리 없지.
MID_WU_A_2_HELLO_#001	좋은 아침.
MID_WU_A_2_HELLO_#002	이쪽 세계의 당신은 정말 손이 많이 가네.
MID_WU_A_2_HELLO_#003	최근에는 그게
MID_WU_A_2_HELLO_#004	좋아지고 있어.
MID_WU_S_1_IN_#001	아직 자나…
MID_WU_S_1_IN_#002	젠장,
MID_WU_S_1_IN_#003	나도 모르게 잠자는 얼굴이 귀엽다고 생각해 버렸어.
MID_WU_S_1_SOON_#001	좋은 아침.
MID_WU_S_1_SOON_#002	빨리 일어나 줘서 다행이야.
