MID_TUT_BMAP_SilverCard_TITLE	실버 카드
MID_TUT_BMAP_SilverCard_0	소지하고만 있어도 무기점, 도구점에서\n물건을 살 때 30% 할인된 가격으로\n구입할 수 있습니다
MID_TUT_GMAP_GOD_TITLE	월드 맵(신룡의 장)
MID_TUT_GMAP_GOD_0	월드 맵 메뉴에서\n메인 스토리의 월드 맵과\n거점 솔라넬로 돌아갈 수 있습니다
MID_TUT_GMAP_GOD_1	한번 클리어한 맵에서는\n조우전이 발생하는 경우도 있습니다
MID_TUT_GMAP_RECOLLECTION_BATTLE_TITLE	회상전
MID_TUT_GMAP_RECOLLECTION_BATTLE_0	익스팬션 패스를 통해 추가된 전투 맵에서는\n한번 클리어한 뒤에도 같은 스토리를\n다시 체험할 수 있는 ｢회상전｣을 치를 수 있습니다
MID_TUT_GMAP_RECOLLECTION_BATTLE_1	멤버를 교체해 가면서\n몇 번이든 맵 공략을 즐길 수 있습니다
MID_TUT_GMAP_RECOLLECTION_BATTLE_2	단, 경험치와 아이템은 획득할 수 없습니다\n또한, 출격 중에 ｢소비한 아이템｣과\n｢쓰러진 동료｣ 등은 플레이 후 모두 원래대로 복구됩니다
MID_TUT_HUB_GOD_START_TITLE	신룡의 장
MID_TUT_HUB_GOD_START_0	월드 맵에서\n문장사의 팔찌가 잠든 섬으로 갈 수 있습니다
MID_TUT_HUB_GOD_START_1	언제든 메인 스토리로 돌아올 수 있으므로\n편하게 방문해 봅시다
MID_TUT_HUB_GOD_START_NOTICE	｢전망대｣에서 무언가가 발견된 듯합니다
MID_TUT_GOD_TIKI_TITLE	문장사 치키
MID_TUT_GOD_TIKI_0	｢문장사 치키｣는 다양한 가호를 아군에게 부여하고\n용의 힘으로 강력한 공격을 구사할 수 있습니다
MID_TUT_GOD_TIKI_1	싱크로 스킬 ｢성옥의 가호｣는\n레벨 업했을 때 기본 능력이 오를 확률이 상승합니다
MID_TUT_GOD_TIKI_2	인게이지 무기 ｢브레스｣는\n공격한 상대의 주위에 있는 적에게도 대미지를 입힙니다\n또한, 전투 스타일에 따라 성능이 변화합니다
MID_TUT_GOD_TIKI_3	인게이지 스킬 ｢용화｣는 용으로 변신하는 스킬이며,\n변신 시에는 능력이 대폭 강화됩니다
MID_TUT_GOD_TIKI_4	인게이지 기술 ｢신룡의 축복｣은\n지정한 아군에게 HP가 0이 되어도\n전부 회복시키는 ｢부활의 돌｣을 부여합니다
MID_TUT_GOD_EDELGARD_TITLE	문장사 에델가르트
MID_TUT_GOD_EDELGARD_0	｢문장사 에델가르트｣는 디미트리, 클로드와\n랜덤하게 교대하면서 다채로운 능력을 발휘합니다
MID_TUT_GOD_EDELGARD_1	싱크로 스킬 ｢계략｣은\n세 명 중 싱크로 중인 문장사에 따라\n사용 가능한 커맨드가 변화합니다
MID_TUT_GOD_EDELGARD_2	인게이지 무기 ｢아이무르｣는\n적을 스매시할 수 있으며\n용에게 큰 대미지를 입힙니다
MID_TUT_GOD_EDELGARD_3	인게이지 스킬 ｢전투 기술｣은\n인게이지 상태의 지속 턴을 소비해\n3가지 공격 중 하나를 선택해 사용합니다
MID_TUT_GOD_EDELGARD_4	인게이지 기술 ｢연화월풍섬｣은\n도끼, 창, 활의 연속 공격으로 적을 브레이크시키기 쉽고\n비행하는 적에게 큰 대미지를 입힙니다
MID_TUT_TIPS_Tiki	문장사 치키
MID_TUT_TIPS_Edelgard	문장사 에델가르트
MID_TUT_TIPS_Dimitri	문장사 디미트리
MID_TUT_TIPS_Claude	문장사 클로드
MID_TIPS_SKILL_30	『삼정의 문장사』는 아군 페이즈 개시와 동시에 세 문장사 중 한 명으로 랜덤하게 교대한다.
MID_TIPS_SKILL_31	직접 공격 시, 싱크로 중인 문장사와 같은 종류의 무기를 장비했거나 인게이지 중이면 대미지가 증가한다.
MID_TIPS_SKILL_32	문장사 에델가르트가 지닌 도끼. 추격 불가/용 특효/직접 공격 시 항상 후공이 되지만 스매시 발생.
MID_TIPS_SKILL_33	인게이지 상태의 지속 턴을 소비해 『삼정의 문장사』 중 한 명의 전투 기술을 사용할 수 있다.
MID_TIPS_SKILL_39	스킬 ｢전투 기술｣로 인해 인게이지 지속 턴이 0이 되어도 그 턴 중에는 인게이지 상태가 해제되지 않는다.
MID_TIPS_GOD_24	이계의 대륙 아카네이아에서 태곳적부터 살던 신룡족의 공주.
MID_TIPS_GOD_25	인간으로 변신한 맘쿠트 소녀. 마르스를 ｢오빠｣라고 부르며 따른다.
MID_TIPS_GOD_26	이계의 땅 포드라에 있는 아드라스테아 제국의 황녀. 도끼를 다루는 고귀한 여성.
MID_TIPS_GOD_27	이계의 땅 포드라에 있는 퍼거스 신성 왕국의 왕자. 창을 다루는 총명한 청년.
MID_TIPS_GOD_28	이계의 땅 포드라에 있는 레스터 제후 동맹 맹주의 적자. 활을 다루는 자유분방한 청년.
