MID_H_INFO_WLV_Bullet	포탄
MID_MSG_LOST_ITEM	\x0E\x01\x00\x00\x0E\x01\x01\x00\x0E\x0A\x04\x08\x02을\x02를 잃어버렸다
MID_DLC_News_Patch2_Title	Ver. 1.3.0 업데이트 내용
MID_DLC_News_Patch2	【익스팬션 패스】\n\n·문장사 크롬/러플레, 문장사 베로니카가 추가되었습니다\n 각자에게 대응되는 추가 맵을 클리어하면 동료가 됩니다\n\n【무료 업데이트】\n\n·거점의 ｢신비한 우물｣에 기능이 추가되었습니다\n 필요 없는 아이템을 다른 아이템으로 교환할 수 있습니다\n\n·｢단련의 방｣에서도 ｢스킬 계승｣을 할 수 있게 되었습니다
MCID_G003_PREFIX	신룡의 장
MCID_G003	어린 황녀
MCID_G003_PLACE	영웅들의 성역
MCID_G003_OUTLINE	신비한 비석이 있고 하늘에 떠 있는 섬에서\n새로운 팔찌가 발견됐다는 소식을 들었다
MCID_G006_PREFIX	신룡의 장
MCID_G006	성왕
MCID_G006_PLACE	운명과 인연의 제단
MCID_G006_OUTLINE	장엄한 분위기가 감도는 신전 내부에서\n새로운 팔찌가 발견됐다는 소식을 들었다
MID_RULE_G003_WIN	문장사 베로니카에게 승리
MID_RULE_G006_WIN	문장사 크롬, 문장사 러플레에게 승리
MTID_StartupTile	기동판
MTID_MagicWall	마법 장벽
MTID_Pond	연못
MPID_PhantomWolf	만들어진 자
MPID_H_PhantomWolf	비술로 만들어진 영혼 없는 짐승.\n자아는 없으며 주인의 명령에 따라 움직인다.
MPID_Veronica	베로니카
MPID_H_Veronica	통칭 『영웅의 문장사』.\n이계의 영웅들을 조종하는 힘을 지닌 황녀.
MPID_Chrom	크롬
MPID_H_Chrom	통칭 『인연의 문장사』.\n동료를 믿고 운명을 바꾸는 성스러운 왕자.
MPID_Reflet	러플레
MPID_H_Reflet	통칭 『인연의 문장사』.\n크롬을 보좌하는 기억을 잃은 천재 참모.
MGID_Veronica	베로니카
MGID_H_Veronica	통칭 『영웅의 문장사』.\n이계의 영웅들을 조종하는 힘을 지닌 황녀.\n마도도 뛰어나 마법과 지팡이로 직접 싸운다.
MGID_H_EnemyVeronica	『어린 황녀의 팔찌』에서 깨어난 문장사.
MGID_Chrom	크롬
MGID_H_Chrom	통칭 『인연의 문장사』.\n동료를 믿고 운명을 바꾸는 성스러운 왕자.\n강한 검술과 인연의 힘으로 적을 쓰러뜨린다.
MGID_H_EnemyChrom	『성왕의 팔찌』에서 깨어난 문장사.
MGID_Reflet	러플레
MGEID_Veronica	영웅의 문장
MGEID_Chrom	인연의 문장
MJID_MageCannon	메이지 캐넌
MJID_H_MageCannon	포탄을 발사하는 철포를 지닌 중갑 보병.\n이동 포대처럼 원거리에서 다채롭게 공격한다.
MJID_PhantomWolf	환영늑대
MJID_H_PhantomWolf	땅을 기어 다니는 늑대의 권속.\n적을 농락하며 저주의 송곳니를 박아 넣는다.
MIID_Trahison	트라이종
MIID_H_Trahison	이세계의 분위기를 내뿜는 전투 창.
MIID_Levanche	르방슈
MIID_H_Levanche	이세계의 분위기를 내뿜는 전투 도끼.
MIID_Chocolate	비터 블레이드
MIID_H_Chocolate	달콤한 향기가 감도는 검.\n아이템으로 사용하면 없어지지만\n자신의 HP를 회복한다.
MIID_SoftCream	트위스터
MIID_H_SoftCream	달콤한 향기가 감도는 창.\n아이템으로 사용하면 없어지지만\n자신의 HP를 회복한다.
MIID_Lollipop	롤리폭스
MIID_H_Lollipop	달콤한 향기가 감도는 도끼.\n아이템으로 사용하면 없어지지만\n자신의 HP를 회복한다.
MIID_Croissant	아크루아상
MIID_H_Croissant	달콤한 향기가 감도는 활.\n아이템으로 사용하면 없어지지만\n자신의 HP를 회복한다.
MIID_Tiramisu	티라미스톰
MIID_H_Tiramisu	달콤한 향기가 감도는 공격 마법.\n아이템으로 사용하면 없어지지만\n자신의 HP를 회복한다.
MIID_Dango	경단 형제
MIID_H_Dango	달콤한 향기가 감도는 단검.\n아이템으로 사용하면 없어지지만\n자신의 HP를 회복한다.
MIID_Cupcake	티타임
MIID_H_Cupcake	달콤한 향기가 감도는 마법의 지팡이.\n아군의 HP를 회복시킨다.
MIID_Rollcake	원기 체술
MIID_H_Rollcake	달콤한 향기가 감도는 격투 지침서.\n아이템으로 사용하면 없어지지만\n자신의 HP를 회복한다.
MIID_Bullet_Power	노멀 셸
MIID_H_Bullet_Power	표준적인 포탄.\n추격 불가/상대가 멀수록 명중 감소.
MIID_Bullet_Magic	매직 셸
MIID_H_Bullet_Magic	마력을 휘감은 포탄.\n추격 불가/상대가 멀수록 명중 감소.
MIID_Bullet_Freeze	프리즈 셸
MIID_H_Bullet_Freeze	적을 구속하는 힘을 지닌 마법 포탄.\n추격 불가/상대가 멀수록 명중 감소.\n명중 시 50% 확률로\n상대를 프리즈 상태로 만든다.
MIID_Bullet_Silence	사일런스 셸
MIID_H_Bullet_Silence	마법 봉인의 힘을 지닌 마법 포탄.\n추격 불가/상대가 멀수록 명중 감소.\n명중 시 50% 확률로\n상대를 사일런스 상태로 만든다.
MIID_Bullet_Collapse	브레이크 셸
