MID_Hub_ThisTime	현재 시간
MID_Hub_Time_Morning	\x0E\x08\x02\x10\x0EMorning아침
MID_Hub_Time_Noon	\x0E\x08\x02\x08\x06Day낮
MID_Hub_Time_Evening	\x0E\x08\x02\x10\x0EEvening저녁
MID_Hub_Time_Night	\x0E\x08\x02\x0C\nNight밤
MID_Hub_Move	이동
MID_Hub_Enter	들어가기
MID_Hub_Talk	대화하기
MID_Hub_Check	조사하기
MID_Hub_Ring_Cleaning_Brush	닦기
MID_Hub_Ring_Cleaning_BrushStrong	힘껏 닦기
MID_Hub_Ring_Cleaning_Stop	그만두기
MID_Hub_Unknown	???
MID_Hub_WeaponShop	무기점
MID_Hub_ItemShop	도구점
MID_Hub_Blacksmith	연성점
MID_Hub_AccessoryShop	액세서리점
MID_Hub_Mascot	수수께끼의 제단
MID_Hub_Mascot_After	\x0E\x06\x05\x00의 제단
MID_Hub_FortuneStore	점쟁이 오두막
MID_Hub_FreeMarket	벼룩시장
MID_Hub_Photoshop	활동 기록관
MID_Hub_amiibo	amiibo 스폿
MID_H_Hub_amiibo	행동을 선택해 주십시오
MID_Hub_amiibo_Read	읽어 들이기
MID_Hub_amiibo_Accessory_Trade	의상 교환
MID_Hub_amiibo_Music_Trade	음악 교환
MID_Hub_Animal	동물 축사
MID_Hub_Here_Unit	근처에 있는 인물
MID_Hub_Area_List	구역 목록
MID_Hub_Area_News	알림
MID_Hub_Area_News_Nothing	알림이 없습니다
MID_Hub_Area_Open	NEW
MID_Hub_Area_NewItem	신상품 입고
MID_Hub_Area_NewSystem	기능 개방
MID_Hub_Area_NewLevel	난이도 추가
MID_Hub_Area_Count	앞으로 \x0E\x01\x00\x00회
MID_Hub_Area_NewStage	연전 맵 추가
MID_Hub_Next	다음으로 넘어가기
MID_Hub_Next_Move	이동하기
MID_Hub_Next_Confirm	다음으로 넘어가겠습니까?
MID_Hub_Next_Confirm_Where	어디로 이동하겠습니까?
MID_Hub_Next_Confirm_Solanel	솔라넬로 이동
MID_Hub_Next_Confirm_Gmap	월드 맵으로 이동
MID_Hub_Next_Go	넘어가기
MID_Hub_Confirm_Cancel	이곳에 더 머물기
MID_Hub_Gmap	월드 맵으로
MID_Hub_Gmap_Confirm	월드 맵으로 이동하겠습니까?
MID_Hub_M026	최종 결전으로
MID_Hub_Solanel	솔라넬
MID_Hub_OtherWorld_Confirm	｢이계의 문｣으로 이동하겠습니까?
MID_Hub_OtherWorld_Go	이동하기
MID_Hub_MyRoom	마이 룸
MID_H_Hub_MyRoom	신룡을 위한 침실.\n추억을 되새기거나, 잠시 휴식을 취할 수 있다.
MID_Hub_GodRoom	문장사의 방
MID_H_Hub_GodRoom	그동안 모은 문장사의 반지\x0E\x01\x08\x00를 보관하는 방.\n문장사의 스킬을 계승하거나, 인연의 반지를 정제할 수 있다.
MID_Hub_Cafe	카페테라스
MID_H_Hub_Cafe	식당이 있는 공동 휴식 공간.\n식사 당번에게 요리를 주문하면 원하는 동료들과 식사를 할 수 있다.
MID_Hub_Arena	단련의 방
MID_H_Hub_Arena	외부와 단절된 이세계의 공간.\n동료, 문장사와 전투 훈련을 통해 경험치를 획득할 수 있다.
MID_Hub_Arena_Closed	굳게 닫혀 있다
MID_Hub_Tower	시련의 별채
MID_H_Hub_Tower	돌출된 부분에 위치한 작은 별채.\n잠깐 동안 시공을 초월해 다양한 시련에 도전할 수 있다.
MID_Hub_CentralStores	엔트런스
MID_H_Hub_CentralStores	솔라넬에 드나들 수 있는 출입구.\n다양한 상점이 늘어서 있는 중앙 광장.
MID_Hub_Poolside	풀사이드
MID_H_Hub_Poolside	우아한 개인 풀장.\n동료들과 모여 휴식을 취하는 쉼터.
MID_Hub_Orchard	과수원
MID_H_Hub_Orchard	작은 농장.\n카페테라스에서 조리할 때 쓰는 식재료를 획득할 수 있다.
MID_Hub_Pond	용수의 연못
MID_H_Hub_Pond	신비한 연못.\n다양한 물고기와 생물들이 서식하고 있다.
MID_Hub_TrainingSpot	뒤뜰
MID_H_Hub_TrainingSpot	변두리에 있는 조용한 뜰.\n동료들의 특훈 및 취미 활동에 활용되고 있다.
MID_Hub_Farm	목장
MID_H_Hub_Farm	개방되어 있어 방목이 가능한 광장.\n엘레오스 대륙에서 발견한 동물을 관리할 수 있는 시설.
MID_Hub_GoodViewSpot	전망대
MID_H_Hub_GoodViewSpot	하늘을 내려다볼 수 있는 경치 좋은 전망대.\n매우 조용해서 마음이 차분해지는 공간.
MID_Hub_Cave	종유굴
MID_H_Hub_Cave	솔라넬 지하를 관통하는 신비한 동굴.\n시원하며, 뭔가를 기리는 제단이 설치되어 있다.
MID_Hub_MyRoom_Chest	마이 체스트
MID_Hub_H_MyRoom_Chest_Nothing	소중한 것이 들어 있는 것 같다
MID_Hub_H_MyRoom_Chest_Ring_PickUp	체스트에 ｢약속의 반지｣가 들어 있습니다\n꺼내겠습니까?
MID_Hub_MyRoom_Chest_Ring_PickUp	(마이 베드에서 휴식을 취하면\n 솔라넬에서 만날 수 있는 동료가 변화합니다\n 반지를 건네고 싶은 상대가 없을 때 시도해 봅시다)
MID_Hub_H_MyRoom_Chest_Ring_PickUp_Yes	반지 꺼내기
MID_Hub_H_MyRoom_Chest_Ring_Return	체스트에 반지를 넣겠습니까?
MID_Hub_H_MyRoom_Chest_Ring_Return_Yes	반지 넣기
MID_Hub_MyRoom_Bed	마이 베드
MID_Hub_MyRoom_Bed_TitleHelp	행동을 선택해 주십시오
MID_Hub_MyRoom_MovieChoice	재생할 무비를 선택해 주십시오
MID_Hub_MyRoom_SoundChoice	재생할 음악을 선택해 주십시오
MID_Hub_MyRoom_SoundChoice_Stopping	정지 중
MID_Hub_MyRoom_SoundChoice_Playing	재생 중: \x0E\x01\x00\x00
MID_Hub_Bed_Sleep	휴식
MID_Hub_Bed_Sleep_CameHere	누군가 온 것 같다
MID_Hub_Bed_Sleep_Guide	침대에서 잠시 쉬겠습니까?\n(솔라넬의 시간이 잠시 흐릅니다)
