MID_WU_C_1_IN_#001	실례하겠습니다…!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	역시 신룡 님!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	기척에 민감하시다니 굉장하세요!\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	잘 주무시네…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	늘 보던 잠든 모습도 근사하지만\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	슬슬 일어나지 않으시면…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	간질간질…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	신룡 님께서 깨어나셨어요~!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	…어때요, 조금 반갑지 않으세요?\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	좋은 아침이에요.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	신룡 님! …앗, 주무시고 계시네…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	아, 바로 일어나시니까 아쉽네요…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	아뇨. 아무것도 아니에요!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	꽤 피곤하신가 보네요.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	이대로 주무시게 두고 싶은데…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	하지만 지금은 마음을 독하게 먹어야 해.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	…신룡 님!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	깨어나셨습니까, 신룡 님?\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	…짠. 모처럼 용의 수호자답게 인사해 봤어요.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	앗… 잠든 모습도 존귀하셔…! 그래도 조용히 해야 해, 프랑.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	조용히 들어오려고 했는데 죄송해요!\x0E\x04\x00\x00
