MID_SYS_Difficulty_Normal	노멀
MID_H_Difficulty_Normal	초보자, 중급자분들께
MID_SYS_Difficulty_Hard	하드
MID_H_Difficulty_Hard	상급자분들께
MID_SYS_Difficulty_Lunatic	루나틱
MID_H_Difficulty_Lunatic	최고의 난관을 찾는 분들께
MID_SYS_Mode_Select	모드를 선택해 주십시오
MID_SYS_Mode_Casual	캐주얼
MID_H_Mode_Casual	쓰러진 동료가 다음 장에서 복귀하는 간편 모드
MID_SYS_Mode_Classic	클래식
MID_H_Mode_Classic	쓰러진 동료가 돌아오지 않는 심사숙고 모드
MID_SYS_Grow_Random	랜덤
MID_H_Grow_Random	레벨 업 시 유닛, 병과의 특성을 토대로\n능력이 랜덤하게 상승합니다
MID_SYS_Grow_Fixed	고정
MID_H_Grow_Fixed	레벨 업 시 유닛, 병과의 특성을 토대로\n능력이 고정적으로 상승합니다
MID_Decision	결정
MID_ToNext	다음
MID_SYS_BattleRecord	전적
MID_SYS_Time	타임
MID_SYS_None	없음
MID_SYS_Battle_Count	전
MID_SYS_Win_Count	승
MID_SYS_FoughtTogetherGod	가장 많이 함께 싸운 문장사
MID_SYS_TypeSection	병과 구분
MID_SYS_SeniorPosition	상급
MID_SYS_BasicPosition	기본
MID_SYS_SpecialPosition	특수
MID_SYS_Position	\x0E\x01\x00\x00 병과
MID_SYS_UseWeapon	사용 무기
MID_SYS_TypeOfWepon_1	 중 1종
MID_SYS_TypeOfWepon_2	 중 2종
MID_SYS_Status	전투 능력
MID_SYS_Capability	기본 능력
MID_SYS_EquipedStatus	사용 시 능력
MID_SYS_Spec	성능
MID_SYS_Detail	상세
MID_SYS_EngageWeapon	인게이지 무기
MID_SYS_Class	병과
MID_SYS_Item	소지품
MID_SYS_Skill	스킬
MID_SYS_SP	SP
MID_H_INFO_SP	스킬 포인트.\n문장사로부터 스킬을 계승할 때 소비된다.
MID_SYS_Rating	전투력
MID_H_INFO_Rating	유닛의 종합적인 강함의 수치.
MID_SYS_LV	Lv.
MID_H_INFO_LV	얼마나 강해졌는가에 대한 수치.\n경험을 쌓으면 상승한다.\n다음 레벨까지 앞으로 \x0E\x01\x00\x00 EXP
MID_H_INFO_LV_MAX	얼마나 강해졌는가에 대한 수치.\n경험을 쌓으면 상승한다.\n(최대 레벨)
MID_H_INFO_LV_ENEMY	얼마나 강해졌는가에 대한 수치.\n경험을 쌓으면 상승한다.
MID_H_INFO_BOND_LV	문장사와의 인연의 강함. 높을수록\n문장사의 능력을 많이 끌어낼 수 있다.
MID_SYS_Exp	EXP
MID_SYS_HP_MAX_UP	최대 HP
MID_SYS_HP	HP
MID_H_INFO_HP	유닛의 생명력.\n0이 되면 전투 불능이 된다.
MID_H_COMBAT_INFO_HP	행동에 따른 HP 증감 예상.
MID_SYS_Str	힘
MID_H_INFO_Str	힘의 세기. 높을수록\n물리 공격 대미지가 증가한다.
MID_SYS_Mag	마력
MID_H_INFO_Mag	마력의 세기. 높을수록 마법 공격 대미지와\n지팡이의 회복량이 증가한다.
MID_SYS_Tec	기술
MID_H_INFO_Tec	기량. 높을수록\n명중과 필살이 상승한다.
MID_SYS_Spd	속도
MID_H_INFO_Spd	민첩함. 높을수록 회피가 상승한다.\n(적보다 5 이상 높으면 추격이 발생)
MID_SYS_Lck	행운
MID_H_INFO_Lck	운의 정도. 다양한 행동에 영향을 준다.\n(높을수록 필살의 일격을 받을 확률이 감소)
MID_SYS_Def	수비
MID_H_INFO_Def	수비력. 높을수록\n적의 물리 공격 대미지가 감소한다.
MID_SYS_Res	마방
MID_H_INFO_Res	마법 방어력. 높을수록\n적의 마법 공격 대미지가 감소한다.
MID_SYS_Mov	이동
MID_H_INFO_Mov	이동력. 높을수록\n많은 칸을 이동할 수 있다.
MID_SYS_Phy	체격
MID_H_INFO_Phy	몸의 크기. 높을수록 무거운 무기를\n장비했을 때의 속도 저하 수치가 감소한다.
MID_SYS_Vis	시야
MID_H_INFO_Vis	시야가 닿는 범위. 높을수록\n어두운 곳에서도 멀리까지 볼 수 있다.
MID_SYS_Atk	공격
MID_SYS_Dmg	공격
MID_H_INFO_Atk	무기 및 마법을 통한 공격력.
MID_H_COMBAT_INFO_Dmg	명중 시, 상대에게 입히는 대미지양.
MID_SYS_Weapon_Attack	물공
MID_SYS_H_Weapon_Attack	물리 공격력. 검 등의 무기를\n장비했을 때의 공격력.
MID_SYS_Magic_Attack	마공
MID_SYS_H_Magic_Attack	마법 공격력. 마도서나 마법 무기를\n장비했을 때의 공격력.
MID_SYS_Special_Attack	특수
MID_SYS_H_Special_Attack	특수한 공격의 공격력.\n(적의 수비와 마방의 영향을 받지 않음)
MID_SYS_Hit	명중
MID_H_INFO_Hit	공격을 명중시키는 능력.\n높을수록 공격이 명중할 확률이 상승한다.
MID_H_COMBAT_INFO_Hit	｢공격｣ 또는 ｢회복｣의 명중률.
MID_SYS_Avo	회피
MID_H_INFO_Avo	공격을 피하는 능력.\n높을수록 적의 공격을 피할 확률이 상승한다.
MID_SYS_Crit	필살
MID_H_INFO_Crit	필살의 일격(대미지 3배)을 노리는 능력.\n높을수록 필살의 일격을 가할\n확률이 상승한다.
MID_H_COMBAT_INFO_Crit	｢필살의 일격｣이 발생할 확률.
MID_SYS_Secure	필살 회피
MID_H_INFO_Secure	필살의 일격을 회피하는 능력. 높을수록\n적의 필살의 일격을 받을 확률이 내려간다.
MID_COMBAT_INFO_Recovery	회복
MID_H_COMBAT_INFO_Recovery	대상의 HP를 회복시키는 양.
MID_H_INFO_WLV	사용할 수 있는 \x0E\x01\x00\x00의 레벨.
MID_H_INFO_WLV_Special	특수 공격
MID_H_INFO_WLV_Sword	검
MID_H_INFO_WLV_Lance	창
MID_H_INFO_WLV_Magic	마도서
MID_H_INFO_WLV_Dagger	단검
MID_H_INFO_WLV_Axe	도끼
MID_H_INFO_WLV_Bow	활
MID_H_INFO_WLV_Rod	지팡이
MID_H_INFO_WLV_Fist	체술
MID_SYS_BondCombi	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02과\x02와 \x0E\x01\x01\x00의 인연
MID_SYS_BOND_LV	인연 Lv.
MID_SYS_MAX	MAX
MID_SYS_Infinity	∞
MID_SYS_STYLE_BONUS	Style Bonus!
MID_SYS_QUALITY_Sword	검의 소질
MID_SYS_H_QUALITY_Sword	검의 소질.\n특정 병과로\n클래스 체인지할 수 있게 된다.
MID_SYS_QUALITY_Lance	창의 소질
MID_SYS_H_QUALITY_Lance	창의 소질.\n특정 병과로\n클래스 체인지할 수 있게 된다.
MID_SYS_QUALITY_Magic	마법의 소질
MID_SYS_H_QUALITY_Magic	마법의 소질.\n특정 병과로\n클래스 체인지할 수 있게 된다.
MID_SYS_QUALITY_Knife	단검의 소질
MID_SYS_H_QUALITY_Knife	단검의 소질.\n특정 병과로\n클래스 체인지할 수 있게 된다.
MID_SYS_QUALITY_Axe	도끼의 소질
MID_SYS_H_QUALITY_Axe	도끼의 소질.\n특정 병과로\n클래스 체인지할 수 있게 된다.
MID_SYS_QUALITY_Bow	활의 소질
MID_SYS_H_QUALITY_Bow	활의 소질.\n특정 병과로\n클래스 체인지할 수 있게 된다.
MID_SYS_QUALITY_Rod	지팡이의 소질
MID_SYS_H_QUALITY_Rod	지팡이의 소질.\n특정 병과로\n클래스 체인지할 수 있게 된다.
MID_SYS_QUALITY_Fist	체술의 소질
MID_SYS_H_QUALITY_Fist	체술의 소질.\n특정 병과로\n클래스 체인지할 수 있게 된다.
MID_SYS_H_HPStock	부활의 돌.\nHP가 0이 되었을 때\n부서지면서 HP를 전부 회복시킨다.
MID_SYS_ValueEmpty	--
MID_SYS_Mt	위력
MID_SYS_Rec	치유력
MID_SYS_Eff	특효
MID_SYS_Weight	무게
MID_SYS_Rng	사정
MID_SYS_WLV_Short	Lv.
MID_H_SYS_Equip	E
MID_SYS_Target	대상
MID_SYS_Me	자신
MID_H_INFO_DISABLE_ENGAGE	사용 불가: 인게이지 아이템
MID_H_INFO_DISABLE_WEAPONLEVEL	사용 불가: 병과 제한
MID_SYS_GodWeapon_LV	Lv.
MID_SYS_ExpNext	앞으로
MID_SYS_GOLD_COUNT	소지금
MID_SYS_ABRIDGEMENT	…
MID_H_INFO_Param_Base	기본치 
MID_H_INFO_Param_Correction_Weight	무기의 무게
MID_H_INFO_Param_Correction_God	문장사
MID_H_INFO_Param_Correction_Support	지원
MID_H_INFO_Param_Correction_Terrain	지형
MID_H_INFO_Param_Correction_Effect	효과
MID_H_INFO_Param_Correction_Hub	거점 행동
MID_Material_Iron	철정석
MID_Material_Steel	강정석
MID_Material_Silver	은정석
MID_PieceOfBonds	인연의 조각
MID_B_INFO_DAMAGE	예상 대미지
MID_MSG_GET	획득
MID_MSG_COST	소비
MID_MSG_JOIN_UNIT	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02과\x02와 동료가 되었다
MID_MSG_JOIN_UNIT2	\x0E\x01\x00\x00, \x0E\x01\x01\x00\x0E\x0A\x04\x08\x02과\x02와 동료가 되었다
MID_MSG_JOIN_UNIT3	\x0E\x01\x00\x00, \x0E\x01\x01\x00, \x0E\x01\x02\x00\x0E\x0A\x04\x08\x02과\x02와 동료가 되었다
MID_MSG_GET_ITEM	\x0E\x01\x00\x00\x0E\x01\x01\x00\x0E\x0A\x04\x08\x02을\x02를 획득했다
MID_MSG_GET_ALREADY	읽어 들이기 가능 횟수가 회복될 때까지\n이 amiibo는 읽어 들일 수 없습니다
MID_MSG_GET_ITEM_PLURAL	\x0E\x01\x00\x00\x0E\x01\x01\x00×\x0E\x01\x02\x00\x0E\x0A\x04\x08\x02을\x02를 획득했다
MID_MSG_GET_GOLD	\x0E\x01\x00\x00\x0E\x01\x01\x00G를 획득했다
MID_MSG_GET_PIECE	\x0E\x01\x00\x00인연의 조각을 \x0E\x01\x01\x00개 획득했다
MID_MSG_BREAK_ITEM	\x0E\x01\x00\x00\x0E\x01\x01\x00\x0E\x0A\x04\x08\x02이\x02가 부서졌다
MID_MSG_DEPRIVED_ITEM	\x0E\x01\x00\x00\x0E\x01\x01\x00\x0E\x0A\x04\x08\x02을\x02를 빼앗겼다
MID_MSG_LEARN_SKILL	병과 스킬 \x0E\x01\x00\x00\x0E\x01\x01\x00\x0E\x0A\x04\x08\x02을\x02를 습득했다
MID_MSG_SUPPORT_LEVEL_UP	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02과\x02와 \x0E\x01\x01\x00의\n지원 레벨이 \x0E\x01\x02\x00가 되었다
MID_MSG_POPUP_RELIANCE_EXP_UP	지원도 UP!
MID_MSG_POPUP_RELIANCE_ADDITION	지원 회화 발생!
MID_MSG_TUTORIAL_NEW	｢\x0E\x01\x00\x00｣ 튜토리얼이 추가되었습니다
MID_MSG_BOND_LV_CAP	아직 보지 않은 인연 회화가 있습니다
MID_MSG_FRIENDLIST_NEWPAGE	동료 수첩에 \x0E\x01\x00\x00의 페이지가 추가되었습니다
MID_MSG_BONDRING_NEWPAGE	반지\x0E\x01\x08\x00 도감에 정보가 추가되었습니다
MID_MSG_BOND_LV_CAP_Talk_Attention	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02과\x02와 \x0E\x01\x01\x00의 인연 경험치가\n최대치가 되었습니다\n(거점 및 월드 맵에서 ｢인연 회화｣를 보면\n 인연 레벨을 더욱 올릴 수 있습니다)
MID_MSG_BOND_LV_CAP_RELEASE	인연 레벨 한계 돌파!
MID_MSG_BOND_LV_MAX_amiiboItem	많은 동료들이 문장사 \x0E\x01\x00\x00\x0E\x0A\x04\x08\x02과\x02와 인연 레벨이\n최대가 되어, 다음 특별 보상을 획득했습니다\n\x0E\x01\x01\x00｢\x0E\x01\x02\x00｣
MID_MSG_POPUP_BOND_EXP_UP	인연 경험치 UP!
MID_MSG_GAMEOVER_TIMECRYSTAL_ATTENTION	｢용의 시간석｣을 사용하지 않으면\n패배하여 게임 오버 처리됩니다\n괜찮겠습니까?
