MID_PLACE_Filene	피레네
MID_PLACE_Brodia	브로디아
MID_PLACE_Ircion	이르시온
MID_PLACE_Solum	솔룸
MID_PLACE_Lithos	리토스
MID_PLACE_Gradron	그라드론
MCID_M000_PREFIX	서장
MCID_M000	문장사
MCID_M000_PLACE	신룡왕성
MCID_M001_PREFIX	제1장
MCID_M001	각성
MCID_M001_PLACE	리토스의 초원
MCID_M002_PREFIX	제2장
MCID_M002	신룡왕 뤼미에르
MCID_M002_PLACE	신룡왕성의 정원
MCID_M003_PREFIX	제3장
MCID_M003	습격자
MCID_M003_PLACE	문장의 반지의 방
MCID_M004_PREFIX	제4장
MCID_M004	꽃의 풍차 마을
MCID_M004_PLACE	플뢰르 풍차 마을
MCID_M005_PREFIX	제5장
MCID_M005	왕성 탈환
MCID_M005_PLACE	피레네성
MCID_M005_OUTLINE	이르시온군의 침공을 받았다는 소식을 듣고\n신룡군은 피레네성으로 서둘러 이동한다
MCID_M006_PREFIX	제6장
MCID_M006	빼앗긴 반지
MCID_M006_PLACE	산마루 부락
MCID_M006_OUTLINE	무사히 피레네성을 탈환한 일행은\n『새벽의 무녀의 반지』가 있는 사당으로 향한다
MCID_M007_PREFIX	제7장
MCID_M007	어둠의 문장사
MCID_M007_PLACE	그랑수르 대교
MCID_M007_OUTLINE	신룡군은 브로디아 왕국에 맡긴\n반지를 찾아 국경을 넘는다
MCID_M008_PREFIX	제8장
MCID_M008	용맹한 왕국
MCID_M008_PLACE	브로디아성
MCID_M008_OUTLINE	이르시온군의 급습을 물리친 신룡군은\n목적지인 브로디아성을 방문한다
MCID_M009_PREFIX	제9장
MCID_M009	격돌
MCID_M009_PLACE	국경 요새
MCID_M009_OUTLINE	모리온 왕과 신룡군은 하이아신스 왕의\n부름에 응해 이르시온과의 국경으로 향한다
MCID_M010_PREFIX	제10장
MCID_M010	사룡 솜브르
MCID_M010_PLACE	데스탄 대교회
MCID_M010_OUTLINE	잡혀간 모리온 왕을 구출하기 위해\n신룡군은 이르시온의 교회로 서둘러 진군한다
MCID_M011_PREFIX	제11장
MCID_M011	퇴각
MCID_M011_PLACE	그림자 벌판
MCID_M012_PREFIX	제12장
MCID_M012	사막의 자경단
MCID_M012_PLACE	툴라 사막
MCID_M012_OUTLINE	베일에게 반지를 빼앗긴 신룡군은 태세를\n가다듬기 위해 일단 솔룸 왕국으로 향한다
MCID_M013_PREFIX	제13장
MCID_M013	오아시스의 용사
MCID_M013_PLACE	오아시스 마을
MCID_M013_OUTLINE	『창염의 용사의 반지』를 가진 미스티라를 찾아\n신룡군은 오아시스를 향해 출발한다
MCID_M014_PREFIX	제14장
MCID_M014	솔룸 공방전
MCID_M014_PLACE	솔룸성
MCID_M014_OUTLINE	오르텐시아의 습격 소식을 듣고\n신룡군은 황급히 솔룸왕성으로 이동한다
MCID_M015_PREFIX	제15장
MCID_M015	폐허의 댄서
MCID_M015_PLACE	북쪽 성채
MCID_M015_OUTLINE	솔룸왕성 전투에서 승리한 신룡군은 성채의\n『미래를 선택하는 자의 반지』로 향한다
MCID_M016_PREFIX	제16장
MCID_M016	해안선을 넘어서
MCID_M016_PLACE	검푸른 해안
MCID_M016_OUTLINE	성채에서 새로운 반지를 회수한 신룡군\n다음 대책을 고민하던 중 첩보를 입수한다
MCID_M017_PREFIX	제17장
MCID_M017	산산조각 난 평화
MCID_M017_PLACE	플뢰르 항구
MCID_M017_OUTLINE	피레네로 향한 이르시온군을 쫓아\n신룡군은 플뢰르 항구 마을에 도착한다
MCID_M018_PREFIX	제18장
MCID_M018	차가운 해로
