MID_WU_C_1_IN_#001	아침이야, 신룡 님…\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	신룡 님은 잘 일어나는구나…\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	부러워.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	난 자는 것도\x0E\x04\x00\x00
MID_WU_C_1_SOON_#004	일어나는 것도 쉽지 않거든…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	정말… 이런 음침한 여자가 깨우면\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	더 피곤할 텐데…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	빨리 끝내고 돌아가야겠어…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	신룡 님, 일어나…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	좋은 아침…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	바깥은 날씨가 좋아.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	빨리 아침 햇살을 받고\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	내가 깨우러 온 건 잊어 줘…\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	예쁘다. 계속 지켜보고 싶지만…\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	그래선 안 되겠지…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	일어났구나.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	그럼, 난 이만…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	내일은 좀 더 활기찬 사람이 깨우러 오기를\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	바랄게…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	돌아가면서 신룡 님을 깨우자니\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	누가 생각한 거야…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	나 이런 거 서투른데…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	엄청 긴장돼…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	조… 좋은 아침…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	딱히 좋아서 온 건 아니야…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	그래도 당신과 얼굴을 보며 인사를 나눌 수 있으니까\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	조금은 기뻐…\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	사실은 항상 바라고 있었어.\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	성지 솔라넬에 오기를,\x0E\x04\x00\x00
MID_WU_B_1_IN_#003	그리고… 이 제단에서 기도하고 싶었어.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	아, 미안해.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	잠깐 기도하고 있었거든.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	그렇지만 방금 끝났어.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#005	좋은 아침, 나의 신.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	아버님께 들었어.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	뤼미에르 님께서는 항상\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	이르시온 왕족을 리토스에 초대하려고 하셨대.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	하지만 그건 이뤄지지 않았지.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#005	그러니까 난…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	좋은 아침, 신룡 님.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	잠깐만 여기서 기도하게 해 줘.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	뤼미에르 님께… 늦었지만\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	내가 이곳에 왔다고 전할 수 있게.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	이 제단에 내가 들어가도 괜찮을까…?\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	좋은 아침.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	내가 있는 걸 문제 삼지 않아 줘서 고마워.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	역시 당신은 상냥한 사람이야…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	조국은 사룡 신앙이었어…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	그래도 난 신룡을 좋아해.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	왕녀로서 그 마음을 입에 담은 적은 없지만.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	여기서라면 상관없겠지…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	…예쁘다.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	천 년 동안 잠들었다가 깨어났을 때도\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	이런 느낌이었어?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	…그래. 나도 봤으면 좋았을 텐데…\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	이곳에 올 때마다\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	난 용서받은 듯한 기분을 느끼게 돼…\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	좋은 아침.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	후후… 상당히 무방비하게 일어나던데…\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	내게 마음을 열어 준 거라면\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	기뻐…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	바깥세상에는 피곤한 일이 많지만…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	이곳에 있으면 모든 게 달라.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	난 신룡 님과 함께 있을 때\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	비로소, 진정한 내가 된 기분이 들어…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	일어났구나…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	어? 아침부터 즐거운 일이라도 있었냐고…?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	나, 웃고 있었어?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	그래… 나, 웃고 있었구나…\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	신룡 님… 잠깐 보고 싶어져서 그런데…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	깨워서 미안해…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	악몽을 꿨거든…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	신룡 님 곁이라면 괜찮아질 거라고 생각하다니\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	나도 참 애 같네……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	꿈을 꿨어…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	멸망해 가는 이르시온의 꿈을.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	눈을 뜨자마자 이곳으로 와야겠다고 생각했어…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	당신을 보면 그게 그저 꿈이란 걸 알 수 있을 것 같아서…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	…듣고 있었지?\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	약한 나를 경멸해도 좋아.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	…정말, 그런 따스한 눈으로 보지 마.\x0E\x04\x00\x00
