MID_WU_C_1_IN_#001	아침이올시다, 신룡 공!!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	일어났구려!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	자, 조찬이오, 조찬!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	난 먼저 가 있겠소!\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	음. 입실하자마자 불렀는데 일어나지 않다니\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	공은… 역시 보통이 아니구려!\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	하오나 그것도 이제 끝이오.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	…신룡 공~~!!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	오오, 일어났구려!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	일어났으면 바로 조찬을 먹어야 하오.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	오늘은 백반에 된장국이 좋겠소.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	신룡 공도 그리 생각하지 않소이까?\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	미목수려, 호화찬란…\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	오늘 밤 깨우기 당번은 이 카게츠!이올시다!!\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	좋은 아침이오. 뭐, 벌써 저녁이긴 하오만…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	하하하, 어째 내게도\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	깨우기 당번이 필요한 것 같소!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	어째서 아침에 깨우러 오지 않았는지 아시오?\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	나도 자고 있었소!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	일어나니 저녁이었단 말이외다!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	용서를, 용서해 주시오, 신룡 공!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	으음… 난 이제부터\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	반드레에게 혼나는 미래를 보았소.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	지금 후다닥 도망가야겠구려! 그럼 실례하겠소!\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	신룡 공, 언제까지 잘 것이오? 이미 점심이오!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	…이렇게 말하면 일어날 거라고 생각했소, 아직 아침이오.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	내 기발한 계책에 놀란 것 같구려!\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	신룡 공, 어서 일어나지 않으면 큰일이 날 것이오.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	조찬은 이미 다 끝난 데다 오찬마저 놓쳐서\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	의기소침한 상태로 저녁까지 보내게 될 것이외다…!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	농담이오, 아직 아침이라오.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	…그런 경멸의 눈빛을 보내지 마시오!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	이건 그거 같소,\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	아이비 님이 내게 보내는 눈빛과 똑같단 말이오!\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	친구를 깨우러 왔소이다~!\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	역시 내 친구오.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	바로 일어나니 매우 기쁘구려.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	이대로 데이트라도 하지 않겠소?\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	오늘은 푹 자는 날인가 보오?\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	나는 좀 더 신룡 공에 대해 알고 싶소.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	질문도 좋소만\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	눈으로 보면서 깨닫는 것 또한 하나의 재미가 아니겠소?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	좋은 아침이오.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	피곤하면 더 쉬시구려.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	내가 사람들에겐 잘 말해 두겠소.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	뭐, 친구니 그 정도는 간단하오!\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	조기 취침 조기 기상, 건강도 양호.\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	이르시온 왕성병 카게츠, 등장이오!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	음! 크게 말하기 작전은 성공한 거 같소!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	난 빨리 신룡 공과 이야기하고 싶었단 말이오!\x0E\x04\x00\x00
