MID_WU_C_1_IN_#001	외람되지만 수면 중에 실례하겠습니다.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	좋은 아침입니다.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	억지로 깨우려니 마음 아팠었는데, 덕분에 살았습니다.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	그럼 이만.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	그나저나 정말 휴식을 방해하려니 죄송스럽군요…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	밖의 경치라도 보면서 기다릴까요.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	어라, 저쪽에 멋진 꽃밭이…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	아아, 일어나셨습니까?\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	이걸로 제 임무는 끝났으니\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	저기 꽃밭까지 산책하고 오겠습니다, 그럼.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	아침입니다, 신룡 님.\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	…이라고 말씀드려도 바로 일어나시지 않겠죠.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	세상에…! 식어 버릴 거 같아서 포기했는데,\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	바로 일어나실 줄 알았으면 홍차를 가져올 걸 그랬군요.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	그건 그렇고…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	깨어나셔서 처음 보는 게 저처럼 수수한 사람이 아닌\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	용모가 출중한 분이셔야 좋지 않을까 싶습니다만…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	그렇죠,\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	예를 들어 지체 높은 집안의 영애나 수려한 청년 기사 같은…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	엇, 신룡 님. 언제부터 일어나 계셨던 겁니까?\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	오늘은 신룡 님과 제 조합을 살펴보죠.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	…어라, 살펴볼 틈도 없이 일어나셨지만\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	이건 이것대로 괜찮겠죠. 좋은 아침입니다.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	이 방에서 꽃밭을 볼 수 없다면\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	만들면 됩니다.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	전 용모가 출중한 여기사.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	전 용모가 출중하고 우아한 여기사…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	어머, 신룡 님. 좋은 아침이네요.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	……아아, 죄송합니다.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	상상의 나래를 펼치고 있었는데\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	제 목소리가 너무 저음이라 몰입이 안 되는군요.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	동생들을 깨울 때보다 기분이 고양됩니다.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	이렇게 바로 일어나 주시는 점도\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	고향의 집과는 다른 점이군요.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	아아, 신룡 님, 평생 함께하겠습니다.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	형제가 셋이나 되니 아침마다 고생이었습니다.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	하지만 대부분은 이 한마디로 해결되죠.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	…빨리 안 일어나면 아침밥 없습니다!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	오오, 신룡 님께도 효과가 있다니.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	이거 좋은 공부가 됐습니다.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	그럼 마음껏 아침 식사를 즐겨 주시길.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	제 예상은 분명 맞을 겁니다…\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	아아, 역시.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	오늘은 곧장 일어나실 거 같아서\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	홍차를 가져왔습니다.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	고향의 포도로 향을 낸 진귀한 거죠.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	후후… 다른 분들께서 순서대로 오고 계신다는 건\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	여기서 기다리고 있으면\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	신룡 님과 모두의 조합을\n무한정 볼 수 있다는 뜻이군요…!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	좋은 아침입니다. 제가 놀라운 걸 깨달았는데…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	계속 여기서 지켜보는 건 수상해 보이니 삼가겠습니다.\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	가족에게 보내는 편지에 깨우기 당번에 관한 것도 적었습니다.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	어라, 내용이 궁금하십니까?\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	물론, 신룡 님에 대해서도 적었습니다.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	아침에는 의외로 일찍 일어나신다고… 말이죠.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	마음 가는 대로 적으라고 조언해 주신 걸 따랐더니\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	신룡 님의 이야기가 너무 많아졌습니다.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	…! 어쩌면 전 신룡 님을…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	아마도 저는 신룡 님을……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	동생들과 만나게 하고 싶은 걸지도 모르겠습니다.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	아아, 그 조합은 분명\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	마음이 따뜻해지겠죠…\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	몇 번이나 깨우러 왔는데도 부끄럽습니다.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	앗, 갑자기 일어나지는 마세요.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	멀리서 바라보는 건 익숙하지만\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	그… 가까이서 보는 건 아직 익숙지 않아서.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	설마, 제게 『약속의 반지』를 주시다니.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	전 신룡 님께서 어떤 분께 건네줄지\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	그 조합을 볼 생각에 마음이 설레었는데…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	하지만 내심 안도했습니다.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	언제부턴지… 당신께서 다른 분과 있는 순간을 보면 조금\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	마음이 괴로웠거든요.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	좋은 아침입니다. 자, 손을.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	보시는 대로, 에스코트입니다.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	절 선택하셨으니까…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	이 한 몸 바쳐 부지런하게 보좌하겠습니다.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	자, 아침입니다.\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	오늘은 바로 일어나시겠습니까? 아니면…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	후후, 좋은 아침입니다.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	그렇게 급하게 일어나시지 않아도 도망가지 않습니다.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	…앞으로 전 평생 신룡 님 곁에서 떨어지지 않을 테니까요.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	더 주무시고 싶으시죠? 하긴 그러실 거 같았습니다.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	…어라? 주무실 때\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	제가 드린 반지를 끼고 계셨군요.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	기쁩니다. 최근 들어서야 겨우\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	신룡 님과 제 조합에 익숙해지기 시작했습니다.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	신룡 님 곁은 누구에게도 양보하지 않을 겁니다.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	설령 상상 속에서라도… 말이죠.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	더 말씀드리고 싶은 게 있었는데\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	깨어나셨으니 어쩔 수 없군요.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	다음은 홍차라도 마시면서 천천히…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	괜찮으시죠?\x0E\x04\x00\x00
