MID_WU_C_1_IN_#001	아침이야!\x0E\x04\x00\x00
MID_WU_C_1_IN_#002	일찍 자고 일찍 일어나는 안나 씨가 깨우러 왔어!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	와, 금방 일어났네. 정말 잘했어!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	근데 이상할 정도로 빠른데…\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	신룡 님, 혹시 혼자 일어날 수 있는 거 아냐…?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	안 일어나네…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	신룡 님은 아침한테 약하고 밤한테 강한가?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	아침하고 밤하고 신룡 님의 3상성…?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	그러면 이 경우에는 밤이 아침한테 강한 건가…?\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	안녕, 신룡 님.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	무시무시한 아침을 쓰러뜨리려면\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	일찍 자는 게 가장 유효한 무기가 될 거야.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	잘해 봐!\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	안나 씨의 기상 서비스야! 일어나~!!\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	좋은 아침, 신룡 님.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	내가 확실하게 깨웠으니까\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	서비스 이용료인 셈 치고\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	안나 씨한테 잘했다고 칭찬해 줘!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	쉽지 않은걸.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	그럴 땐 이거지.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	신상품 잠 깨우는 인형!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	이걸 이렇게 설치하면\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#005	원하는 시간에 맞춰 무시무시한 소리가… 으아아!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	일어났다~!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	이 상품, 꽤 쓸 만한걸?\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	큰돈을 만질 수 있을지도 몰라!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	어?\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#005	근데 한 번 쓰니까 망가졌네… 아깝다…\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	땡땡~! 오늘은 겨울 축제야~!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	깜짝 놀라게 해서 일으키기 작전, 성공이네!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	솔라넬에 그런 게 없는 건 알지만,\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	안나 씨의 고향에서는 매일이 겨울 축제거든.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	…으음, 역시 거짓말인 게 티 나나?\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	하지만 우리 고향은 매일 눈 축제니까 완전 거짓말은 아냐.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	다들 잘 지내고 있을까…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	안녕, 신룡 님.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	따, 딱히 힘든 표정 지은 거 아니야!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	상인한테 미소가 얼마나 중요한데!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	하지만… 걱정해 줘서 고마워.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	신룡 님한테는 상인의 재능이 있을지도 몰라…\x0E\x04\x00\x00
