MID_WU_C_1_IN_#001	사익의 리더 셀레스티아,
MID_WU_C_1_IN_#002	오늘의 깨우기 당번을 맡게 되었습니다…!
MID_WU_C_1_SOON_#001	역시 신룡 님.
MID_WU_C_1_SOON_#002	마룡인 제 기척을 감지하고 깨어나셨군요.
MID_WU_C_1_SOON_#003	네? 딱히 기척이 숨겨지지는 않았다고요?
MID_WU_C_1_SOON_#004	그럴 수가…
MID_WU_C_1_WAKEUP_#001	우후후, 당번 차례가 돌아오다니…
MID_WU_C_1_WAKEUP_#002	저도 완전히 이 군의 일원이 된 것 같아 기뻐요.
MID_WU_C_1_WAKEUP_#003	그러면 힘차게,
MID_WU_C_1_WAKEUP_#004	신룡 님~!
MID_WU_C_1_HELLO_#001	음, 훌륭하게 역할을 다한 것 같네요.
MID_WU_C_1_HELLO_#002	즐거운 당번이었어요.
MID_WU_C_1_HELLO_#003	어라? 이 역할은 다음에 누구에게 넘겨주면 되죠…?
MID_WU_C_2_IN_#001	신룡 님, 모시러 왔습니다!
MID_WU_C_2_IN_#002	…아, 아직 주무시는 중이군요.
MID_WU_C_2_SOON_#001	죄송합니다.
MID_WU_C_2_SOON_#002	제가 큰 목소리를 내는 바람에 깨워 버렸네요.
MID_WU_C_2_SOON_#003	다음에는 조금 더 차분하게 찾아뵐게요.
MID_WU_C_2_WAKEUP_#001	난감하네요, 지금쯤 일어나 계실 줄 알았는데요.
MID_WU_C_2_WAKEUP_#002	적어도 깨어나시면 바로 출발할 수 있도록
MID_WU_C_2_WAKEUP_#003	갈아입으실 옷을 준비하고
MID_WU_C_2_WAKEUP_#004	…어머나?!
MID_WU_C_2_HELLO_#001	죄, 죄송해요.
MID_WU_C_2_HELLO_#002	침대 주변의 천을 밟고 미끄러져 넘어졌어요.
MID_WU_C_2_HELLO_#003	신룡 님도 일어나실 때 조심하세요.
MID_WU_C_2_HELLO_#004	아하하…
MID_WU_B_1_IN_#001	방금 식사가 맛있었답니다.
MID_WU_B_1_IN_#002	나눠 드리려고
MID_WU_B_1_IN_#003	…앗, 주무시고 계시네요.
MID_WU_B_1_SOON_#001	실은 마늘 수프를 직접 떠먹여 드리러 온 건데
MID_WU_B_1_SOON_#002	일어나시자마자 드시기에는 자극적인 요리네요.
MID_WU_B_1_SOON_#003	다시 찾아뵐게요, 신룡 님.
MID_WU_B_1_WAKEUP_#001	얼마 전에는 함께 수프를 먹어서 즐거웠죠.
MID_WU_B_1_WAKEUP_#002	또 그런 시간을 보내려고 했는데
